coach,year,team,win,loss,tie,winPct,PF,PA,delta
Tubby' Meyers,1906,Western Michigan,1,3,0,0.25,26,40,-14
A. Bird Claspie,1897,Eastern Michigan,2,3,0,0.4,36,62,-26
A. Earle 'Greasy' Neale,1916,West Virginia Wesleyan (WV),5,6,0,0.45455,233,199,34
A. Earle 'Greasy' Neale,1917,West Virginia Wesleyan (WV),5,2,0,0.71429,141,30,111
A. Earle 'Greasy' Neale,1923,Virginia,3,5,1,0.38889,87,81,6
A. Earle 'Greasy' Neale,1924,Virginia,5,4,0,0.55556,72,83,-11
A. Earle 'Greasy' Neale,1925,Virginia,7,1,1,0.83333,144,31,113
A. Earle 'Greasy' Neale,1926,Virginia,6,2,2,0.7,161,53,108
A. Earle 'Greasy' Neale,1927,Virginia,5,4,0,0.55556,117,122,-5
A. Earle 'Greasy' Neale,1928,Virginia,2,6,1,0.27778,121,142,-21
A. Earle 'Greasy' Neale,1931,West Virginia,4,6,0,0.4,91,122,-31
A. Earle 'Greasy' Neale,1932,West Virginia,5,5,0,0.5,137,115,22
A. Earle 'Greasy' Neale,1933,West Virginia,3,5,3,0.40909,87,145,-58
A. Ellet Hitchner,1904,Rutgers,1,6,2,0.22222,16,202,-186
A. Flack,1916,Louisiana Tech,2,4,0,0.33333,40,66,-26
A. King Dickson,1899,Nevada,3,2,0,0.6,85,52,33
A.A. Booth,1904,Kansas State,1,6,0,0.14286,48,186,-138
A.A. Ewing,1894,Northwestern,4,5,0,0.44444,72,228,-156
A.B. Dillie,1914,Southern Miss,2,3,1,0.41667,46,86,-40
A.B. Dillie,1915,Southern Miss,4,4,0,0.5,114,103,11
A.B. Dillie,1916,Southern Miss,0,3,0,0,0,193,-193
A.C. Hoffman,1913,Tulane,3,5,0,0.375,59,159,-100
A.D. Brown,1904,Arkansas,4,5,0,0.44444,68,133,-65
A.D. Brown,1905,Arkansas,2,6,0,0.25,32,50,-18
A.D. Kirwan,1938,Kentucky,2,7,0,0.22222,150,160,-10
A.D. Kirwan,1939,Kentucky,6,2,1,0.72222,161,64,97
A.D. Kirwan,1940,Kentucky,5,3,2,0.6,190,107,83
A.D. Kirwan,1941,Kentucky,5,4,0,0.55556,151,154,-3
A.D. Kirwan,1942,Kentucky,3,6,1,0.35,155,154,1
A.D. Kirwan,1944,Kentucky,3,6,0,0.33333,125,147,-22
A.G. 'Butch' Scanlon,1918,Purdue,3,3,0,0.5,87,78,9
A.G. 'Butch' Scanlon,1919,Purdue,2,4,1,0.35714,71,104,-33
A.G. 'Butch' Scanlon,1920,Purdue,2,5,0,0.28571,36,103,-67
A.J. Nowak,1929,Central Michigan,2,3,2,0.42857,71,80,-9
A.J. Nowak,1930,Central Michigan,5,2,1,0.6875,102,81,21
A.J. Sharadin,1912,Connecticut,3,3,0,0.5,41,79,-38
A.L. 'Red' Swanson,1931,Southeastern Louisiana,2,2,2,0.5,32,98,-66
A.L. 'Red' Swanson,1932,Southeastern Louisiana,3,5,0,0.375,113,53,60
A.L. 'Red' Swanson,1933,Southeastern Louisiana,7,3,0,0.7,252,109,143
A.L. 'Red' Swanson,1934,Southeastern Louisiana,7,3,0,0.7,191,70,121
A.L. 'Red' Swanson,1935,Southeastern Louisiana,7,2,0,0.77778,110,51,59
A.L. 'Red' Swanson,1936,Southeastern Louisiana,7,0,1,0.9375,182,19,163
A.L. 'Red' Swanson,1937,Southeastern Louisiana,8,2,1,0.77273,241,59,182
A.L. 'Red' Swanson,1950,Louisiana-Lafayette,5,4,0,0.55556,159,100,59
A.L. Cornell,1908,Louisiana Tech,4,3,1,0.5625,205,91,114
A.L. McRae,1890,Missouri,2,1,0,0.66667,112,34,78
A.L. Williams,1975,Northwestern State,1,10,0,0.09091,108,316,-208
A.L. Williams,1976,Northwestern State,5,5,0,0.5,190,181,9
A.L. Williams,1977,Northwestern State,6,5,0,0.54545,196,183,13
A.L. Williams,1978,Northwestern State,5,6,0,0.45455,158,282,-124
A.L. Williams,1979,Northwestern State,3,6,0,0.33333,143,253,-110
A.L. Williams,1980,Northwestern State,8,3,0,0.72727,266,191,75
A.L. Williams,1981,Northwestern State,4,6,0,0.4,322,266,56
A.L. Williams,1982,Northwestern State,6,5,0,0.54545,259,212,47
A.L. Williams,1983,Louisiana Tech,4,7,0,0.36364,152,195,-43
A.L. Williams,1984,Louisiana Tech,10,5,0,0.66667,310,204,106
A.L. Williams,1985,Louisiana Tech,8,3,0,0.72727,259,176,83
A.L. Williams,1986,Louisiana Tech,6,4,1,0.59091,206,223,-17
A.M. 'Mike' Michalske,1942,Iowa State,2,4,0,0.33333,75,117,-42
A.M. 'Mike' Michalske,1943,Iowa State,4,4,0,0.5,147,104,43
A.M. 'Mike' Michalske,1944,Iowa State,6,1,1,0.8125,203,39,164
A.M. 'Mike' Michalske,1945,Iowa State,4,3,1,0.5625,156,97,59
A.M. 'Mike' Michalske,1946,Iowa State,2,6,1,0.27778,77,239,-162
"A.P. Hall, Jr.",1908,Wake Forest,1,4,0,0.2,25,149,-124
A.R. 'Bert' Kennedy,1904,Kansas,8,1,1,0.85,179,38,141
A.R. 'Bert' Kennedy,1905,Kansas,10,1,0,0.90909,250,26,224
A.R. 'Bert' Kennedy,1906,Kansas,7,2,2,0.72727,148,55,93
A.R. 'Bert' Kennedy,1907,Kansas,5,3,0,0.625,111,57,54
A.R. 'Bert' Kennedy,1908,Kansas,9,0,0,1,131,20,111
A.R. 'Bert' Kennedy,1909,Kansas,8,1,0,0.88889,172,22,150
A.R. 'Bert' Kennedy,1910,Kansas,6,1,1,0.8125,75,22,53
A.S. Jeffs,1899,Washington,4,1,1,0.75,71,21,50
A.T. Myers,1909,Wake Forest,2,4,0,0.33333,11,45,-34
A.W. 'Jub' Ehrsam,1897,Kansas State,1,2,1,0.375,4,40,-36
A.W. Farwick,1932,Arizona,4,5,0,0.44444,82,106,-24
A.W. Ristine,1902,Iowa State,6,3,1,0.65,246,56,190
A.W. Ristine,1903,Iowa State,8,1,0,0.88889,202,59,143
A.W. Ristine,1904,Iowa State,7,2,0,0.77778,248,48,200
A.W. Ristine,1905,Iowa State,6,3,0,0.66667,203,93,110
A.W. Ristine,1906,Iowa State,9,1,0,0.9,268,30,238
A.W. Shepard,1892,Kansas,7,1,0,0.875,144,36,108
A.W. Shepard,1893,Kansas,2,5,0,0.28571,85,108,-23
Aaron M. McCreary,1923,Arizona State,4,2,0,0.66667,152,102,50
Aaron M. McCreary,1924,Arizona State,6,1,1,0.8125,160,85,75
Aaron M. McCreary,1925,Arizona State,6,2,0,0.75,154,59,95
Aaron M. McCreary,1926,Arizona State,4,1,1,0.75,97,42,55
Aaron M. McCreary,1927,Arizona State,2,3,1,0.41667,63,50,13
Aaron M. McCreary,1928,Arizona State,3,2,1,0.58333,133,73,60
Aaron M. McCreary,1929,Arizona State,0,6,0,0,13,143,-130
Addison W. Kelly,1900,California,4,2,1,0.64286,53,7,46
Adolph J. Lewandowski,1943,Nebraska,2,6,0,0.25,79,261,-182
Adolph J. Lewandowski,1944,Nebraska,2,6,0,0.25,83,210,-127
Adrian H. 'Ad' Lindsey,1927,Oklahoma,3,3,2,0.5,117,101,16
Adrian H. 'Ad' Lindsey,1928,Oklahoma,5,3,0,0.625,120,88,32
Adrian H. 'Ad' Lindsey,1929,Oklahoma,3,3,2,0.5,81,81,0
Adrian H. 'Ad' Lindsey,1930,Oklahoma,4,3,1,0.5625,100,57,43
Adrian H. 'Ad' Lindsey,1931,Oklahoma,4,7,1,0.375,88,108,-20
Adrian H. 'Ad' Lindsey,1932,Kansas,4,2,0,0.66667,70,44,26
Adrian H. 'Ad' Lindsey,1933,Kansas,5,4,1,0.55,102,51,51
Adrian H. 'Ad' Lindsey,1934,Kansas,3,4,3,0.45,74,48,26
Adrian H. 'Ad' Lindsey,1935,Kansas,4,4,1,0.5,102,118,-16
Adrian H. 'Ad' Lindsey,1936,Kansas,1,6,1,0.1875,35,153,-118
Adrian H. 'Ad' Lindsey,1937,Kansas,3,4,2,0.44444,72,74,-2
Adrian H. 'Ad' Lindsey,1938,Kansas,3,6,0,0.33333,132,169,-37
Al Conover,1972,Rice,5,5,1,0.5,196,238,-42
Al Conover,1973,Rice,5,6,0,0.45455,153,223,-70
Al Conover,1974,Rice,2,8,1,0.22727,117,222,-105
Al Conover,1975,Rice,3,8,0,0.27273,176,252,-76
Al Golden,2006,Temple,1,11,0,0.08333,131,496,-365
Al Golden,2007,Temple,4,8,0,0.33333,197,315,-118
Al Golden,2008,Temple,5,7,0,0.41667,281,277,4
Al Golden,2009,Temple,9,4,0,0.69231,384,290,94
Al Golden,2010,Temple,8,4,0,0.66667,300,229,71
Al Golden,2011,Miami (FL),6,6,0,0.5,318,241,77
Al Groh,1981,Wake Forest,4,7,0,0.36364,217,365,-148
Al Groh,1982,Wake Forest,3,8,0,0.27273,200,322,-122
