Year,Division,RK,NCAA.SCHOOL,CONFERENCE,SIGNED,ESPN.150,ESPN.300,FiveStar,FourStar,ThreeStar,OFF,DEF,SpecTeams,Athlete
2013,I-A,1,Georgia,SEC,33,5,14,0,21,12,12,18,0,3
2013,I-A,2,Western Kentucky,Sun Belt,33,0,0,0,1,6,15,17,1,0
2013,I-A,3,Texas A&M,SEC,32,5,10,0,17,14,11,18,0,1
2013,I-A,4,Florida,SEC,30,11,16,2,20,7,13,14,1,2
2013,I-A,5,Memphis,Conference USA,30,0,0,0,0,9,14,10,2,2
2013,I-A,6,Marshall,Conference USA,29,0,0,0,5,10,14,13,0,2
2013,I-A,7,Mississippi,SEC,28,5,10,2,12,13,15,7,1,3
2013,I-A,8,Boise State,Mountain West,28,0,0,0,2,20,11,14,1,2
2013,I-A,9,Pittsburgh,Big East,28,1,2,0,2,23,11,9,2,3
2013,I-A,10,Fresno State,Mountain West,28,1,1,0,1,9,14,12,1,1
2013,I-A,11,LSU,SEC,27,7,15,0,20,7,10,10,0,4
2013,I-A,12,Michigan,Big Ten,27,10,15,0,17,9,14,8,0,3
2013,I-A,13,Southern Miss,Conference USA,27,0,0,0,1,6,13,11,1,2
2013,I-A,14,Idaho,WAC,27,0,0,0,0,0,11,11,1,3
2013,I-A,15,Vanderbilt,SEC,26,1,5,0,12,13,11,10,1,1
2013,I-A,16,West Virginia,Big 12,26,0,2,0,8,16,11,11,1,2
2013,I-A,17,Nebraska,Big Ten,26,0,2,0,10,14,9,11,0,3
2013,I-A,18,Arizona State,Pac-12,26,0,0,0,2,20,8,14,1,2
2013,I-A,19,Arizona,Pac-12,26,0,1,0,4,20,11,8,0,4
2013,I-A,20,Houston,Conference USA,26,0,0,0,0,20,10,11,1,2
2013,I-A,21,Illinois,Big Ten,26,0,1,0,3,18,10,13,0,3
2013,I-A,22,Alabama,SEC,25,14,18,1,19,4,11,9,0,3
2013,I-A,23,California,Pac-12,25,0,1,0,7,16,10,11,1,2
2013,I-A,24,Oregon State,Pac-12,25,0,1,0,4,19,7,15,0,3
2013,I-A,25,Kansas,Big 12,25,0,0,0,1,21,9,14,1,0
2013,I-A,26,Wake Forest,ACC,25,0,0,0,1,19,9,14,1,0
2013,I-A,27,Iowa State,Big 12,25,0,0,0,1,22,12,9,0,2
2013,I-A,28,Hawaii,Mountain West,25,0,2,0,2,6,13,11,0,0
2013,I-A,29,North Carolina State,ACC,25,0,0,0,1,18,14,9,0,2
2013,I-A,30,Brigham Young,IA Independents,25,0,0,0,1,10,14,10,0,0
2013,I-A,31,Middle Tennessee,Sun Belt,25,0,0,0,0,7,13,11,1,0
2013,I-A,32,New Mexico,Mountain West,25,0,0,0,0,4,9,10,0,5
2013,I-A,33,Tulane,Conference USA,25,0,1,0,1,5,8,16,0,0
