"years","school","position","career","name","year"
"1980–1984","Arkansas State","DE/LB","Coaching","Tommy Tuberville",1980
"1980–1984","Arkansas State","DE/LB","Coaching","Tommy Tuberville",1981
"1980–1984","Arkansas State","DE/LB","Coaching","Tommy Tuberville",1982
"1980–1984","Arkansas State","DE/LB","Coaching","Tommy Tuberville",1983
"1980–1984","Arkansas State","DE/LB","Coaching","Tommy Tuberville",1984
"1986–1993","Miami","assistant","Coaching","Tommy Tuberville",1986
"1986–1993","Miami","assistant","Coaching","Tommy Tuberville",1987
"1986–1993","Miami","assistant","Coaching","Tommy Tuberville",1988
"1986–1993","Miami","assistant","Coaching","Tommy Tuberville",1989
"1986–1993","Miami","assistant","Coaching","Tommy Tuberville",1990
"1986–1993","Miami","assistant","Coaching","Tommy Tuberville",1991
"1986–1993","Miami","assistant","Coaching","Tommy Tuberville",1992
"1986–1993","Miami","assistant","Coaching","Tommy Tuberville",1993
"1994","Texas A&M","DC","Coaching","Tommy Tuberville",1994
"1995–1998","Ole Miss","HC","Coaching","Tommy Tuberville",1995
"1995–1998","Ole Miss","HC","Coaching","Tommy Tuberville",1996
"1995–1998","Ole Miss","HC","Coaching","Tommy Tuberville",1997
"1995–1998","Ole Miss","HC","Coaching","Tommy Tuberville",1998
"1999–2008","Auburn","HC","Coaching","Tommy Tuberville",1999
"1999–2008","Auburn","HC","Coaching","Tommy Tuberville",2000
"1999–2008","Auburn","HC","Coaching","Tommy Tuberville",2001
"1999–2008","Auburn","HC","Coaching","Tommy Tuberville",2002
"1999–2008","Auburn","HC","Coaching","Tommy Tuberville",2003
"1999–2008","Auburn","HC","Coaching","Tommy Tuberville",2004
"1999–2008","Auburn","HC","Coaching","Tommy Tuberville",2005
"1999–2008","Auburn","HC","Coaching","Tommy Tuberville",2006
"1999–2008","Auburn","HC","Coaching","Tommy Tuberville",2007
"1999–2008","Auburn","HC","Coaching","Tommy Tuberville",2008
"2010–2012","Texas Tech","HC","Coaching","Tommy Tuberville",2010
"2010–2012","Texas Tech","HC","Coaching","Tommy Tuberville",2011
"2010–2012","Texas Tech","HC","Coaching","Tommy Tuberville",2012
"2013–2013","Cincinnati","HC","Coaching","Tommy Tuberville",2013
"1988–1989","Alabama","WR/GA","Coaching","T. J. Weist",1988
"1988–1989","Alabama","WR/GA","Coaching","T. J. Weist",1989
"1990–1993","Michigan","WR/GA","Coaching","T. J. Weist",1990
"1990–1993","Michigan","WR/GA","Coaching","T. J. Weist",1991
"1990–1993","Michigan","WR/GA","Coaching","T. J. Weist",1992
"1990–1993","Michigan","WR/GA","Coaching","T. J. Weist",1993
"1994–1995","Southern Illinois","WR/TE","Coaching","T. J. Weist",1994
"1994–1995","Southern Illinois","WR/TE","Coaching","T. J. Weist",1995
"1996","Tulsa","WR","Coaching","T. J. Weist",1996
"1997–2001","Indiana","WR","Coaching","T. J. Weist",1997
"1997–2001","Indiana","WR","Coaching","T. J. Weist",1998
"1997–2001","Indiana","WR","Coaching","T. J. Weist",1999
"1997–2001","Indiana","WR","Coaching","T. J. Weist",2000
"1997–2001","Indiana","WR","Coaching","T. J. Weist",2001
"2002","Western Kentucky","WR/RB","Coaching","T. J. Weist",2002
"2000-2006","Western Kentucky","OC","Coaching","T. J. Weist",2000
"2000-2006","Western Kentucky","OC","Coaching","T. J. Weist",2001
"2000-2006","Western Kentucky","OC","Coaching","T. J. Weist",2002
"2000-2006","Western Kentucky","OC","Coaching","T. J. Weist",2003
"2000-2006","Western Kentucky","OC","Coaching","T. J. Weist",2004
"2000-2006","Western Kentucky","OC","Coaching","T. J. Weist",2005
"2000-2006","Western Kentucky","OC","Coaching","T. J. Weist",2006
"2007–2009","Western Kentucky","AHC","Coaching","T. J. Weist",2007
"2007–2009","Western Kentucky","AHC","Coaching","T. J. Weist",2008
"2007–2009","Western Kentucky","AHC","Coaching","T. J. Weist",2009
"2010–2012","Cincinnati","WR","Coaching","T. J. Weist",2010
"2010–2012","Cincinnati","WR","Coaching","T. J. Weist",2011
"2010–2012","Cincinnati","WR","Coaching","T. J. Weist",2012
"2013","Connecticut","OC","Coaching","T. J. Weist",2013
"2013","Connecticut","HC","Coaching","T. J. Weist",2013
"1996","Highland Park HS","freshman","Coaching","Tony Levine",1996
"1997–1999","Texas State","WR/TE","Coaching","Tony Levine",1997
"1997–1999","Texas State","WR/TE","Coaching","Tony Levine",1998
"1997–1999","Texas State","WR/TE","Coaching","Tony Levine",1999
"2000–2001","Auburn","GA","Coaching","Tony Levine",2000
"2000–2001","Auburn","GA","Coaching","Tony Levine",2001
"2002","Louisiana Tech","ST/TE","Coaching","Tony Levine",2002
"2003","Louisville","football ops","Coaching","Tony Levine",2003
"2004–2005","Louisville","ST/OLB","Coaching","Tony Levine",2004
"2004–2005","Louisville","ST/OLB","Coaching","Tony Levine",2005
"2006–2007","Carolina Panthers","asst. S&C/asst. ST","Coaching","Tony Levine",2006
"2006–2007","Carolina Panthers","asst. S&C/asst. ST","Coaching","Tony Levine",2007
"2008–2011","Houston","ST/TE/outside WR","Coaching","Tony Levine",2008
"2008–2011","Houston","ST/TE/outside WR","Coaching","Tony Levine",2009
"2008–2011","Houston","ST/TE/outside WR","Coaching","Tony Levine",2010
"2008–2011","Houston","ST/TE/outside WR","Coaching","Tony Levine",2011
"2011–2013","Houston","HC","Coaching","Tony Levine",2011
"2011–2013","Houston","HC","Coaching","Tony Levine",2012
"2011–2013","Houston","HC","Coaching","Tony Levine",2013
"1983–1984","Florida","Graduate asst","Coaching","Charlie Strong",1983
"1983–1984","Florida","Graduate asst","Coaching","Charlie Strong",1984
"1985","Texas A&M","Graduate asst","Coaching","Charlie Strong",1985
"1986–1987","Southern Illinois","WR","Coaching","Charlie Strong",1986
"1986–1987","Southern Illinois","WR","Coaching","Charlie Strong",1987
"1988–1989","Florida","OLB","Coaching","Charlie Strong",1988
"1988–1989","Florida","OLB","Coaching","Charlie Strong",1989
"1990","Ole Miss","WR","Coaching","Charlie Strong",1990
"1991–1994","Florida","Asst HC/DT","Coaching","Charlie Strong",1991
"1991–1994","Florida","Asst HC/DT","Coaching","Charlie Strong",1992
"1991–1994","Florida","Asst HC/DT","Coaching","Charlie Strong",1993
"1991–1994","Florida","Asst HC/DT","Coaching","Charlie Strong",1994
"1995–1998","Notre Dame","DE / DT","Coaching","Charlie Strong",1995
"1995–1998","Notre Dame","DE / DT","Coaching","Charlie Strong",1996
"1995–1998","Notre Dame","DE / DT","Coaching","Charlie Strong",1997
"1995–1998","Notre Dame","DE / DT","Coaching","Charlie Strong",1998
"1999–2001","South Carolina","DC","Coaching","Charlie Strong",1999
"1999–2001","South Carolina","DC","Coaching","Charlie Strong",2000
"1999–2001","South Carolina","DC","Coaching","Charlie Strong",2001
"2002–2009","Florida","DC/DE","Coaching","Charlie Strong",2002
"2002–2009","Florida","DC/DE","Coaching","Charlie Strong",2003
"2002–2009","Florida","DC/DE","Coaching","Charlie Strong",2004
"2002–2009","Florida","DC/DE","Coaching","Charlie Strong",2005
"2002–2009","Florida","DC/DE","Coaching","Charlie Strong",2006
"2002–2009","Florida","DC/DE","Coaching","Charlie Strong",2007
"2002–2009","Florida","DC/DE","Coaching","Charlie Strong",2008
"2002–2009","Florida","DC/DE","Coaching","Charlie Strong",2009
"2010–2013","Florida","interim HC","Coaching","Charlie Strong",2010
"2010–2013","Florida","interim HC","Coaching","Charlie Strong",2011
"2010–2013","Florida","interim HC","Coaching","Charlie Strong",2012
"2010–2013","Florida","interim HC","Coaching","Charlie Strong",2013
"1983–1984","Florida","Asst HC/co-DC/LB","Coaching","Charlie Strong",1983
"1983–1984","Florida","Asst HC/co-DC/LB","Coaching","Charlie Strong",1984
"1985","Louisville","HC","Coaching","Charlie Strong",1985
"2001–2003","Illinois State","QB","Coaching","Justin Fuente",2001
"2001–2003","Illinois State","QB","Coaching","Justin Fuente",2002
"2001–2003","Illinois State","QB","Coaching","Justin Fuente",2003
