"W.L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team" "offName"
"W" "12-02-1950" 13 "Gustavus Adolphus (MN)" 7 "Refrigerator Bowl" 1 12 2 1950 "Abilene Christian (TX)" "Abilene Christian University"
"W" "12-08-1973" 42 "Elon (NC)" 14 "Championship Bowl - NAIA Division I Championship Game" 1 12 8 1973 "Abilene Christian (TX)" "Abilene Christian University"
"W" "12-04-1976" 22 "Harding (AR)" 12 "San Jacinto Shrine Bowl" 1 12 4 1976 "Abilene Christian (TX)" "Abilene Christian University"
"W" "12-10-1977" 24 "Southwestern Oklahoma St." 7 "Apple Bowl - NAIA Division I Championship Game" 1 12 10 1977 "Abilene Christian (TX)" "Abilene Christian University"
"L" "12-03-1966" 26 "Florida A&M" 43 "Orange Blossom Classic" 1 12 3 1966 "Alabama A&M" "Alabama Agricultural and Mechanical University"
"L" "12-04-1971" 21 "Jackson St. (MS)" 40 "Azalea Classic" 1 12 4 1971 "Alabama A&M" "Alabama Agricultural and Mechanical University"
"L" "01-01-1932" 2 "Prairie View A&M (TX)" 27 "Prairie View Bowl" 1 1 1 1932 "Alabama St." "Alabama State University"
"L" "01-01-1941" 6 "Prairie View A&M (TX)" 7 "Prairie View Bowl" 1 1 1 1941 "Alabama St." "Alabama State University"
"W" "12-21-1991" 36 "North Carolina A&T" 13 "Heritage Bowl" 1 12 21 1991 "Alabama St." "Alabama State University"
"L" "12-18-1951" 0 "Morris Brown (GA)" 21 "Tropical Bowl" 1 12 18 1951 "Alcorn St. (MS)" "Alcorn State University"
"L" "12-02-1952" 13 "Grambling St. (LA)" 27 "Lions Bowl (LA)" 1 12 2 1952 "Alcorn St. (MS)" "Alcorn State University"
"W" "12-07-1968" 36 "Florida A&M" 9 "Orange Blossom Classic" 1 12 7 1968 "Alcorn St. (MS)" "Alcorn State University"
"W" "01-01-1947" 7 "Lane (TN)" 0 "Cattle Bowl" 1 1 1 1947 "Arkansas-Pine Bluff" "University of Arkansas at Pine Bluff"
"L" "01-01-1952" 26 "Prairie View A&M (TX)" 27 "Prairie View Bowl" 1 1 1 1952 "Arkansas-Pine Bluff" "University of Arkansas at Pine Bluff"
"L" "12-31-1960" 8 "Prairie View A&M (TX)" 19 "Prairie View Bowl" 1 12 31 1960 "Arkansas-Pine Bluff" "University of Arkansas at Pine Bluff"
"L" "12-10-1994" 12 "Northeastern St. (OK)" 13 "Championship Bowl - NAIA Division I Championship Game" 1 12 10 1994 "Arkansas-Pine Bluff" "University of Arkansas at Pine Bluff"
"W" "01-01-1946" 32 "Albany St. (GA)" 0 "Coconut Bowl (1)" 1 1 1 1946 "Bethune-Cookman (FL)" "Bethune-Cookman College"
"W" "01-01-1947" 13 "Columbia Sporting Club (SC)" 0 "Coconut Bowl (1)" 1 1 1 1947 "Bethune-Cookman (FL)" "Bethune-Cookman College"
"L" "12-05-1947" 6 "Grambling St. (LA)" 47 "Lions Bowl (LA)" 1 12 5 1947 "Bethune-Cookman (FL)" "Bethune-Cookman College"
"W" "01-01-1948" 6 "Lane (TN)" 0 "Flower Bowl" 1 1 1 1948 "Bethune-Cookman (FL)" "Bethune-Cookman College"
"L" "12-09-1950" 0 "Allen (SC)" 20 "Iodine Bowl" 1 12 9 1950 "Bethune-Cookman (FL)" "Bethune-Cookman College"
"W" "01-01-1952" 27 "Texas College" 13 "Vulcan Bowl" 1 1 1 1952 "Bethune-Cookman (FL)" "Bethune-Cookman College"
"W" "12-13-1952" 54 "Albany St. (GA)" 0 "Tropical Bowl" 1 12 13 1952 "Bethune-Cookman (FL)" "Bethune-Cookman College"
"L" "12-12-1953" 0 "Virginia Union" 13 "Tropical Bowl" 1 12 12 1953 "Bethune-Cookman (FL)" "Bethune-Cookman College"
"W" "12-07-1974" 19 "Langston (OK)" 3 "Azalea Classic" 1 12 7 1974 "Bethune-Cookman (FL)" "Bethune-Cookman College"
"L" "12-26-1998" 2 "Southern (LA)" 28 "Heritage Bowl" 1 12 26 1998 "Bethune-Cookman (FL)" "Bethune-Cookman College"
"L" "01-01-1916" 0 "Washington St." 14 "Tournament of Roses Game" 1 1 1 1916 "Brown (RI)" "Brown University"
"W" "01-01-1935" 26 "Miami (FL)" 0 "Orange Bowl" 1 1 1 1935 "Bucknell (PA)" "Bucknell University"
"W" "12-05-2009" 28 "Central Connecticut St." 23 "Gridiron Classic" 1 12 5 2009 "Butler (IN)" "Butler University"
"L" "12-10-1972" 21 "North Dakota" 38 "Camellia Bowl (2)" 1 12 10 1972 "Cal Poly-San Luis Obispo" "California Polytechnic State University: San Luis Obispo"
"W" "12-13-1980" 21 "Eastern Illinois" 13 "Zia Bowl - Division II Championship Game" 1 12 13 1980 "Cal Poly-San Luis Obispo" "California Polytechnic State University: San Luis Obispo"
"L" "12-07-1968" 7 "Grambling St. (LA)" 34 "Pasadena Bowl" 0 12 7 1968 "Cal St.-Sacramento" "California State University: Sacramento"
"L" "12-12-1964" 7 "Montana St." 28 "Camellia Bowl (2)" 1 12 12 1964 "Cal St.-Sacramento" "California State University: Sacramento"
"L" "11-24-1949" 15 "Pacific (OR)" 33 "Pear Bowl" 1 11 24 1949 "California-Davis" "University of California: Davis"
"L" "11-24-1951" 7 "Pacific (OR)" 25 "Pear Bowl" 1 11 24 1951 "California-Davis" "University of California: Davis"
"L" "12-09-1972" 14 "Massachusetts" 35 "Boardwalk Bowl" 1 12 9 1972 "California-Davis" "University of California: Davis"
"L" "12-03-1977" 30 "Lehigh (PA)" 39 "Knute Rockne Bowl - Division II Semifinal Playoff Game" 1 12 3 1977 "California-Davis" "University of California: Davis"
"L" "12-11-1982" 9 "Texas St." 34 "Palm Bowl - Division II Championship Game" 1 12 11 1982 "California-Davis" "University of California: Davis"
"L" "12-25-1937" 26 "Fresno St. (CA)" 27 "Charity Bowl" 1 12 25 1937 "Central Arkansas" "University of Central Arkansas"
"L" "12-05-1947" 20 "Midwestern St. (TX)" 39 "Kickapoo Bowl" 1 12 5 1947 "Central Arkansas" "University of Central Arkansas"
"L" "12-11-1976" 0 "Texas A&M-Kingsville" 26 "Championship Bowl - NAIA Division I Championship Game" 1 12 11 1976 "Central Arkansas" "University of Central Arkansas"
"T" "12-15-1984" 19 "Carson-Newman (TN)" 19 "Championship Bowl - NAIA Division I Championship Game" 1 12 15 1984 "Central Arkansas" "University of Central Arkansas"
"T" "12-21-1985" 10 "Hillsdale (MI)" 10 "Championship Bowl - NAIA Division I Championship Game" 1 12 21 1985 "Central Arkansas" "University of Central Arkansas"
"W" "12-14-1991" 19 "Central St. (OH)" 16 "Championship Bowl - NAIA Division I Championship Game" 1 12 14 1991 "Central Arkansas" "University of Central Arkansas"
"L" "12-05-2009" 23 "Butler (IN)" 28 "Gridiron Classic" 1 12 5 2009 "Central Connecticut St." "Central Connecticut State University"
"W" "12-30-1960" 27 "Tennessee Tech" 0 "Tangerine Bowl" 1 12 30 1960 "Citadel (SC)" "The Citadel"
"W" "01-01-1934" 7 "Stanford (CA)" 0 "Rose Bowl" 1 1 1 1934 "Columbia (NY)" "Columbia University: Columbia College"
"L" "12-26-1969" 33 "Toledo (OH)" 56 "Tangerine Bowl" 1 12 26 1969 "Davidson (NC)" "Davidson College"
"L" "01-01-1952" 21 "Houston (TX)" 26 "Salad Bowl" 0 1 1 1952 "Dayton (OH)" "University of Dayton"
"W" "12-06-1980" 63 "Ithaca (NY)" 0 "Amos Alonzo Stagg Bowl - Division III Championship Game" 1 12 6 1980 "Dayton (OH)" "University of Dayton"
"L" "12-05-1981" 10 "Widener (PA)" 17 "Amos Alonzo Stagg Bowl - Division III Championship Game" 1 12 5 1981 "Dayton (OH)" "University of Dayton"
"L" "12-12-1987" 3 "Wagner (NY)" 19 "Amos Alonzo Stagg Bowl - Division III Championship Game" 1 12 12 1987 "Dayton (OH)" "University of Dayton"
"W" "12-09-1989" 17 "Union (NY)" 7 "Amos Alonzo Stagg Bowl - Division III Championship Game" 1 12 9 1989 "Dayton (OH)" "University of Dayton"
"L" "12-14-1991" 20 "Ithaca (NY)" 34 "Amos Alonzo Stagg Bowl - Division III Championship Game" 1 12 14 1991 "Dayton (OH)" "University of Dayton"
"W" "12-01-2007" 42 "SUNY-Albany (NY)" 21 "Gridiron Classic" 1 12 1 2007 "Dayton (OH)" "University of Dayton"
"W" "01-01-1947" 21 "Rollins (FL)" 7 "Cigar Bowl (1)" 1 1 1 1947 "Delaware" "University of Delaware"
"W" "12-05-1954" 19 "Kent St. (OH)" 7 "Refrigerator Bowl" 1 12 5 1954 "Delaware" "University of Delaware"
"W" "12-14-1968" 31 "Indiana (PA)" 24 "Boardwalk Bowl" 1 12 14 1968 "Delaware" "University of Delaware"
"W" "12-13-1969" 31 "North Carolina Central" 13 "Boardwalk Bowl" 1 12 13 1969 "Delaware" "University of Delaware"
"W" "12-12-1970" 38 "Morgan St. (MD)" 23 "Boardwalk Bowl" 1 12 12 1970 "Delaware" "University of Delaware"
"W" "12-11-1971" 72 "Long Island-CW Post (NY)" 22 "Boardwalk Bowl" 1 12 11 1971 "Delaware" "University of Delaware"
"L" "12-01-1973" 8 "Grambling St. (LA)" 17 "Boardwalk Bowl - Division II Quarterfinal Playoff Game" 1 12 1 1973 "Delaware" "University of Delaware"
"W" "12-07-1974" 49 "Nevada-Las Vegas" 11 "Grantland Rice Bowl - Division II Semifinal Playoff Game" 1 12 7 1974 "Delaware" "University of Delaware"
"L" "12-14-1974" 14 "Central Michigan" 54 "Camellia Bowl (2) - Division II Championship Game" 1 12 14 1974 "Delaware" "University of Delaware"
"W" "12-08-1979" 38 "Youngstown St. (OH)" 21 "Zia Bowl - Division II Championship Game" 1 12 8 1979 "Delaware" "University of Delaware"
"L" "12-18-1982" 14 "Eastern Kentucky" 17 "Pioneer Bowl (1) - Division I-AA Championship Game" 1 12 18 1982 "Delaware" "University of Delaware"
"W" "01-01-1947" 7 "Florida N&I" 6 "Flower Bowl" 1 1 1 1947 "Delaware St." "Delaware State University"
"L" "12-03-1977" 15 "Florida A&M" 37 "Orange Blossom Classic" 1 12 3 1977 "Delaware St." "Delaware State University"
"W" "01-01-1946" 13 "Fresno St. (CA)" 12 "Raisin Bowl" 0 1 1 1946 "Drake (IA)" "Drake University"
"W" "01-01-1949" 14 "Arizona" 13 "Salad Bowl" 0 1 1 1949 "Drake (IA)" "Drake University"
"L" "01-01-1958" 20 "Louisville (KY)" 34 "Sun Bowl" 0 1 1 1958 "Drake (IA)" "Drake University"
"L" "12-13-1969" 21 "Arkansas St." 29 "Pecan Bowl (2)" 1 12 13 1969 "Drake (IA)" "Drake University"
"L" "12-10-1972" 7 "Tennessee St." 29 "Pioneer Bowl (1)" 1 12 10 1972 "Drake (IA)" "Drake University"
"W" "01-01-1937" 13 "Mississippi St." 12 "Orange Bowl" 0 1 1 1937 "Duquesne (PA)" "Duquesne University"
"T" "12-05-1931" 0 "Carnegie Mellon (PA)" 0 "Pittsburgh Charity Game" 1 12 5 1931 "Duquesne (PA)" "Duquesne University"
"W" "01-01-1934" 33 "Miami (FL)" 7 "Palm Festival" 1 1 1 1934 "Duquesne (PA)" "Duquesne University"
"W" "11-18-1995" 44 "Wagner (NY)" 20 "Eastern College Athletic Conference Bowl" 1 11 18 1995 "Duquesne (PA)" "Duquesne University"
"L" "11-23-1996" 26 "Robert Morris (PA)" 28 "Eastern College Athletic Conference Bowl" 1 11 23 1996 "Duquesne (PA)" "Duquesne University"
"L" "12-01-2001" 15 "Sacred Heart (CT)" 31 "Eastern College Athletic Conference Bowl" 1 12 1 2001 "Duquesne (PA)" "Duquesne University"
"L" "11-23-2002" 0 "SUNY-Albany (NY)" 24 "Eastern College Athletic Conference Bowl" 1 11 23 2002 "Duquesne (PA)" "Duquesne University"
"W" "11-22-2003" 12 "Monmouth (NJ)" 10 "Eastern College Athletic Conference Bowl" 1 11 22 2003 "Duquesne (PA)" "Duquesne University"
"L" "11-25-1948" 0 "Illinois Wesleyan" 6 "Corn Bowl" 1 11 25 1948 "Eastern Illinois" "Eastern Illinois University"
"L" "12-13-1980" 13 "Cal Poly-San Luis Obispo" 21 "Zia Bowl - Division II Championship Game" 1 12 13 1980 "Eastern Illinois" "Eastern Illinois University"
"L" "01-01-1955" 6 "Nebraska-Omaha" 7 "Tangerine Bowl" 1 1 1 1955 "Eastern Kentucky" "Eastern Kentucky University"
"W" "12-09-1967" 27 "Ball St. (IN)" 13 "Grantland Rice Bowl" 1 12 9 1967 "Eastern Kentucky" "Eastern Kentucky University"
"L" "12-20-1980" 29 "Boise St. (ID)" 31 "Camellia Bowl (2) - Division I-AA Championship Game" 1 12 20 1980 "Eastern Kentucky" "Eastern Kentucky University"
"L" "12-19-1981" 23 "Idaho St." 34 "Pioneer Bowl (1) - Division I-AA Championship Game" 1 12 19 1981 "Eastern Kentucky" "Eastern Kentucky University"
"W" "12-18-1982" 17 "Delaware" 14 "Pioneer Bowl (1) - Division I-AA Championship Game" 1 12 18 1982 "Eastern Kentucky" "Eastern Kentucky University"
"L" "12-09-1967" 21 "Fairmont St. (WV)" 28 "Championship Bowl - NAIA Championship Game" 1 12 9 1967 "Eastern Washington" "Eastern Washington University"
"L" "12-08-1973" 14 "Abilene Christian (TX)" 42 "Championship Bowl - NAIA Division I Championship Game" 1 12 8 1973 "Elon (NC)" "Elon University"
"L" "12-16-1978" 14 "Angelo St. (TX)" 24 "Palm Bowl - NAIA Division I Championship Game" 1 12 16 1978 "Elon (NC)" "Elon University"
"W" "12-20-1980" 17 "Northeastern St. (OK)" 10 "Championship Bowl - NAIA Division I Championship Game" 1 12 20 1980 "Elon (NC)" "Elon University"
"W" "12-19-1981" 3 "Pittsburg St. (KS)" 0 "Championship Bowl - NAIA Division I Championship Game" 1 12 19 1981 "Elon (NC)" "Elon University"
"W" "12-02-1933" 9 "Howard (DC)" 6 "Orange Blossom Classic" 1 12 2 1933 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-13-1934" 13 "Virginia St." 12 "Orange Blossom Classic" 1 12 13 1934 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-12-1935" 9 "Kentucky St." 19 "Orange Blossom Classic" 1 12 12 1935 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-05-1936" 0 "Prairie View A&M (TX)" 6 "Orange Blossom Classic" 1 12 5 1936 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-09-1937" 25 "Hampton (VA)" 20 "Orange Blossom Classic" 1 12 9 1937 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "01-01-1938" 14 "Prairie View A&M (TX)" 27 "Prairie View Bowl" 1 1 1 1938 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-08-1938" 9 "Kentucky St." 7 "Orange Blossom Classic" 1 12 8 1938 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-02-1939" 42 "Wiley (TX)" 0 "Orange Blossom Classic" 1 12 2 1939 "Florida A&M" "Florida Agricultural and Mechanical University"
"T" "12-07-1940" 0 "Wilberforce (OH)" 0 "Orange Blossom Classic" 1 12 7 1940 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-06-1941" 15 "Tuskegee (AL)" 7 "Orange Blossom Classic" 1 12 6 1941 "Florida A&M" "Florida Agricultural and Mechanical University"
