"Years" "conference" "offName" "school" "Division" "offName"
1956 "Independent" "United States Air Force Academy" "Air Force (CO)" "NJCAA" "United States Air Force Academy"
1957 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1958 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1959 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1960 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1961 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1962 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1963 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1964 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1965 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1966 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1967 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1968 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1969 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1970 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1971 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1972 "Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA University Division (Major College)" "United States Air Force Academy"
1973 "Division I Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA Division I" "United States Air Force Academy"
1974 "Division I Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA Division I" "United States Air Force Academy"
1975 "Division I Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA Division I" "United States Air Force Academy"
1976 "Division I Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA Division I" "United States Air Force Academy"
1977 "Division I Independent" "United States Air Force Academy" "Air Force (CO)" "NCAA Division I" "United States Air Force Academy"
