"Years" "Conference" "offName" "school" "Division" "school"
1912 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1913 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1914 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1915 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1916 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1917 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1918 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1919 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1920 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1921 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1922 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1923 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1924 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1925 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1926 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1927 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1928 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1929 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1930 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1931 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1932 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1933 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1934 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1935 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1936 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1937 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1938 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1939 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1940 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1941 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1942 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1943 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1944 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1945 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1946 "Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
1947 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" NA NA
