"Rank1" "espnNames" "conference" "signed" "espn150" "five" "four" "three" "off" "def" "specTeams" "athletes" "year" "espn300" "Score"
1 "Air Force" "Mountain West" 39 0 2 2 17 18 17 0 4 2011 NA 69
1 "Air Force" "Mountain West" 46 0 2 2 25 18 22 1 4 2012 NA 93
1 "Georgia" "SEC" 33 5 2 23 6 12 18 0 3 2013 14 120
1 "Kansas State" "Big 12" 37 1 1 1 1 17 20 0 0 2006 NA 12
1 "Mississippi State" "SEC" 35 0 1 1 1 15 19 1 0 2007 NA 12
1 "Syracuse" "Big East" 33 0 2 2 2 16 14 1 2 2010 NA 24
1 "Troy" "Sun Belt" 36 0 1 1 1 14 20 0 2 2008 NA 12
1 "Troy" "Sun Belt" 39 0 2 2 2 19 19 0 1 2009 NA 24
1 "Wofford" "NCAA Division I-AA" 1 0 1 1 1 1 0 0 0 2006 NA 12
1 "Georgia Southern" "NCAA Division I-AA" 36 0 1 1 1 19 15 0 2 2008 NA 12
1 "Western Kentucky" "Sun Belt" 5 0 1 1 1 2 3 0 0 2007 NA 12
1 "Massachusetts" "Mid-American" 26 0 2 2 20 14 11 0 1 2012 NA 78
1 "Bethune-Cookman" "NCAA Division I-AA" 28 0 2 2 3 8 15 1 4 2011 NA 27
1 "Eastern Washington" "NCAA Division I-AA" 32 0 2 2 2 0 0 0 0 2009 NA 24
1 "Lafayette" "NCAA Division I-AA" 32 0 2 2 2 16 14 0 2 2010 NA 24
1 "Old Dominion" "NCAA Division I-AA" 34 0 2 2 16 15 16 1 0 2013 0 66
10 "Alabama" "SEC" 28 8 2 2 2 11 13 2 2 2010 NA 24
10 "Auburn" "SEC" 28 2 1 1 1 13 14 0 1 2008 NA 12
10 "Baylor" "Big 12" 29 1 2 2 2 17 9 0 3 2009 NA 24
10 "Fresno State" "Mountain West" 28 1 2 3 22 14 12 1 1 2013 1 88
10 "Louisville" "Big East" 30 2 1 1 1 17 12 1 0 2006 NA 12
10 "Toledo" "Mid-American" 31 0 2 2 8 19 9 2 1 2012 NA 42
10 "UCF" "Conference USA" 29 1 1 1 1 18 10 1 0 2007 NA 12
