"Year" "Record" "APRank" "CoachRank" "NCAARank" "SportsNetworkRank" "USA/ESPNRank" "school"
"1958" "9-0-2" "6" "8" NA NA NA "Air Force (CO)"
"1970" "9-3-0" "16" "11" NA NA NA "Air Force (CO)"
"1983" "10-2-0" "13" "15" NA NA NA "Air Force (CO)"
"1985" "12-1-0" "8" "5" NA NA NA "Air Force (CO)"
"1991" "10-3-0" "25" "24" NA NA NA "Air Force (CO)"
"1997" "10-3-0" "" "25" NA NA NA "Air Force (CO)"
"1998" "12-1-0" "13" "10" NA NA NA "Air Force (CO)"
"1985" "8-4-0" NA NA "10" "" "" "Akron (OH)"
"1936" "8-0-1" "4" "" NA NA NA "Alabama"
"1937" "9-1-0" "4" "" NA NA NA "Alabama"
"1938" "7-1-1" "13" "" NA NA NA "Alabama"
"1941" "9-2-0" "20" "" NA NA NA "Alabama"
"1942" "8-3-0" "10" "" NA NA NA "Alabama"
"1945" "10-0-0" "2" "" NA NA NA "Alabama"
"1947" "8-3-0" "6" "" NA NA NA "Alabama"
"1950" "9-2-0" "16" "17" NA NA NA "Alabama"
"1952" "10-2-0" "9" "9" NA NA NA "Alabama"
"1953" "6-3-3" "13" "11" NA NA NA "Alabama"
"1959" "7-2-2" "10" "13" NA NA NA "Alabama"
"1960" "8-1-2" "9" "10" NA NA NA "Alabama"
"1961" "11-0-0" "1" "1" NA NA NA "Alabama"
"1962" "10-1-0" "5" "5" NA NA NA "Alabama"
"1963" "9-2-0" "8" "9" NA NA NA "Alabama"
"1964" "10-1-0" "1" "1" NA NA NA "Alabama"
"1965" "9-1-1" "1" "4" NA NA NA "Alabama"
"1966" "11-0-0" "3" "3" NA NA NA "Alabama"
"1967" "8-2-1" "8" "7" NA NA NA "Alabama"
"1968" "8-3-0" "17" "12" NA NA NA "Alabama"
"1971" "11-1-0" "4" "2" NA NA NA "Alabama"
"1972" "10-2-0" "7" "4" NA NA NA "Alabama"
"1973" "11-1-0" "4" "1" NA NA NA "Alabama"
"1974" "11-1-0" "5" "2" NA NA NA "Alabama"
"1975" "11-1-0" "3" "3" NA NA NA "Alabama"
"1976" "9-3-0" "11" "9" NA NA NA "Alabama"
"1977" "11-1-0" "2" "2" NA NA NA "Alabama"
"1978" "11-1-0" "1" "2" NA NA NA "Alabama"
"1979" "12-0-0" "1" "1" NA NA NA "Alabama"
"1980" "10-2-0" "6" "6" NA NA NA "Alabama"
"1981" "9-2-1" "7" "6" NA NA NA "Alabama"
"1982" "8-4-0" "" "17" NA NA NA "Alabama"
"1983" "8-4-0" "15" "12" NA NA NA "Alabama"
"1985" "9-2-1" "13" "14" NA NA NA "Alabama"
"1986" "10-3-0" "9" "9" NA NA NA "Alabama"
"1988" "9-3-0" "17" "17" NA NA NA "Alabama"
"1989" "10-2-0" "9" "7" NA NA NA "Alabama"
"1991" "11-1-0" "5" "5" NA NA NA "Alabama"
"1992" "13-0-0" "1" "1" NA NA NA "Alabama"
"1993" "1-12-0" "14" "13" NA NA NA "Alabama"
"1994" "12-1-0" "5" "4" NA NA NA "Alabama"
"1995" "8-3-0" "21" "" NA NA NA "Alabama"
"1996" "10-3-0" "11" "11" NA NA NA "Alabama"
"1999" "10-3-0" "8" "8" NA NA NA "Alabama"
"2002" "10-3-0" "11" "" NA NA NA "Alabama"
"2005" "0-2-0" "8" "8" NA NA NA "Alabama"
"2008" "12-2-0" "6" "6" NA NA NA "Alabama"
"2009" "14-0-0" "1" "1" NA NA NA "Alabama"
"2010" "10-3-0" "10" "11" NA NA NA "Alabama"
"2011" "12-1-0" "1" "1" NA NA NA "Alabama"
"1961" "8-1-1" "17" "" NA NA NA "Arizona"
"1975" "9-2-0" "18" "13" NA NA NA "Arizona"
"1986" "9-3-0" "11" "10" NA NA NA "Arizona"
"1989" "8-4-0" "25" "" NA NA NA "Arizona"
"1993" "10-2-0" "10" "9" NA NA NA "Arizona"
"1994" "8-4-0" "20" "20" NA NA NA "Arizona"
"1998" "12-1-0" "4" "4" NA NA NA "Arizona"
"1957" "10-0-0" "12" "12" NA NA NA "Arizona St."
"1962" "7-2-1" "" "18" NA NA NA "Arizona St."
"1963" "8-1-0" "" "13" NA NA NA "Arizona St."
"1967" "8-2-0" "" "20" NA NA NA "Arizona St."
"1970" "11-0-0" "6" "8" NA NA NA "Arizona St."
"1971" "11-1-0" "8" "6" NA NA NA "Arizona St."
"1972" "10-2-0" "13" "13" NA NA NA "Arizona St."
"1973" "11-1-0" "9" "10" NA NA NA "Arizona St."
"1975" "12-0-0" "2" "2" NA NA NA "Arizona St."
"1977" "9-3-0" "18" "18" NA NA NA "Arizona St."
"1978" "9-3-0" "" "19" NA NA NA "Arizona St."
"1981" "9-2-0" "16" "" NA NA NA "Arizona St."
"1982" "10-2-0" "6" "6" NA NA NA "Arizona St."
"1986" "10-1-1" "4" "5" NA NA NA "Arizona St."
"1987" "7-4-1" "20" "" NA NA NA "Arizona St."
"1996" "11-1-0" "4" "4" NA NA NA "Arizona St."
"1997" "9-3-0" "14" "14" NA NA NA "Arizona St."
"2004" "9-3-0" "19" "20" NA NA NA "Arizona St."
"2007" "10-3-0" "16" "13" NA NA NA "Arizona St."
"1936" "7-3-0" "18" "" NA NA NA "Arkansas"
"1937" "6-2-2" "14" "" NA NA NA "Arkansas"
"1946" "6-3-2" "16" "" NA NA NA "Arkansas"
"1954" "8-3-0" "10" "8" NA NA NA "Arkansas"
"1959" "9-2-0" "9" "9" NA NA NA "Arkansas"
"1960" "8-3-0" "7" "7" NA NA NA "Arkansas"
"1961" "8-3-0" "9" "8" NA NA NA "Arkansas"
"1962" "9-2-0" "6" "6" NA NA NA "Arkansas"
"1964" "11-0-0" "2" "2" NA NA NA "Arkansas"
"1965" "10-1-0" "3" "2" NA NA NA "Arkansas"
"1966" "8-2-0" "" "13" NA NA NA "Arkansas"
"1968" "10-1-0" "6" "9" NA NA NA "Arkansas"
"1969" "9-2-0" "7" "3" NA NA NA "Arkansas"
"1970" "9-2-0" "11" "12" NA NA NA "Arkansas"
"1971" "8-3-1" "16" "20" NA NA NA "Arkansas"
"1975" "10-2-0" "7" "6" NA NA NA "Arkansas"
"1977" "11-1-0" "3" "3" NA NA NA "Arkansas"
"1978" "9-2-1" "11" "10" NA NA NA "Arkansas"
"1979" "10-2-0" "8" "9" NA NA NA "Arkansas"
"1981" "8-4-0" "" "16" NA NA NA "Arkansas"
"1982" "9-2-1" "9" "8" NA NA NA "Arkansas"
"1985" "10-2-0" "12" "12" NA NA NA "Arkansas"
"1986" "9-3-0" "15" "16" NA NA NA "Arkansas"
"1988" "10-2-0" "12" "13" NA NA NA "Arkansas"
