"No","Year","Record","APRank","CoachRank","Team","offName"
"1","1945","8-1-0","20","","Columbia (NY)","Clemson University"
"2","1947","7-2-0","20","","Columbia (NY)","Clemson University"
"1","1938","5-1-1","12","","Cornell (NY)","University of Colorado at Boulder"
"2","1939","8-0-0","4","","Cornell (NY)","University of Colorado at Boulder"
"3","1940","6-2-0","15","","Cornell (NY)","University of Colorado at Boulder"
"4","1948","8-1-0","19","","Cornell (NY)","University of Colorado at Boulder"
"5","1949","8-1-0","12","","Cornell (NY)","University of Colorado at Boulder"
"6","1950","7-2-0","","20","Cornell (NY)","University of Colorado at Boulder"
"1","1936","7-1-1","13","","Dartmouth (NH)","Colorado State University"
"2","1937","7-0-2","7","","Dartmouth (NH)","Colorado State University"
"3","1938","7-2-0","20","","Dartmouth (NH)","Colorado State University"
"4","1943","6-1-0","16","","Dartmouth (NH)","Colorado State University"
"5","1970","9-0-0","14","13","Dartmouth (NH)","Colorado State University"
"1","1946","10-0-0","19","","Delaware","East Carolina University"
"1","1936","8-2-0","14","","Duquesne (PA)","Florida Atlantic University"
"2","1939","8-0-1","10","","Duquesne (PA)","Florida Atlantic University"
"3","1941","8-0-0","8","","Duquesne (PA)","Florida Atlantic University"
"1","1936","5-1-2","15","","Fordham (NY)","Georgia Institute of Technology"
"2","1937","7-0-1","3","","Fordham (NY)","Georgia Institute of Technology"
"3","1938","6-1-2","15","","Fordham (NY)","Georgia Institute of Technology"
"4","1939","6-2-0","17","","Fordham (NY)","Georgia Institute of Technology"
"5","1940","7-2-0","12","","Fordham (NY)","Georgia Institute of Technology"
"6","1941","8-1-0","6","","Fordham (NY)","Georgia Institute of Technology"
"1","1940","8-2-0","13","","Georgetown (DC)","University of Idaho"
"1","1937","8-0-2","14","","Holy Cross (MA)","Iowa State University"
"2","1938","8-1-0","9","","Holy Cross (MA)","Iowa State University"
"3","1942","5-4-1","19","","Holy Cross (MA)","Iowa State University"
"4","1945","8-2-0","16","","Holy Cross (MA)","Iowa State University"
"5","1951","8-2-0","19","17","Holy Cross (MA)","Iowa State University"
"1","1940","9-0-0","19","","Lafayette (PA)","University of Maryland: College Park"
"1","1936","7-1-0","10","","Pennsylvania","University of Oregon"
"2","1940","6-1-1","14","","Pennsylvania","University of Oregon"
"3","1941","7-1-0","15","","Pennsylvania","University of Oregon"
"4","1943","6-2-1","20","","Pennsylvania","University of Oregon"
"5","1945","6-2-0","8","","Pennsylvania","University of Oregon"
"6","1946","6-2-0","13","","Pennsylvania","University of Oregon"
"7","1947","7-0-1","7","","Pennsylvania","University of Oregon"
"1","1949","6-3-0","18","","Princeton (NJ)","Purdue University"
"2","1950","9-0-0","6","8","Princeton (NJ)","Purdue University"
"3","1951","9-0-0","6","6","Princeton (NJ)","Purdue University"
"4","1952","8-1-0","19","14","Princeton (NJ)","Purdue University"
"5","1964","9-0-0","","13","Princeton (NJ)","Purdue University"
"1","1937","8-0-1","6","","Villanova (PA)","Vanderbilt University"
"2","1938","8-0-1","18","","Villanova (PA)","Vanderbilt University"
"3","1949","8-1-0","13","","Villanova (PA)","Vanderbilt University"
"1","1957","9-0-1","20","","Virginia Military Institute","University of Virginia"
"1","1942","9-1-1","14","","William & Mary (VA)","West Virginia University"
"2","1947","9-2-0","14","","William & Mary (VA)","West Virginia University"
"3","1948","7-2-2","17","","William & Mary (VA)","West Virginia University"
"1","1936","7-1-0","12","","Yale (CT)","Western Michigan University"
"2","1937","6-1-1","12","","Yale (CT)","Western Michigan University"
"3","1946","7-1-1","12","","Yale (CT)","Western Michigan University"
"4","1956","8-1-0","","17","Yale (CT)","Western Michigan University"
"5","1960","9-0-0","14","18","Yale (CT)","Western Michigan University"
