"RivalsRank" "School" "Total" "5-Star" "4-Star" "3-Star" "AvgStar" "Points" "Year"
"1" "Alabama" 22 3 14 5 3.91 2632 2011
"1" "Alabama" 25 4 13 8 3.84 3166 2013
"1" "Alabama" 26 3 14 9 3.77 2621 2012
"1" "Alabama" 27 4 14 9 3.81 2786 2009
"1" "Alabama" 32 3 19 8 3.72 2836 2008
"1" "Florida" 27 4 16 7 3.89 2959 2007
"1" "LSU" 28 1 17 10 3.68 2626 2003
"1" "Texas" 28 6 15 5 3.89 2792 2002
"1" "USC" 20 4 11 5 3.95 2631 2005
"1" "USC" 20 5 14 1 4.2 3003 2010
"1" "USC" 20 8 7 3 4.05 2908 2004
"1" "USC" 26 5 14 6 3.81 3010 2006
"10" "Alabama" 25 0 10 12 3.28 1789 2007
"10" "Auburn" 21 0 13 8 3.62 1951 2012
"10" "Auburn" 25 1 14 7 3.52 2148 2006
"10" "Colorado" 31 1 7 19 3.16 2055 2002
"10" "Florida" 23 1 11 10 3.52 2065 2004
"10" "Florida State" 21 2 9 9 3.57 2352 2013
"10" "Florida State" 24 2 8 14 3.5 1953 2010
"10" "Georgia" 19 0 11 8 3.58 1814 2005
"10" "Michigan" 24 0 17 6 3.67 2220 2008
"10" "Notre Dame" 23 2 8 12 3.48 1976 2011
"10" "Tennessee" 21 2 9 10 3.62 2037 2009
"10" "Texas A&M" 24 1 5 17 3.25 1778 2003
"100" "Arkansas State" 27 0 0 6 2.22 90 2010
"100" "Ball State" 21 0 0 1 2.05 735 2013
"100" "Boise State" 20 0 0 2 2.1 660 2003
"100" "Cincinnati" 23 0 0 2 0.7 360 2002
"100" "East Carolina" 20 0 0 2 2.1 660 2003
"100" "Houston" 20 0 0 3 2.05 72 2008
"100" "Rice" 23 0 0 3 2.13 75 2007
"100" "San Jose State" 26 0 0 6 2.23 90 2010
"100" "UNLV" 24 0 0 6 2.25 90 2010
"100" "Western Michigan" 24 0 0 6 2.25 90 2010
"100" "Wyoming" 23 0 0 6 2.26 90 2010
"101" "Air Force" 32 0 0 2 2.07 720 2013
"101" "Air Force" 34 0 0 2 1.82 70 2008
"101" "Ball State" 21 0 0 2 2.1 70 2008
"101" "Bowling Green" 20 0 0 2 2.1 70 2007
"101" "Colorado State" 18 0 0 2 2.11 64 2005
"101" "Colorado State" 21 0 0 5 2.14 85 2009
"101" "Connecticut" 16 0 0 8 2.5 88 2011
"101" "Florida Atlantic" 21 0 0 2 2.1 70 2008
"101" "Idaho" 21 0 0 2 2.1 70 2008
"101" "Kent State" 26 0 0 2 2.08 70 2007
"101" "Marshall" 12 0 0 1 2.08 325 2002
"101" "New Mexico" 26 0 0 2 2 70 2007
