"off.rank" "school" "games" "off.points" "off.pass.cmp" "off.pass.att" "off.pass.pct" "off.pass.yds" "off.pass.td" "off.rush.att" "off.rush.yds" "off.rush.avg" "off.rush.td" "off.toff.plays" "off.toff.yds" "off.toff.avg" "off.fd.pass" "off.fd.rush" "off.fd.pen" "off.fd.tot" "off.pen.num" "off.pen.yds" "off.turn.fum" "off.turn.int" "off.turn.tot" "year" "def.rank" "def.points" "def.pass.cmp" "def.pass.att" "def.pass.pct" "def.pass.yds" "def.pass.td" "def.rush.att" "def.rush.yds" "def.rush.avg" "def.rush.td" "def.toff.plays" "def.toff.yds" "def.toff.avg" "def.fd.pass" "def.fd.rush" "def.fd.pen" "def.fd.tot" "def.pen.num" "def.pen.yds" "def.turn.fum" "def.turn.int" "def.turn.tot" "spec.rank" "kick.xpm" "kick.xpa" "kick.xpp" "kick.fgm" "kick.fga" "kick.fgp" "kick.pts" "punt.num" "punt.yds" "punt.avg" "kr.num" "kr.yds" "kr.avg" "kr.td" "pr.num" "pr.yds" "pr.avg" "pr.td"
1 "Boise State" 11 44.9 20.5 33.8 60.5 321.5 3.4 40 174.7 4.4 2.1 73.8 496.3 6.7 13.5 8.9 1.5 23.9 6.2 63.5 0.6 0.7 1.4 2000 47 22.8 16.5 32.1 51.3 228.4 1.5 37.8 139.2 3.7 1.3 69.9 367.5 5.3 9 7.5 1.7 18.2 7.1 61.9 0.9 1.2 2.1 13 5.4 5.5 96.7 1.4 1.5 88.2 9.5 4.5 181.3 40.7 4 91.5 22.9 0.1 3.6 33.7 9.3 0.1
2 "Miami (FL)" 11 42.6 18 30.9 58.2 266 2.4 39.5 194.8 4.9 2.2 70.4 460.8 6.5 12.1 7.7 1.4 21.2 8.8 86.5 1.5 0.5 1.9 2000 5 15.5 19.6 38.9 50.5 220.6 1 35.7 112.7 3.2 1 74.6 333.4 4.5 9.8 6.5 2.2 18.5 7.5 55.4 0.9 2.1 3 53 4.9 5.5 90 1 1.6 61.1 7.9 4.5 192.6 42.4 2.5 57.8 22.7 0 4.2 74.5 17.8 0.5
3 "Florida State" 12 42.4 24.2 39.1 61.8 384 3 37.9 165 4.4 2.3 77 549 7.1 14.5 8 2.8 25.3 10.2 93.9 0.7 1.2 1.8 2000 2 10.3 18.3 37.3 49.2 203.1 0.6 32.3 73.9 2.3 0.5 69.5 277 4 9 4.9 2.4 16.3 11.1 89.4 1.1 1.6 2.7 30 4.9 5.6 88.1 1.2 2 58.3 8.4 4.2 168.5 40.4 2.2 42.7 19.7 0 3.7 38.9 10.6 0
4 "Nebraska" 11 41.5 7.6 15.6 48.8 110.6 1 57.8 349.3 6 4.1 73.5 459.9 6.3 5.2 16.8 0.9 22.9 6.5 56.5 0.8 0.7 1.5 2000 27 19.4 16.3 35.7 45.5 208.3 0.9 31.4 113.5 3.6 1.1 67.1 321.8 4.8 9 5.8 1.8 16.6 7.6 59.6 0.5 1.3 1.7 63 5.5 5.5 100 0.5 0.9 50 6.9 3.8 157.8 41.3 2.1 34.8 16.7 0 4.2 46 11 0.3
5 "Virginia Tech" 11 40.3 10.5 20.5 51.3 155.9 0.8 51.8 270.5 5.2 4.2 72.4 426.4 5.9 6.5 14.7 1.2 22.5 6.4 55.7 1.5 0.6 2.1 2000 46 22.6 15.5 32.2 48.3 224.4 1.6 34 99.3 2.9 1.2 66.2 323.6 4.9 8.8 6.4 1.6 16.8 7.3 55.6 0.5 2.1 2.6 109 5.1 5.4 94.9 0.6 0.8 77.8 7 4.4 150.5 34.5 2.7 51.6 18.9 0 3.5 64.6 18.2 0.4
6 "Kansas State" 13 39.5 12.8 26 49.1 211.9 1.5 45.8 198.1 4.3 3.2 71.8 410 5.7 8.2 11.2 1.8 21.2 8.3 71.6 0.8 1 1.8 2000 17 18.5 15.7 30.7 51.1 172.4 0.6 36.4 98.2 2.7 1.5 67.1 270.5 4 7.3 6 1.8 15.2 7.6 55.4 0.7 1.5 2.2 42 4.5 4.8 95.2 1.3 1.5 85 8.5 4.7 169.4 36.1 2.6 48.5 18.6 0 3.2 54.5 17.3 0.3
7 "Oklahoma" 12 39 24.1 37.5 64.2 294.7 1.8 34.2 134.6 3.9 2.7 71.7 429.3 6 12.3 7.4 1.8 21.6 7.7 65.3 0.8 1.4 2.3 2000 7 16 16.3 33.1 49.4 170.8 0.8 34.3 108.2 3.2 1.1 67.4 278.9 4.1 6.7 6.8 1.5 14.9 6.3 52.6 0.9 1.8 2.8 76 4.9 5 98.3 1.1 1.8 61.9 8.2 4.3 181.1 41.8 2.3 48.1 20.6 0 3.5 53.8 15.4 0.2
8 "Texas" 11 38.6 20 36.1 55.4 293.2 2.4 36.9 145.5 3.9 1.7 73 438.6 6 11 8.5 1.9 21.5 8.1 71.4 1 1.3 2.3 2000 11 17.9 15.5 34.5 45.1 184.3 0.7 35.2 94 2.7 1.1 69.6 278.3 4 7.5 6 2.8 16.3 8.2 63 1.5 1.5 3 96 3.7 4 93.2 2 2.4 84.6 9.7 5.1 190.9 37.5 2.8 64.6 22.9 0 3.5 41.2 11.6 0
9 "Northwestern" 11 38.5 18.4 31.5 58.4 218.4 1.7 51.4 257.3 5 3.3 82.8 475.6 5.7 10.1 12.3 1.4 23.7 9.5 83.1 0.5 0.6 1.2 2000 86 30.4 17.6 33.4 52.9 228 2.1 42.7 180.1 4.2 1.7 76.1 408.1 5.4 10.5 8.8 2.5 21.9 7.1 59.9 1.2 1.1 2.3 72 4.5 4.7 96.2 1.1 1.5 75 7.8 5.8 242.5 41.7 4.2 81.8 19.6 0 1.8 18.5 10.2 0
10 "Florida" 12 37.3 22.1 38.8 56.9 308.2 2.8 30.1 110.5 3.7 1.7 68.9 418.7 6.1 12.2 7.5 1.6 21.3 7.8 57.7 0.8 1 1.8 2000 30 19.7 19.8 36.9 53.5 212.9 0.8 36.3 133.1 3.7 1 73.2 346 4.7 9.4 7.7 1.3 18.3 6.8 54.7 1.3 2 3.3 29 4.2 4.5 92.6 1.3 1.6 84.2 8.2 4.3 169.6 39.9 3.1 59.2 19.2 0 2.5 37.5 15 0.2
