name,position,team,year,poy,team1,team2,team3
Johnny Manziel,QB,Texas A&M,2012,1,1,,
Montee Ball,RB,Wisconsin,2012,,1,,
Ka'Deem Carey,RB,Arizona,2012,,1,,
Marqise Lee,WR,Southern California,2012,,1,,
Terrance Williams,WR,Baylor,2012,,1,,
Zach Ertz,TE,Stanford,2012,,1,,
Barrett Jones,C,Alabama,2012,,1,,
Luke Joeckel,OL,Texas A&M,2012,,1,,
Taylor Lewan,OL,Michigan,2012,,1,,
Chance Warmack,OL,Alabama,2012,,1,,
Jonathan Cooper,OL,North Carolina,2012,,1,,
Cairo Santos,K,Tulane,2012,,1,,
Jadeveon Clowney,DL,South Carolina,2012,,1,,
Bjoern Werner,DL,Florida State,2012,,1,,
Star Lotulelei,DL,Utah,2012,,1,,
Will Sutton,DL,Arizona State,2012,,1,,
Manti Te'o,LB,Notre Dame,2012,,1,,
Jarvis Jones,LB,Georgia,2012,,1,,
C.J. Mosley,LB,Alabama,2012,,1,,
Dee Milliner,DB,Alabama,2012,,1,,
Jordan Poyer,DB,Oregon State,2012,,1,,
Phillip Thomas,DB,Fresno State,2012,,1,,
Matt Elam,DB,Florida,2012,,1,,
Ryan Allen,P,Louisiana Tech,2012,,1,,
Collin Klein,QB,Kansas State,2012,,,1,
Kenjon Barner,RB,Oregon,2012,,,1,
Johnathan Franklin,RB,UCLA,2012,,,1,
Stedman Bailey,WR,West Virginia,2012,,,1,
Quinton Patton,WR,Louisiana Tech,2012,,,1,
Tyler Eifert,TE,Notre Dame,2012,,,1,
Dalton Freeman,C,Clemson,2012,,,1,
D.J. Fluker,OL,Alabama,2012,,,1,
David Yankey,OL,Stanford,2012,,,1,
Spencer Long,OL,Nebraska,2012,,,1,
Cyril Richardson,OL,Baylor,2012,,,1,
Dustin Hopkins,K,Florida State,2012,,,1,
Damontre Moore,DL,Texas A&M,2012,,,1,
Stephon Tuitt,DL,Notre Dame,2012,,,1,
Johnathan Hankins,DL,Ohio State,2012,,,1,
Kawann Short,DL,Purdue,2012,,,1,
Kevin Minter,LB,LSU,2012,,,1,
Anthony Barr,LB,UCLA,2012,,,1,
Arthur Brown,LB,Kansas State,2012,,,1,
Johnthan Banks,DB,Mississippi State,2012,,,1,
Bradley Roby,DB,Ohio State,2012,,,1,
Eric Reid,DB,LSU,2012,,,1,
Tony Jefferson,DB,Oklahoma,2012,,,1,
Riley Stephenson,P,BYU,2012,,,1,
A.J. McCarron,QB,Alabama,2012,,,,1
Stefphon Jefferson,RB,Nevada,2012,,,,1
Giovani Bernard,RB,North Carolina,2012,,,,1
DeAndre Hopkins,WR,Clemson,2012,,,,1
Cobi Hamilton,WR,Arkansas,2012,,,,1
Austin Seferian-Jenkins,TE,Washington,2012,,,,1
Braxston Cave,C,Notre Dame,2012,,,,1
Jake Matthews,OL,Texas A&M,2012,,,,1
Eric Fisher,OL,Central Michigan,2012,,,,1
Larry Warford,OL,Kentucky,2012,,,,1
Xavier Su'a-Filo,OL,UCLA,2012,,,,1
Caleb Sturgis,K,Florida,2012,,,,1
John Simon,DL,Ohio State,2012,,,,1
Sam Montgomery,DL,LSU,2012,,,,1
Shariff Floyd,DL,Florida,2012,,,,1
Chris Jones,DL,Bowling Green,2012,,,,1
Khaseem Greene,LB,Rutgers,2012,,,,1
Trent Murphy,LB,Stanford,2012,,,,1
Kyle Van Noy,LB,BYU,2012,,,,1
Ifo Ekpre-Olomu,DB,Oregon,2012,,,,1
Jason Verrett,DB,TCU,2012,,,,1
Ed Reynolds,DB,Stanford,2012,,,,1
Ty Zimmerman,DB,Kansas State,2012,,,,1
Kyle Christy,P,Florida</PRE>,2012,,,,1
Robert Griffin III,QB,Baylor,2011,1,1,,
Montee Ball,RB,Wisconsin,2011,,1,,
Trent Richardson,RB,Alabama,2011,,1,,
Justin Blackmon,WR,Oklahoma State,2011,,1,,
Robert Woods,WR,Southern California,2011,,1,,
Dwayne Allen,TE,Clemson,2011,,1,,
David Molk,C,Michigan,2011,,1,,
Barrett Jones,OL,Alabama,2011,,1,,
Matt Kalil,OL,Southern California,2011,,1,,
David DeCastro,OL,Stanford,2011,,1,,
Kevin Zeitler,OL,Wisconsin,2011,,1,,
Randy Bullock,K,Texas A&M,2011,,1,,
Melvin Ingram,DL,South Carolina,2011,,1,,
Whitney Mercilus,DL,Illinois,2011,,1,,
