"no","name","pos","ht","wt","class","hometown","year"
2,"Vincent Smith","RB","5-6",172,"JR","Pahokee, Fla. (Pahokee)",2011
3,"Marvin Robinson","S","6-2",200,"SO","Winter Haven, Fla. (Lake Region)",2011
3,"Russell Bellomy","QB","6-3",189,"FR","Arlington, Texas (Martin)",2011
4,"Cameron Gordon","LB","6-3",222,"RS SO","Detroit, Mich. (Inkster)",2011
4,"Steve Wilson","QB","5-11",180,"RS JR","White Lake, Mich. (Lakeland)",2011
5,"Justice Hayes","RB","5-10",176,"FR","Grand Blanc, Mich. (Grand Blanc Community)",2011
5,"Courtney Avery","CB","5-11",173,"SO","Mansfield, Ohio (Lexington)",2011
6,"Raymon Taylor","DB","5-10",169,"FR","Detroit, Mich. (Highland Park)",2011
7,"Brandin Hawthorne","LB","6-0",214,"JR","Pahokee, Fla. (Pahokee)",2011
7,"Devin Gardner","QB","6-4",205,"SO","Detroit, Mich. (Inkster)",2011
8,"J.T. Floyd","CB","6-0",185,"RS JR","Greenville, S.C. (J.L. Mann)",2011
8,"Alex Swieca","QB","6-1",210,"FR","New York, NY (The Frisch School)",2011
9,"Martavious Odoms","WR","5-8",173,"SR","Pahokee, Fla. (Pahokee)",2011
10,"Jeremy Gallon","WR","5-8",185,"RS SO","Apopka, Fla. (Apopka)",2011
12,"Roy Roundtree","WR","6-0",177,"RS JR","Trotwood, Ohio (Trotwood-Madison)",2011
13,"Ben Fry","QB","5-10",178,"FR","Grosse Pointe Farms, Mich. (Grosse Pointe South)",2011
14,"Jack Kennedy","QB","5-11",185,"RS JR","Walled Lake, Mich. (Walled Lake Central)",2011
14,"Josh Furman","S","6-2",208,"RS FR","Annapolis, Md. (Old Mill Senior)",2011
15,"Michael Cox","RB","6-0",214,"RS JR","Dorchester, Mass. (Avon Old Farms)",2011
16,"Denard Robinson","QB","6-0",195,"JR","Deerfield Beach, Fla. (Deerfield Beach)",2011
17,"Jeremy Jackson","WR","6-3",198,"SO","Ann Arbor, Mich. (Huron)",2011
17,"Tony Anderson","CB","5-11",195,"RS SR","Redondo Beach, Calif. (Redondo Union)",2011
18,"Jihad Rasheed","RB","5-10",172,"RS FR","Detroit, Mich. (Southeastern)",2011
18,"Blake Countess","DB","5-10",176,"FR","Owings Mills, Md. (Our Lady of Good Counsel)",2011
19,"Kelvin Grady","WR","5-10",177,"RS SR","Grand Rapids, Mich. (East Grand Rapids)",2011
19,"Charlie Zeller","S","5-11",194,"RS SO","Centennial, Colo. (Cherry Creek)",2011
20,"Michael Shaw","RB","6-1",195,"SR","Trotwood, Ohio (Trotwood-Madison)",2011
20,"Tamani Carter","DB","5-11",175,"FR","Pickerington, Ohio (Central)",2011
21,"Junior Hemingway","WR","6-1",222,"RS SR","Conway, S.C. (Conway)",2011
22,"Darryl Stonum","WR","6-2",195,"SR","Stafford, Texas (Dulles)",2011
23,"Floyd Simmons","S","6-0",194,"RS JR","Detroit, Mich. (Crockett Technical)",2011
24,"Delonte Hollowell","DB","5-9",164,"FR","Detroit, Mich. (Cass Technical)",2011
25,"Kenny Demens","LB","6-1",248,"RS JR","Oak Park, Mich. (Detroit Country Day)",2011
26,"Drew Dileo","WR","5-10",172,"SO","Greenwell Springs, La. (Parkview Baptist)",2011
27,"Mike Jones","LB","6-2",224,"RS SO","Orlando, Fla. (Edgewater)",2011
27,"Jonathan Keizer","WR","6-5",205,"FR","Portage, MI (Portage Northern)",2011
28,"Fitzgerald Toussaint","RB","5-10",195,"RS SO","Youngstown, Ohio (Liberty)",2011
28,"Matthew Cavanaugh","S","5-10",190,"RS JR","Alto, Mich. (Caledonia)",2011
29,"Troy Woolfolk","CB","6-0",191,"RS SR","Sugar Land, Texas (Dulles)",2011
30,"Thomas Gordon","S","5-11",208,"RS SO","Detroit, Mich. (Cass Technical)",2011
31,"Jared Van Slyke","S","6-2",195,"RS SR","St. Louis, Mo. (John Burroughs)",2011
31,"Christopher Smith","K","6-0",177,"FR","Washington, DC (St. Albans)",2011
32,"Jordan Kovacs","S","6-0",197,"RS JR","Curtice, Ohio (Clay)",2011
33,"Stephen Hopkins","RB","6-0",228,"SO","Double Oak, Texas (Marcus)",2011
34,"Brendan Gibbons","PK","6-1",241,"RS SO","West Palm Beach, Fla. (Cardinal Newman)",2011
34,"Isaiah Bell","LB","6-1",250,"RS SO","Youngstown, Ohio (Liberty)",2011
35,"Jordan Barpal","WR","5-10",166,"RS JR","West Bloomfield, Mich. (Seaholm)",2011
36,"Joe Kerridge","FB","6-0",231,"FR","Traverse City, Mich. (St. Francis)",2011
36,"Zac Johnson","S","6-2",205,"RS SR","Morenci, Mich. (Morenci)",2011
37,"Terrence Talbott","CB","5-11",178,"SO","Huber Heights, Ohio (Wayne)",2011
38,"Thomas Rawls","RB","5-10",219,"FR","Flint, Mich. (Flint Northern)",2011
38,"Al Backey","CB","5-10",181,"RS SO","Ypsilanti, Mich. (Ypsilanti)",2011
39,"Will Heininger","DE","6-6",295,"RS SR","Ann Arbor, Mich. (Pioneer)",2011
40,"Nate Allspach","TE","6-6",224,"RS FR","Grand Rapids, Mich. (Grandville)",2011
40,"Antonio Poole","LB","6-2",212,"FR","Cincinnati, Ohio (Winton Woods)",2011
41,"Kenny Wilkins","DT","6-3",280,"RS FR","Washington, Pa. (Trinity)",2011
42,"J.B. Fitzgerald","LB","6-3",241,"SR","Princeton Junction, N.J. (West Windsor Plainsboro)",2011
42,"Dylan Esterline","TE","6-5",237,"RS FR","Blissfield, Mich. (Blissfield)",2011
43,"Will Hagerup","P","6-4",225,"SO","Milwaukee, Wis. (Whitefish Bay)",2011
44,"Desmond Morgan","LB","6-1",220,"FR","Holland, Mich. (West Ottawa)",2011
45,"Matt Wile","PK","6-2",208,"FR","San Diego, Calif. (Francis Parker)",2011
46,"Seth Broekhuizen","PK","6-1",200,"RS SO","Holland, Mich. (Holland Christian)",2011
49,"John McColgan","FB","6-1",240,"RS SR","Saginaw, Mich. (Nouvel Catholic)",2011
50,"David Molk","OL","6-2",286,"RS SR","Lemont, Ill. (Lemont Township)",2011
51,"Marell Evans","LB","6-3",237,"RS SR","Richmond, Va. (Varina)",2011
52,"Ricky Barnum","OL","6-3",292,"RS JR","Lakeland, Fla. (Lake Gibson)",2011
53,"Ryan Van Bergen","DE","6-6",288,"RS SR","Whitehall, Mich. (Whitehall)",2011
54,"Jareth Glanda","LS","6-3",255,"RS SO","Rochester Hills, Mich. (Brother Rice)",2011
54,"Richard Ash","DT","6-3",301,"RS FR","Pahokee, Fla. (Pahokee)",2011
55,"Jibreel Black","DE","6-2",260,"SO","Cincinnati, Ohio (Wyoming)",2011
56,"Joey Burzynski","OL","6-1",284,"RS FR","Carlsbad, Calif. (Carlsbad)",2011
57,"Frank Clark","DE","6-2",228,"FR","Cleveland, Ohio (Glenville)",2011
57,"Elliott Mealer","OL","6-5",310,"RS JR","Wauseon, Ohio (Wauseon)",2011
