officialName,shortName,longName,color1,color2,color3,color4,
United States Air Force Academy,Air Force,Air Force Falcons,#FFFFFF,#0061AA,,,
University of Akron,Akron,Akron Zips,#FFFFFF,#C29C41,#000E41,,
The University of Alabama,Alabama,Alabama Crimson Tide,#CACCCE,#FFFFFF,#A80532,,
Alabama Agricultural and Mechanical University,Alabama A&M,Alabama A&M Bulldogs,#FFFFFF,#750000,,,
Alabama State University,Alabama State,Alabama State Hornets,#FFFFFF,#231F20,#FECB09,,
State University of New York at Albany,Albany,Albany Great Danes,#FFFFFF,#FCBB0D,#3D2777,,
Appalachian State University,Appalachian State,Appalachian State Mountaineers,#FFFFFF,#FFC520,#000000,,
University of Arizona,Arizona,Arizona Wildcats,#FFFFFF,#BB003A,#003559,,
Arizona State University,Arizona State,Arizona State Sun Devils,#FFFFFF,#FEC927,#96203D,,
University of Arkansas,Arkansas,Arkansas Razorbacks,#FFFFFF,#231F20,#CD1041,,
Arkansas State University,Arkansas State,Arkansas State Red Wolves,#C8C7C7,#231F20,#FFFFFF,#ED1B2E,
University of Arkansas at Pine Bluff,Arkansas-Pine Bluff,Arkansas Pine-Bluff Golden Lions,#FFFFFF,#EEBB00,#000000,,
United States Military Academy,Army,Army Black Knights,#FFFFFF,#000000,#D19D00,,
Auburn University,Auburn,Auburn Tigers,#FFFFFF,#FE3300,#172240,,
Ball State University,Ball State,Ball State Cardinals,#000000,#FFFFFF,#DA0000,,
Baylor University,Baylor,Baylor Bears,#FFFFFF,#FFC227,#008649,,
Bethune-Cookman College,Bethune-Cookman,Bethune-Cookman Wildcats,#FEB65F,#FFFFFF,#841B35,,
Boise State University,Boise State,Boise State Broncos,#FFFFFF,#F27E34,#2D4492,,
Boston College,Boston College,Boston College Eagles,#FFFFFF,#EEE8B7,#000000,#821E1E,
Bowling Green State University,Bowling Green,Bowling Green Falcons,#FFFFFF,#F5793F,#4E2400,,
Brigham Young University,BYU,Brigham Young Cougars,#FFFFFF,#002D62,,,
Brown University,Brown,Brown Bears,#000000,#FFFFFF,#8A1E04,#543019,
Bryant College,Bryant University,Bryant University Bulldogs,#A59474,#231F20,#702D07,,
Bucknell University,Bucknell,Bucknell Bison,#FFFFFF,#FF7000,#000064,,
State University of New York at Buffalo,Buffalo,Buffalo Bulls,#000000,#FFFFFF,#0068B4,,
Butler University,Butler,Butler Bulldogs,#000000,#FFFFFF,#0D1361,,
California Polytechnic State University: San Luis Obispo,Cal Poly,Cal Poly Mustangs,#FFFFFF,#FFF1D0,#123C31,,
University of California: Berkeley,California,California Golden Bears,#FFFFFF,#FFDE30,#003768,,
University of Central Arkansas,Central Arkansas,Central Arkansas Bears,#939BA1,#FFFFFF,#4F2683,,
Central Michigan University,Central Michigan,Central Michigan Chippewas,#E2A253,#FFFFFF,#780006,,
University of Tennessee: Chattanooga,Chattanooga,Chattanooga Mocs,#FFFFFF,#00437B,#EEB311,,
University of Cincinnati,Cincinnati,Cincinnati Bearcats,#FFFFFF,#FD0026,#000000,,
The Citadel,Citadel,Citadel Bulldogs,#FFFFFF,#002B5C,,,
Clemson University,Clemson,Clemson Tigers,#441F6F,#FFFFFF,#F06014,,
Coastal Carolina University,Coastal Carolina,Coastal Carolina Chanticleers,#D59C3A,#373434,#FFFFFF,#009297,
Colgate University,Colgate,Colgate Raiders,#241F20,#FFFFFF,#8B011D,,
University of Colorado at Boulder,Colorado,Colorado Buffaloes,#FFFFFF,#231F20,#D9C994,,
Colorado State University,Colorado State,Colorado State Rams,#F8E793,#000000,#FFFFFF,#008C75,
Columbia University: Columbia College,Columbia,Columbia Lions,#FFFFFF,#004B85,#7CC2F1,,
University of Connecticut,Connecticut,Connecticut Huskies,#B2B2AE,#FFFFFF,#0A1D5A,,
Cornell University,Cornell,Cornell Big Red,#000000,#FFFFFF,#D60027,,
Dartmouth College,Dartmouth,Dartmouth Big Green,#FFFFFF,#005730,,,
University of Dayton,Dayton,Dayton Flyers,#FFFFFF,#E70808,#151A66,,
University of Delaware,Delaware,Delaware Fightin Blue Hens,#FFFFFF,#100A04,#FFDD00,#01539B,
Delaware State University,Delaware State,Delaware State Hornets,#261511,#FFFFFF,#01A9EF,#F11A2D,
Drake University,Drake,Drake Bulldogs,#B4B6B8,#FFFFFF,#0053A0,,
Duke University,Duke,Duke Blue Devils,#FFFFFF,#004C7D,,,
Duquesne University,Duquesne,Duquesne Dukes,#FFFFFF,#D31145,#002D62,,
East Carolina University,East Carolina,East Carolina Pirates,#000000,#FFFFFF,#FFCE28,#4A1F68,
Eastern Illinois University,Eastern Illinois,Eastern Illinois Panthers,#0675D0,#FFFFFF,#000000,,
Eastern Kentucky University,Eastern Kentucky,Eastern Kentucky Colonels,#A7AAAB,#FFFFFF,#730B27,,
Eastern Michigan University,Eastern Michigan,Eastern Michigan Eagles,#7F7F7F,#FFFFFF,#0B5F24,,
Eastern Washington University,Eastern Washington,Eastern Washington Eagles,#000000,#FFFFFF,#D72E34,,
Elon University,Elon,Elon Phoenix,#FFFFFF,#9E0152,#AEA460,#040404,
University of Florida,Florida,Florida Gators,#39734A,#FFFFFF,#FF4208,#2139CE,
Florida Agricultural and Mechanical University,Florida A&M,Florida A&M Rattlers,#FFFFFF,#00B552,#F89728,,
Florida Atlantic University,Florida Atlantic,Florida Atlantic Owls,#CD1041,#FFFFFF,#004B85,,
Florida International University,Florida International,Florida International Golden Panthers,#FFFFFF,#C5960B,#002D62,,
Florida State University,Florida State,Florida State Seminoles,#FFFFFF,#231F20,#A8936B,#900028,
Fordham University,Fordham,Fordham Rams,#1E1A1B,#FFFFFF,#830032,,
California State University: Fresno,Fresno State,Fresno State Bulldogs,#FFFFFF,#E32F38,#00427A,,
Furman University,Furman,Furman Paladins,#FFFFFF,#3A1769,,,
Gardner-Webb University,Gardner-Webb,Gardner-Webb Runnin' Bulldogs,#231F20,#FFFFFF,#BF2C37,,
Georgetown University,Georgetown,Georgetown Hoyas,#AC928A,#FFFFFF,#49487C,,
University of Georgia,Georgia,Georgia Bulldogs,#FFFFFF,#000000,#A0000B,,
Georgia Southern University,Georgia Southern,Georgia Southern Eagles,#9DB7c4,#9B8348,#FFFFFF,#003775,
Georgia State University,Georgia State,Georgia State Panthers,#F8112B,#FFFFFF,#005DAA,,
Georgia Institute of Technology,Georgia Tech,Georgia Tech Yellow Jackets,#FFFFFF,#FDB813,#160A06,,
Grambling State University,Grambling State,Grambling State Tigers,#FFFFFF,#101008,#F88400,,
Hampton University,Hampton,Hampton Pirates,#E5B67D,#FFFFFF,#0067AC,,
Harvard University,Harvard,Harvard Crimson,#231F20,#FFFFFF,#C41130,,
University of Hawaii at Manoa,Hawaii,Hawaii Warriors,#FFFFFF,#000000,#004231,,
College of the Holy Cross,Holy Cross,Holy Cross Crusaders,#909095,#FFFFFF,#1B2154,#090909,
University of Houston,Houston,Houston Cougars,#FFFFFF,#012259,#C90822,,
Howard University,Howard,Howard Bison,#FFFFFF,#09347A,#EE3A43,,
University of Idaho,Idaho,Idaho Vandals,#FFFFFF,#FFCC13,#000000,,
Idaho State University,Idaho State,Idaho State Bengals,#FFFFFF,#FAD001,#000000,#FF8400,
University of Illinois at Urbana-Champaign,Illinois,Illinois Fighting Illini,#FFFFFF,#1B4178,#F5873C,,
Illinois State University,Illinois State,Illinois State Redbirds,#FEE818,#FFFFFF,#010000,#E61731,
Indiana University Bloomington,Indiana,Indiana Hoosiers,#FFFFFF,#A82B3D,,,
Indiana State University,Indiana State,Indiana State Sycamores,#FFFFFF,#00669A,,,
University of Iowa,Iowa,Iowa Hawkeyes,#FFFFFF,#FFD700,#000000,,
Iowa State University,Iowa State,Iowa State Cyclones,#FFFFFF,#FEC938,#840A2C,,
Jackson State University,Jackson State,Jackson State Tigers,#FFFFFF,#123297,,,
Jacksonville State University,Jacksonville State,Jacksonville State Gamecocks,#1D1819,#FFFFFF,#E53F40,,
James Madison University,James Madison,James Madison Dukes,#B3B5B8,#FFFFFF,#D5A10E,#263997,
University of Kansas,Kansas,Kansas Jayhawks,#E51837,#FFD204,#FFFFFF,#006AB5,
Kansas State University,Kansas State,Kansas State Wildcats,#FFFFFF,#633194,,,
Kent State University,Kent State,Kent State Golden Flashes,#FFFFFF,#F7BD0A,#131149,,
University of Kentucky,Kentucky,Kentucky Wildcats,#EBEBE4,#FFFFFF,#003399,,
Lafayette College,Lafayette,Lafayette Leopards,#FFFFFF,#0B070B,#CDBDA3,#9A0024,
Lamar University,Lamar,Lamar Cardinals,#FCB131,#FFFFFF,#ED1B2E,#231F20,
Lehigh University,Lehigh,Lehigh Mountain Hawks,#FFFFFF,#653600,#CFAB7A,#994708,
Liberty University,Liberty,Liberty Flames,#FFFFFF,#A70F00,#02298A,,
Louisiana Tech University,Louisiana Tech,Louisiana Tech Bulldogs,#FFFFFF,#ED1C24,#006AB5,,
University of Louisiana at Lafayette,Louisiana-Lafayette,Louisiana-Lafayette Ragin' Cajuns,#231F20,#F4A42A,#FFFFFF,#D73347,
University of Louisiana at Monroe,Louisiana-Monroe,Louisiana-Monroe Warhawks,#B38807,#FFFFFF,#98012E,#231F20,
University of Louisville,Louisville,Louisville Cardinals,#FFC010,#FFFFFF,#070707,#FD0B20,
Louisiana State University and Agricultural and Mechanical College,LSU,LSU Tigers,#FFFFFF,#FDB827,#33297B,,
University of Maine,Maine,Maine Black Bears,#000000,#909090,#FFFFFF,#2E8DC4,
Marist College,Marist,Marist Red Foxes,#210203,#FFFFFF,#EF1216,,
Marshall University,Marshall,Marshall Thundering Herd,#000000,#FFFFFF,#01592F,,
University of Maryland: College Park,Maryland,Maryland Terrapins,#C68746,#000000,#FFFFFF,#D5002B,
University of Massachusetts Amherst,Massachusetts,Massachusetts Minutemen,#12090A,#FFFFFF,#9F011A,,
McNeese State University,McNeese State,McNeese State Cowboys,#FFFFFF,#00529C,#FFD51D,,
University of Memphis,Memphis,Memphis Tigers,#FEC003,#FFFFFF,#2A2A9B,,
University of Miami,Miami (FL),Miami (FL) Hurricanes,#FFFFFF,#E75C2D,#003E24,,
Miami University: Oxford Campus,Miami (OH),Miami (OH) RedHawks,#3F7D91,#FFFFFF,#080808,#C60808,
University of Michigan,Michigan,Michigan Wolverines,#FFFFFF,#FAC417,#272341,,
Michigan State University,Michigan State,Michigan State Spartans,#000000,#FFFFFF,#1C453A,,
Middle Tennessee State University,Middle Tennessee State,Middle Tennessee Blue Raiders,#231F20,#FFFFFF,#0079C2,,
University of Minnesota: Twin Cities,Minnesota,Minnesota Golden Gophers,#FFFFFF,#FFF63E,#7F011B,,
University of Mississippi,Mississippi,Mississippi Rebels,#FFFFFF,#FF002C,#002C91,,
Mississippi State University,Mississippi State,Mississippi State Bulldogs,#FFFFFF,#D1D5D8,#762123,,
University of Missouri: Columbia,Missouri,Missouri Tigers,#FFFFFF,#E8AF11,#231F20,,
Missouri State University,Missouri State,Missouri State Bears,#000000,#FFFFFF,#5F0000,,
Monmouth University,Monmouth,Monmouth Hawks,#D7D8D8,#FFFFFF,#051844,,
University of Montana-Missoula,Montana,Montana Grizzlies,#181829,#FFFFFF,#751D4A,,
Montana State University: Bozeman,Montana State,Montana State Bobcats,#FFFFFF,#D3AF7E,#003875,,
Morehead State University,Morehead State,Morehead State Eagles,#040204,#FFD51D,#FFFFFF,#094FA3,
Morgan State University,Morgan State,Morgan State Bears,#231F20,#FFFFFF,#F47937,#014786,
Murray State University,Murray State,Murray State Racers,#FFFFFF,#FFE000,#002148,,
United States Naval Academy,Navy,Navy Midshipmen,#FFFFFF,#FCBA29,#131630,,
University of Nebraska - Lincoln,Nebraska,Nebraska Cornhuskers,#FFFFFF,#F20017,,,
University of Nevada: Reno,Nevada,Nevada Wolf Pack,#FFFFFF,#153E5F,,,
University of New Hampshire,New Hampshire,New Hampshire Wildcats,#C3C4C6,#FFFFFF,#004990,,
University of New Mexico,New Mexico,New Mexico Lobos,#C4C4C4,#FFFFFF,#D41045,#000000,
New Mexico State University,New Mexico State,New Mexico State Aggies,#FFFFFF,#221E1F,#891216,,
Nicholls State University,Nicholls State,Nicholls State Colonels,#231F20,#FFFFFF,#C41230,,
Norfolk State University,Norfolk State,Norfolk State Spartans,#F1C409,#FFFFFF,#046546,,
University of North Carolina at Chapel Hill,North Carolina,North Carolina Tar Heels,#00275D,#FFFFFF,#98BFE5,,
North Carolina Central University,North Carolina Central,North Carolina Central Eagles,#8E9093,#FFFFFF,#1A1818,#880023,
North Carolina State University,North Carolina State,North Carolina State Wolfpack,#221E1F,#FFFFFF,#EF1216,,
University of North Dakota,North Dakota,North Dakota Fighting Sioux,#00A26B,#E22D33,#FFFFFF,#702D07,
North Dakota State University,North Dakota State,North Dakota State Bison,#221E1F,#FFFFFF,#FEBB1C,#01402A,
University of North Texas,North Texas,North Texas Mean Green,#2D2327,#FFFFFF,#00853D,,
Northern Arizona University,Northern Arizona,Northern Arizona Lumberjacks,#FFD51F,#629181,#FFFFFF,#003976,
University of Northern Colorado,Northern Colorado,Northern Colorado Bears,#FFFFFF,#F9D245,#13558D,,
Northern Illinois University,Northern Illinois,Northern Illinois Huskies,#FFFFFF,#0F0D0D,#F1122C,,
University of Northern Iowa,Northern Iowa,Northern Iowa Panthers,#FFFFFF,#E4AE2F,#473282,,
Northwestern University,Northwestern,Northwestern Wildcats,#000000,#FFFFFF,#393996,,
Northwestern State University,Northwestern State,Northwestern State Demons,#FFFFFF,#F68428,#492F91,,
University of Notre Dame,Notre Dame,Notre Dame Fighting Irish,#FFFFFF,#BAA008,#00122B,,
Ohio University,Ohio,Ohio Bobcats,#313139,#E7CEAD,#FFFFFF,#295A29,
Ohio State University: Columbus Campus,Ohio State,Ohio State Buckeyes,#C5CCCF,#080808,#FFFFFF,#DE3121,
University of Oklahoma,Oklahoma,Oklahoma Sooners,#000000,#FFFFFF,#BA0034,,
Oklahoma State University,Oklahoma State,Oklahoma State Cowboys,#FFFFFF,#000000,#FF6500,,
Old Dominion University,Old Dominion,Old Dominion Monarchs,#999DA0,#FFFFFF,#00507D,,
University of Oregon,Oregon,Oregon Ducks,#FFFFFF,#F4E600,#044520,,
Oregon State University,Oregon State,Oregon State Beavers,#FFFFFF,#AE3800,#000203,,
The Pennsylvania State University,Penn State,Penn State Nittany Lions,#FFFFFF,#00265D,,,
University of Pennsylvania,Pennsylvania,Pennsylvania Quakers,#AC0218,#FFFFFF,#082A74,,
University of Pittsburgh,Pittsburgh,Pittsburgh Panthers,#242021,#FFFFFF,#003263,,
Portland State University,Portland State,Portland State Vikings,#FFFFFF,#BFCFD8,#005E60,,
Prairie View A&M University,Prairie View A&M,Prairie View A&M Panthers,#FFFFFF,#181821,#FFBD29,#5A185C,
Presbyterian College,Presbyterian,Presbyterian Blue Hose,#AA153B,#FFFFFF,#194896,,
Princeton University,Princeton,Princeton Tigers,#FFFFFF,#231F20,#F9A13A,,
Purdue University,Purdue,Purdue Boilermakers,#9FA3A6,#FFFFFF,#B89D29,#000000,
University of Rhode Island,Rhode Island,Rhode Island Rams,#FFFFFF,#003559,#3691C6,,
Rice University,Rice,Rice Owls,#FFFFFF,#003D7D,,,
University of Richmond,Richmond,Richmond Spiders,#FFFFFF,#003256,#9E0712,,
Rutgers,Rutgers,Rutgers Scarlet Knights,#0E1112,#FFFFFF,#EE363D,,
California State University: Sacramento,Sacramento State,Sacramento State Hornets,#B4985A,#FFFFFF,#00573C,,
Sacred Heart University,Sacred Heart,Sacred Heart Pioneers,#B1B3B6,#FFFFFF,#CE1040,,
Sam Houston State University,Sam Houston State,Sam Houston State Bearkats,#FFFFFF,#231F20,#F78F1E,,
Samford University,Samford,Samford Bulldogs,#FFFFFF,#C72D30,#D2D4D5,#005485,
San Diego State University,San Diego State,San Diego State Aztecs,#FFFFFF,#7C6642,#BF2C37,#231F20,
San Jose State University,San Jose State,San Jose State Spartans,#FFFFFF,#FFC021,#005893,,
Savannah State University,Savannah State,Savannah State Tigers,#FFFFFF,#FF0000,#280298,,
University of South Alabama,South Alabama,South Alabama Jaguars,#D11241,#FFFFFF,#003E7E,,
University of South Carolina-Columbia,South Carolina,South Carolina Gamecocks,#FFFFFF,#000000,#CD0000,,
South Carolina State University,South Carolina State,South Carolina State Bulldogs,#FFFFFF,#050305,#080D35,#7E1812,
University of South Dakota,South Dakota,South Dakota Coyotes,#FFFFFF,#B3B5B8,#231F20,#CD1241,
