"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "12-20-2005" 19 "Southern Mississippi" 31 "New Orleans Bowl" 0 12 20 2005 "Arkansas St."
"L" "01-08-2012" 20 "Northern Illinois" 38 "GoDaddy.com Bowl" 0 1 8 2012 "Arkansas St."
"W" "12-02-1951" 46 "Camp Breckinridge (KY)" 12 "Refrigerator Bowl" 1 12 2 1951 "Arkansas St."
"L" "01-01-1952" 20 "Stetson (FL)" 35 "Tangerine Bowl" 1 1 1 1952 "Arkansas St."
"L" "12-07-1952" 19 "Western Kentucky" 34 "Refrigerator Bowl" 1 12 7 1952 "Arkansas St."
"T" "01-01-1954" 7 "Texas A&M-Commerce" 7 "Tangerine Bowl" 1 1 1 1954 "Arkansas St."
"L" "12-14-1968" 14 "North Dakota St." 23 "Pecan Bowl (2)" 1 12 14 1968 "Arkansas St."
"W" "12-13-1969" 29 "Drake (IA)" 21 "Pecan Bowl (2)" 1 12 13 1969 "Arkansas St."
"W" "12-12-1970" 38 "Central Missouri St." 21 "Pecan Bowl (2)" 1 12 12 1970 "Arkansas St."
"L" "12-20-1986" 21 "Georgia Southern" 48 "Diamond Bowl - Division I-AA Championship Game" 1 12 20 1986 "Arkansas St."
