"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"T" "01-01-1934" 7 "Centenary (LA)" 7 "Dixie Classic" 1 1 1 1934 "Arkansas"
"T" "01-01-1947" 0 "Louisiana St." 0 "Cotton Bowl" 1 1 1 1947 "Arkansas"
"W" "01-01-1948" 21 "William & Mary (VA)" 19 "Dixie Bowl" 1 1 1 1948 "Arkansas"
"L" "01-01-1955" 6 "Georgia Tech" 14 "Cotton Bowl" 1 1 1 1955 "Arkansas"
"W" "01-02-1960" 14 "Georgia Tech" 7 "Gator Bowl" 1 1 2 1960 "Arkansas"
"L" "01-02-1961" 6 "Duke (NC)" 7 "Cotton Bowl" 1 1 2 1961 "Arkansas"
"L" "01-01-1962" 3 "Alabama" 10 "Sugar Bowl" 1 1 1 1962 "Arkansas"
"L" "01-01-1963" 13 "Mississippi" 17 "Sugar Bowl" 1 1 1 1963 "Arkansas"
"W" "01-01-1965" 10 "Nebraska" 7 "Cotton Bowl" 1 1 1 1965 "Arkansas"
"L" "01-01-1966" 7 "Louisiana St." 14 "Cotton Bowl" 1 1 1 1966 "Arkansas"
"W" "01-01-1969" 16 "Georgia" 2 "Sugar Bowl" 1 1 1 1969 "Arkansas"
"L" "01-01-1970" 22 "Mississippi" 27 "Sugar Bowl" 1 1 1 1970 "Arkansas"
"L" "12-20-1971" 13 "Tennessee" 14 "Liberty Bowl" 1 12 20 1971 "Arkansas"
"W" "01-01-1976" 31 "Georgia" 10 "Cotton Bowl" 1 1 1 1976 "Arkansas"
"W" "01-02-1978" 31 "Oklahoma" 6 "Orange Bowl" 1 1 2 1978 "Arkansas"
"T" "12-25-1978" 10 "UCLA" 10 "Fiesta Bowl" 1 12 25 1978 "Arkansas"
"L" "01-01-1980" 9 "Alabama" 24 "Sugar Bowl" 1 1 1 1980 "Arkansas"
"W" "12-27-1980" 34 "Tulane (LA)" 15 "Hall of Fame Classic" 1 12 27 1980 "Arkansas"
"L" "12-28-1981" 27 "North Carolina" 31 "Gator Bowl" 1 12 28 1981 "Arkansas"
"W" "12-31-1982" 28 "Florida" 24 "Bluebonnet Bowl" 1 12 31 1982 "Arkansas"
"L" "12-27-1984" 15 "Auburn (AL)" 21 "Liberty Bowl" 1 12 27 1984 "Arkansas"
"W" "12-22-1985" 18 "Arizona St." 17 "Holiday Bowl (1)" 1 12 22 1985 "Arkansas"
"L" "01-01-1987" 8 "Oklahoma" 42 "Orange Bowl" 1 1 1 1987 "Arkansas"
"L" "12-29-1987" 17 "Georgia" 20 "Liberty Bowl" 1 12 29 1987 "Arkansas"
"L" "01-02-1989" 3 "UCLA" 17 "Cotton Bowl" 1 1 2 1989 "Arkansas"
"L" "01-01-1990" 27 "Tennessee" 31 "Cotton Bowl" 1 1 1 1990 "Arkansas"
"L" "12-29-1991" 15 "Georgia" 24 "Independence Bowl" 1 12 29 1991 "Arkansas"
"L" "12-30-1995" 10 "North Carolina" 20 "Carquest Bowl" 1 12 30 1995 "Arkansas"
"L" "01-01-1999" 31 "Michigan" 45 "Florida Citrus Bowl" 1 1 1 1999 "Arkansas"
"W" "01-01-2000" 27 "Texas" 6 "Cotton Bowl" 1 1 1 2000 "Arkansas"
"L" "12-21-2000" 14 "Nevada-Las Vegas" 31 "Las Vegas Bowl" 1 12 21 2000 "Arkansas"
"L" "01-01-2002" 3 "Oklahoma" 10 "Cotton Bowl" 1 1 1 2002 "Arkansas"
"L" "12-30-2002" 14 "Minnesota" 29 "Music City Bowl" 1 12 30 2002 "Arkansas"
"W" "12-31-2003" 27 "Missouri" 14 "Independence Bowl" 1 12 31 2003 "Arkansas"
"L" "01-01-2007" 14 "Wisconsin" 17 "Capital One Bowl" 1 1 1 2007 "Arkansas"
"L" "01-01-2008" 7 "Missouri" 38 "Cotton Bowl" 1 1 1 2008 "Arkansas"
"W" "01-02-2010" 20 "East Carolina (NC)" 17 "Liberty Bowl" 1 1 2 2010 "Arkansas"
"L" "01-04-2011" 26 "Ohio St." 31 "Sugar Bowl - Ohio St. Vacated Game" 1 1 4 2011 "Arkansas"
"W" "01-06-2012" 29 "Kansas St." 16 "Cotton Bowl" 1 1 6 2012 "Arkansas"
