"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"T" "01-01-1937" 7 "Villanova (PA)" 7 "Bacardi Bowl" 1 1 1 1937 "Auburn (AL)"
"W" "01-01-1938" 6 "Michigan St." 0 "Orange Bowl" 1 1 1 1938 "Auburn (AL)"
"L" "01-01-1954" 13 "Texas Tech" 35 "Gator Bowl" 1 1 1 1954 "Auburn (AL)"
"W" "12-31-1954" 33 "Baylor (TX)" 13 "Gator Bowl" 1 12 31 1954 "Auburn (AL)"
"L" "12-31-1955" 13 "Vanderbilt (TN)" 25 "Gator Bowl" 1 12 31 1955 "Auburn (AL)"
"L" "01-01-1964" 7 "Nebraska" 13 "Orange Bowl" 1 1 1 1964 "Auburn (AL)"
"L" "12-18-1965" 7 "Mississippi" 13 "Liberty Bowl" 1 12 18 1965 "Auburn (AL)"
"W" "12-28-1968" 34 "Arizona" 10 "Sun Bowl" 1 12 28 1968 "Auburn (AL)"
"L" "12-31-1969" 7 "Houston (TX)" 36 "Bluebonnet Bowl" 1 12 31 1969 "Auburn (AL)"
"W" "01-02-1971" 35 "Mississippi" 28 "Gator Bowl" 1 1 2 1971 "Auburn (AL)"
"L" "01-01-1972" 22 "Oklahoma" 40 "Sugar Bowl" 1 1 1 1972 "Auburn (AL)"
"W" "12-30-1972" 24 "Colorado" 3 "Gator Bowl" 1 12 30 1972 "Auburn (AL)"
"L" "12-29-1973" 17 "Missouri" 34 "Sun Bowl" 1 12 29 1973 "Auburn (AL)"
"W" "12-30-1974" 27 "Texas" 3 "Gator Bowl" 1 12 30 1974 "Auburn (AL)"
"W" "12-18-1982" 33 "Boston College (MA)" 26 "Tangerine Bowl" 1 12 18 1982 "Auburn (AL)"
"W" "01-02-1984" 9 "Michigan" 7 "Sugar Bowl" 1 1 2 1984 "Auburn (AL)"
"W" "12-27-1984" 21 "Arkansas" 15 "Liberty Bowl" 1 12 27 1984 "Auburn (AL)"
"L" "01-01-1986" 16 "Texas A&M" 36 "Cotton Bowl" 1 1 1 1986 "Auburn (AL)"
"W" "01-01-1987" 16 "Southern California" 7 "Florida Citrus Bowl" 1 1 1 1987 "Auburn (AL)"
"T" "01-01-1988" 16 "Syracuse (NY)" 16 "Sugar Bowl" 1 1 1 1988 "Auburn (AL)"
"L" "01-02-1989" 7 "Florida St." 13 "Sugar Bowl" 1 1 2 1989 "Auburn (AL)"
"W" "01-01-1990" 31 "Ohio St." 14 "Hall of Fame Bowl" 1 1 1 1990 "Auburn (AL)"
"W" "12-29-1990" 27 "Indiana" 23 "Peach Bowl" 1 12 29 1990 "Auburn (AL)"
"L" "01-01-1996" 14 "Penn St." 43 "Outback Bowl" 1 1 1 1996 "Auburn (AL)"
"W" "12-31-1996" 32 "Army (NY)" 29 "Independence Bowl" 1 12 31 1996 "Auburn (AL)"
"W" "01-02-1998" 21 "Clemson (SC)" 17 "Peach Bowl" 1 1 2 1998 "Auburn (AL)"
"L" "01-01-2001" 28 "Michigan" 31 "Florida Citrus Bowl" 1 1 1 2001 "Auburn (AL)"
"L" "12-31-2001" 10 "North Carolina" 16 "Peach Bowl" 1 12 31 2001 "Auburn (AL)"
"W" "01-01-2003" 13 "Penn St." 9 "Capital One Bowl" 1 1 1 2003 "Auburn (AL)"
"W" "12-31-2003" 28 "Wisconsin" 14 "Music City Bowl" 1 12 31 2003 "Auburn (AL)"
"W" "01-03-2005" 16 "Virginia Tech" 13 "Sugar Bowl" 1 1 3 2005 "Auburn (AL)"
"L" "01-02-2006" 10 "Wisconsin" 24 "Capital One Bowl" 1 1 2 2006 "Auburn (AL)"
"W" "01-01-2007" 17 "Nebraska" 14 "Cotton Bowl" 1 1 1 2007 "Auburn (AL)"
"W" "12-31-2007" 23 "Clemson (SC)" 20 "Peach Bowl" 1 12 31 2007 "Auburn (AL)"
"W" "01-01-2010" 38 "Northwestern (IL)" 35 "Outback Bowl" 1 1 1 2010 "Auburn (AL)"
"W" "01-10-2011" 22 "Oregon" 19 "BCS Championship Game" 1 1 10 2011 "Auburn (AL)"
"W" "12-31-2011" 43 "Virginia" 24 "Peach Bowl" 1 12 31 2011 "Auburn (AL)"
