"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1921" 28 "Ohio St." 0 "Tournament of Roses Game" 0 1 1 1921 "California"
"T" "01-02-1922" 0 "Washington & Jefferson (PA)" 0 "Tournament of Roses Game" 0 1 2 1922 "California"
"L" "01-01-1929" 7 "Georgia Tech" 8 "Rose Bowl" 0 1 1 1929 "California"
"W" "01-01-1938" 13 "Alabama" 0 "Rose Bowl" 0 1 1 1938 "California"
"L" "01-01-1949" 14 "Northwestern (IL)" 20 "Rose Bowl" 0 1 1 1949 "California"
"L" "01-02-1950" 14 "Ohio St." 17 "Rose Bowl" 0 1 2 1950 "California"
"L" "01-01-1951" 6 "Michigan" 14 "Rose Bowl" 0 1 1 1951 "California"
"L" "01-01-1959" 12 "Iowa" 38 "Rose Bowl" 0 1 1 1959 "California"
"L" "12-15-1979" 17 "Temple (PA)" 28 "Garden State Bowl" 0 12 15 1979 "California"
"W" "12-31-1990" 17 "Wyoming" 15 "Copper Bowl" 0 12 31 1990 "California"
"W" "01-01-1992" 37 "Clemson (SC)" 13 "Florida Citrus Bowl" 0 1 1 1992 "California"
"W" "12-31-1993" 37 "Iowa" 3 "Alamo Bowl" 0 12 31 1993 "California"
"L" "12-25-1996" 38 "Navy (MD)" 42 "Aloha Bowl" 0 12 25 1996 "California"
"W" "12-26-2003" 52 "Virginia Tech" 49 "Insight Bowl" 0 12 26 2003 "California"
"L" "12-30-2004" 31 "Texas Tech" 45 "Holiday Bowl (1)" 0 12 30 2004 "California"
"W" "12-22-2005" 35 "Brigham Young (UT)" 28 "Las Vegas Bowl" 0 12 22 2005 "California"
"W" "12-28-2006" 45 "Texas A&M" 10 "Holiday Bowl (1)" 0 12 28 2006 "California"
"W" "12-31-2007" 42 "Air Force (CO)" 36 "Armed Forces Bowl" 0 12 31 2007 "California"
"W" "12-27-2008" 24 "Miami (FL)" 17 "Emerald Bowl" 0 12 27 2008 "California"
"L" "12-23-2009" 27 "Utah" 37 "Poinsettia Bowl" 0 12 23 2009 "California"
"L" "12-28-2011" 10 "Texas" 21 "Holiday Bowl" 0 12 28 2011 "California"
"L" "01-01-1935" 0 "Hawaii" 14 "New Year's Classic" 1 1 1 1935 "California"
"T" "11-28-1987" 17 "Washington St." 17 "Coco-Cola Classic" 1 11 28 1987 "California"
