"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1940" 6 "Boston College (MA)" 3 "Cotton Bowl" 0 1 1 1940 "Clemson (SC)"
"W" "01-01-1949" 24 "Missouri" 23 "Gator Bowl" 0 1 1 1949 "Clemson (SC)"
"W" "01-01-1951" 15 "Miami (FL)" 14 "Orange Bowl" 0 1 1 1951 "Clemson (SC)"
"L" "01-01-1952" 0 "Miami (FL)" 14 "Gator Bowl" 0 1 1 1952 "Clemson (SC)"
"L" "01-01-1957" 21 "Colorado" 27 "Orange Bowl" 0 1 1 1957 "Clemson (SC)"
"L" "01-01-1959" 0 "Louisiana St." 7 "Sugar Bowl" 0 1 1 1959 "Clemson (SC)"
"W" "12-19-1959" 23 "Texas Christian" 7 "Bluebonnet Bowl" 0 12 19 1959 "Clemson (SC)"
"L" "12-30-1977" 3 "Pittsburgh (PA)" 34 "Gator Bowl" 0 12 30 1977 "Clemson (SC)"
"W" "12-29-1978" 17 "Ohio St." 15 "Gator Bowl" 0 12 29 1978 "Clemson (SC)"
"L" "12-31-1979" 18 "Baylor (TX)" 24 "Peach Bowl" 0 12 31 1979 "Clemson (SC)"
"W" "01-01-1982" 22 "Nebraska" 15 "Orange Bowl" 0 1 1 1982 "Clemson (SC)"
"L" "12-21-1985" 13 "Minnesota" 20 "Independence Bowl" 0 12 21 1985 "Clemson (SC)"
"W" "12-27-1986" 27 "Stanford (CA)" 21 "Gator Bowl" 0 12 27 1986 "Clemson (SC)"
"W" "01-01-1988" 35 "Penn St." 10 "Florida Citrus Bowl" 0 1 1 1988 "Clemson (SC)"
"W" "01-02-1989" 13 "Oklahoma" 6 "Florida Citrus Bowl" 0 1 2 1989 "Clemson (SC)"
"W" "12-30-1989" 27 "West Virginia" 7 "Gator Bowl" 0 12 30 1989 "Clemson (SC)"
"W" "01-01-1991" 30 "Illinois" 0 "Hall of Fame Bowl" 0 1 1 1991 "Clemson (SC)"
"L" "01-01-1992" 13 "California" 37 "Florida Citrus Bowl" 0 1 1 1992 "Clemson (SC)"
"W" "12-31-1993" 14 "Kentucky" 13 "Peach Bowl" 0 12 31 1993 "Clemson (SC)"
"L" "01-01-1996" 0 "Syracuse (NY)" 41 "Gator Bowl" 0 1 1 1996 "Clemson (SC)"
"L" "12-28-1996" 7 "Louisiana St." 10 "Peach Bowl" 0 12 28 1996 "Clemson (SC)"
"L" "01-02-1998" 17 "Auburn (AL)" 21 "Peach Bowl" 0 1 2 1998 "Clemson (SC)"
"L" "12-30-1999" 7 "Mississippi St." 17 "Peach Bowl" 0 12 30 1999 "Clemson (SC)"
"L" "01-01-2001" 20 "Virginia Tech" 41 "Gator Bowl" 0 1 1 2001 "Clemson (SC)"
"W" "12-31-2001" 49 "Louisiana Tech" 24 "Humanitarian Bowl" 0 12 31 2001 "Clemson (SC)"
"L" "12-23-2002" 15 "Texas Tech" 55 "Tangerine Bowl" 0 12 23 2002 "Clemson (SC)"
"W" "01-02-2004" 27 "Tennessee" 14 "Peach Bowl" 0 1 2 2004 "Clemson (SC)"
"W" "12-27-2005" 19 "Colorado" 10 "Champs Sports Bowl" 0 12 27 2005 "Clemson (SC)"
"L" "12-29-2006" 20 "Kentucky" 28 "Music City Bowl" 0 12 29 2006 "Clemson (SC)"
"L" "12-31-2007" 20 "Auburn (AL)" 23 "Peach Bowl" 0 12 31 2007 "Clemson (SC)"
"L" "01-01-2009" 21 "Nebraska" 26 "Gator Bowl" 0 1 1 2009 "Clemson (SC)"
"W" "12-27-2009" 21 "Kentucky" 13 "Music City Bowl" 0 12 27 2009 "Clemson (SC)"
"L" "12-31-2010" 26 "South Florida" 31 "Meineke Car Care Bowl" 0 12 31 2010 "Clemson (SC)"
"L" "01-04-2012" 33 "West Virginia" 70 "Orange Bowl" 0 1 4 2012 "Clemson (SC)"
"W" "11-27-1982" 21 "Wake Forest (NC)" 17 "Mirage Bowl" 1 11 27 1982 "Clemson (SC)"
"W" "11-30-1991" 33 "Duke (NC)" 21 "Coco-Cola Classic" 1 11 30 1991 "Clemson (SC)"
