"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "12-16-1978" 35 "Louisiana Tech" 13 "Independence Bowl" 0 12 16 1978 "East Carolina (NC)"
"W" "01-01-1992" 37 "North Carolina St." 34 "Peach Bowl" 0 1 1 1992 "East Carolina (NC)"
"L" "12-31-1994" 0 "Illinois" 30 "Liberty Bowl" 0 12 31 1994 "East Carolina (NC)"
"W" "12-30-1995" 19 "Stanford (CA)" 13 "Liberty Bowl" 0 12 30 1995 "East Carolina (NC)"
"L" "12-22-1999" 14 "Texas Christian" 28 "Mobile Alabama Bowl" 0 12 22 1999 "East Carolina (NC)"
"W" "12-27-2000" 40 "Texas Tech" 27 "Galleryfurniture.com Bowl" 0 12 27 2000 "East Carolina (NC)"
"L" "12-19-2001" 61 "Marshall (WV)" 64 "GMAC Bowl" 0 12 19 2001 "East Carolina (NC)"
"L" "12-23-2006" 7 "South Florida" 24 "Papajohns.com Bowl" 0 12 23 2006 "East Carolina (NC)"
"W" "12-23-2007" 41 "Boise St. (ID)" 38 "Hawaii Bowl" 0 12 23 2007 "East Carolina (NC)"
"L" "01-02-2009" 19 "Kentucky" 25 "Liberty Bowl" 0 1 2 2009 "East Carolina (NC)"
"L" "01-02-2010" 17 "Arkansas" 20 "Liberty Bowl" 0 1 2 2010 "East Carolina (NC)"
"L" "12-29-2010" 20 "Maryland" 51 "Military Bowl" 0 12 29 2010 "East Carolina (NC)"
"L" "12-13-1952" 6 "Clarion (PA)" 13 "Lions Bowl (NC)" 1 12 13 1952 "East Carolina (NC)"
"L" "01-02-1954" 0 "Charleston (WV)" 12 "Elks Bowl" 1 1 2 1954 "East Carolina (NC)"
"W" "12-14-1963" 27 "Northeastern (MA)" 6 "Eastern Bowl" 1 12 14 1963 "East Carolina (NC)"
"W" "12-12-1964" 14 "Massachusetts" 13 "Tangerine Bowl" 1 12 12 1964 "East Carolina (NC)"
"W" "12-11-1965" 31 "Maine" 0 "Tangerine Bowl" 1 12 11 1965 "East Carolina (NC)"
