"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "01-01-1946" 12 "Drake (IA)" 13 "Raisin Bowl" 0 1 1 1946 "Fresno St. (CA)"
"W" "11-23-1961" 36 "Bowling Green (OH)" 6 "Mercy Bowl" 0 11 23 1961 "Fresno St. (CA)"
"W" "12-18-1982" 29 "Bowling Green (OH)" 28 "California Bowl" 0 12 18 1982 "Fresno St. (CA)"
"W" "12-14-1985" 51 "Bowling Green (OH)" 7 "California Bowl" 0 12 14 1985 "Fresno St. (CA)"
"W" "12-10-1988" 35 "Western Michigan" 30 "California Bowl" 0 12 10 1988 "Fresno St. (CA)"
"W" "12-09-1989" 27 "Ball St. (IN)" 6 "California Bowl" 0 12 9 1989 "Fresno St. (CA)"
"L" "12-14-1991" 21 "Bowling Green (OH)" 28 "California Bowl" 0 12 14 1991 "Fresno St. (CA)"
"W" "12-29-1992" 24 "Southern California" 7 "Freedom Bowl" 0 12 29 1992 "Fresno St. (CA)"
"L" "12-25-1993" 30 "Colorado" 41 "Aloha Bowl" 0 12 25 1993 "Fresno St. (CA)"
"L" "12-18-1999" 16 "Utah" 17 "Las Vegas Bowl" 0 12 18 1999 "Fresno St. (CA)"
"L" "12-31-2000" 34 "Air Force (CO)" 37 "Silicon Valley Classic" 0 12 31 2000 "Fresno St. (CA)"
"L" "12-31-2001" 35 "Michigan St." 44 "Silicon Valley Classic" 0 12 31 2001 "Fresno St. (CA)"
"W" "12-31-2002" 30 "Georgia Tech" 21 "Silicon Valley Classic" 0 12 31 2002 "Fresno St. (CA)"
"W" "12-30-2003" 17 "UCLA" 9 "Silicon Valley Classic" 0 12 30 2003 "Fresno St. (CA)"
"W" "12-27-2004" 37 "Virginia" 34 "MPC Computers Bowl" 0 12 27 2004 "Fresno St. (CA)"
"L" "12-31-2005" 24 "Tulsa (OK)" 31 "Liberty Bowl" 0 12 31 2005 "Fresno St. (CA)"
"W" "12-31-2007" 40 "Georgia Tech" 28 "Humanitarian Bowl" 0 12 31 2007 "Fresno St. (CA)"
"L" "12-20-2008" 35 "Colorado St." 40 "New Mexico Bowl" 0 12 20 2008 "Fresno St. (CA)"
"L" "12-19-2009" 28 "Wyoming" 35 "New Mexico Bowl" 0 12 19 2009 "Fresno St. (CA)"
"L" "12-18-2010" 17 "Northern Illinois" 40 "Humanitarian Bowl" 0 12 18 2010 "Fresno St. (CA)"
"W" "12-25-1937" 27 "Central Arkansas" 26 "Charity Bowl" 1 12 25 1937 "Fresno St. (CA)"
"W" "01-01-1941" 3 "Hawaii" 0 "Pineapple Bowl" 1 1 1 1941 "Fresno St. (CA)"
"L" "12-06-1947" 13 "Hawaii" 27 "Aloha Bowl" 1 12 6 1947 "Fresno St. (CA)"
"L" "12-14-1968" 14 "Humboldt St. (CA)" 29 "Camellia Bowl (2)" 1 12 14 1968 "Fresno St. (CA)"
"L" "12-11-1971" 14 "Cal St.-Fullerton" 17 "Mercy Bowl II" 1 12 11 1971 "Fresno St. (CA)"
