"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1929" 8 "California" 7 "Rose Bowl" 1 1 1 1929 "Georgia Tech"
"W" "01-01-1940" 21 "Missouri" 7 "Orange Bowl" 1 1 1 1940 "Georgia Tech"
"L" "01-01-1943" 7 "Texas" 14 "Cotton Bowl" 1 1 1 1943 "Georgia Tech"
"W" "01-01-1944" 20 "Tulsa (OK)" 18 "Sugar Bowl" 1 1 1 1944 "Georgia Tech"
"L" "01-01-1945" 12 "Tulsa (OK)" 26 "Orange Bowl" 1 1 1 1945 "Georgia Tech"
"W" "01-01-1947" 41 "Saint Mary's (CA)" 19 "Oil Bowl" 1 1 1 1947 "Georgia Tech"
"W" "01-01-1948" 20 "Kansas" 14 "Orange Bowl" 1 1 1 1948 "Georgia Tech"
"W" "01-01-1952" 17 "Baylor (TX)" 14 "Orange Bowl" 1 1 1 1952 "Georgia Tech"
"W" "01-01-1953" 24 "Mississippi" 7 "Sugar Bowl" 1 1 1 1953 "Georgia Tech"
"W" "01-01-1954" 42 "West Virginia" 19 "Sugar Bowl" 1 1 1 1954 "Georgia Tech"
"W" "01-01-1955" 14 "Arkansas" 6 "Cotton Bowl" 1 1 1 1955 "Georgia Tech"
"W" "01-02-1956" 7 "Pittsburgh (PA)" 0 "Sugar Bowl" 1 1 2 1956 "Georgia Tech"
"W" "12-29-1956" 21 "Pittsburgh (PA)" 14 "Gator Bowl" 1 12 29 1956 "Georgia Tech"
"L" "01-02-1960" 7 "Arkansas" 14 "Gator Bowl" 1 1 2 1960 "Georgia Tech"
"L" "12-30-1961" 15 "Penn St." 30 "Gator Bowl" 1 12 30 1961 "Georgia Tech"
"L" "12-22-1962" 10 "Missouri" 14 "Bluebonnet Bowl" 1 12 22 1962 "Georgia Tech"
"W" "12-31-1965" 31 "Texas Tech" 21 "Gator Bowl" 1 12 31 1965 "Georgia Tech"
"L" "01-02-1967" 12 "Florida" 27 "Orange Bowl" 1 1 2 1967 "Georgia Tech"
"W" "12-19-1970" 17 "Texas Tech" 9 "Sun Bowl" 1 12 19 1970 "Georgia Tech"
"L" "12-30-1971" 18 "Mississippi" 41 "Peach Bowl" 1 12 30 1971 "Georgia Tech"
"W" "12-18-1972" 31 "Iowa St." 30 "Liberty Bowl" 1 12 18 1972 "Georgia Tech"
"L" "12-25-1978" 21 "Purdue (IN)" 41 "Peach Bowl" 1 12 25 1978 "Georgia Tech"
"W" "12-31-1985" 17 "Michigan St." 14 "Hall of Fame Classic" 1 12 31 1985 "Georgia Tech"
"W" "01-01-1991" 45 "Nebraska" 21 "Florida Citrus Bowl" 1 1 1 1991 "Georgia Tech"
"W" "12-25-1991" 18 "Stanford (CA)" 17 "Aloha Bowl" 1 12 25 1991 "Georgia Tech"
"W" "12-29-1997" 35 "West Virginia" 30 "Carquest Bowl" 1 12 29 1997 "Georgia Tech"
"W" "01-01-1999" 35 "Notre Dame (IN)" 28 "Gator Bowl" 1 1 1 1999 "Georgia Tech"
"L" "01-01-2000" 13 "Miami (FL)" 28 "Gator Bowl" 1 1 1 2000 "Georgia Tech"
"L" "12-29-2000" 14 "Louisiana St." 28 "Peach Bowl" 1 12 29 2000 "Georgia Tech"
"W" "12-27-2001" 24 "Stanford (CA)" 14 "Seattle Bowl" 1 12 27 2001 "Georgia Tech"
"L" "12-31-2002" 21 "Fresno St. (CA)" 30 "Silicon Valley Classic" 1 12 31 2002 "Georgia Tech"
"W" "01-03-2004" 52 "Tulsa (OK)" 10 "Humanitarian Bowl" 1 1 3 2004 "Georgia Tech"
"W" "12-21-2004" 51 "Syracuse (NY)" 14 "Champs Sports Bowl" 1 12 21 2004 "Georgia Tech"
"L" "12-29-2005" 10 "Utah" 38 "Emerald Bowl" 1 12 29 2005 "Georgia Tech"
"L" "01-01-2007" 35 "West Virginia" 38 "Gator Bowl" 1 1 1 2007 "Georgia Tech"
"L" "12-31-2007" 28 "Fresno St. (CA)" 40 "Humanitarian Bowl" 1 12 31 2007 "Georgia Tech"
"L" "12-31-2008" 3 "Louisiana St." 38 "Peach Bowl" 1 12 31 2008 "Georgia Tech"
"L" "01-05-2010" 14 "Iowa" 24 "Orange Bowl" 1 1 5 2010 "Georgia Tech"
"L" "12-27-2010" 7 "Air Force (CO)" 14 "Independence Bowl" 1 12 27 2010 "Georgia Tech"
"L" "12-31-2011" 27 "Utah" 30 "Sun Bowl" 1 12 31 2011 "Georgia Tech"
