"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1952" 26 "Dayton (OH)" 21 "Salad Bowl" 0 1 1 1952 "Houston (TX)"
"W" "12-31-1969" 36 "Auburn (AL)" 7 "Bluebonnet Bowl" 0 12 31 1969 "Houston (TX)"
"L" "12-31-1971" 17 "Colorado" 29 "Bluebonnet Bowl" 0 12 31 1971 "Houston (TX)"
"W" "12-29-1973" 47 "Tulane (LA)" 7 "Bluebonnet Bowl" 0 12 29 1973 "Houston (TX)"
"T" "12-23-1974" 31 "North Carolina St." 31 "Bluebonnet Bowl" 0 12 23 1974 "Houston (TX)"
"W" "01-01-1977" 30 "Maryland" 21 "Cotton Bowl" 0 1 1 1977 "Houston (TX)"
"L" "01-01-1979" 34 "Notre Dame (IN)" 35 "Cotton Bowl" 0 1 1 1979 "Houston (TX)"
"W" "01-01-1980" 17 "Nebraska" 14 "Cotton Bowl" 0 1 1 1980 "Houston (TX)"
"W" "12-14-1980" 35 "Navy (MD)" 0 "Garden State Bowl" 0 12 14 1980 "Houston (TX)"
"L" "12-26-1981" 14 "Oklahoma" 40 "Sun Bowl" 0 12 26 1981 "Houston (TX)"
"L" "01-01-1985" 28 "Boston College (MA)" 45 "Cotton Bowl" 0 1 1 1985 "Houston (TX)"
"L" "12-25-1988" 22 "Washington St." 24 "Aloha Bowl" 0 12 25 1988 "Houston (TX)"
"L" "12-27-1996" 17 "Syracuse (NY)" 30 "Liberty Bowl" 0 12 27 1996 "Houston (TX)"
"L" "12-25-2003" 48 "Hawaii" 54 "Hawaii Bowl" 0 12 25 2003 "Houston (TX)"
"L" "12-23-2005" 13 "Kansas" 42 "Fort Worth Bowl" 0 12 23 2005 "Houston (TX)"
"L" "12-29-2006" 36 "South Carolina" 44 "Liberty Bowl" 0 12 29 2006 "Houston (TX)"
"L" "12-28-2007" 13 "Texas Christian" 20 "Texas Bowl" 0 12 28 2007 "Houston (TX)"
"W" "12-31-2008" 34 "Air Force (CO)" 28 "Armed Forces Bowl" 0 12 31 2008 "Houston (TX)"
"L" "12-31-2009" 20 "Air Force (CO)" 47 "Armed Forces Bowl" 0 12 31 2009 "Houston (TX)"
"W" "01-02-2012" 30 "Penn St." 14 "TicketCity Bowl" 0 1 2 2012 "Houston (TX)"
"W" "12-22-1962" 49 "Miami (OH)" 21 "Tangerine Bowl" 1 12 22 1962 "Houston (TX)"
"L" "11-26-1983" 12 "Southern Methodist (TX)" 34 "Mirage Bowl" 1 11 26 1983 "Houston (TX)"
"W" "12-02-1990" 62 "Arizona St." 45 "Coco-Cola Classic" 1 12 2 1990 "Houston (TX)"
