"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1947" 45 "UCLA" 14 "Rose Bowl" 1 1 1 1947 "Illinois"
"W" "01-01-1952" 40 "Stanford (CA)" 7 "Rose Bowl" 1 1 1 1952 "Illinois"
"W" "01-01-1964" 17 "Washington" 7 "Rose Bowl" 1 1 1 1964 "Illinois"
"L" "12-29-1982" 15 "Alabama" 21 "Liberty Bowl" 1 12 29 1982 "Illinois"
"L" "01-02-1984" 9 "UCLA" 45 "Rose Bowl" 1 1 2 1984 "Illinois"
"L" "12-31-1985" 29 "Army (NY)" 31 "Peach Bowl" 1 12 31 1985 "Illinois"
"L" "12-29-1988" 10 "Florida" 14 "All-American Bowl (2)" 1 12 29 1988 "Illinois"
"W" "01-01-1990" 31 "Virginia" 21 "Florida Citrus Bowl" 1 1 1 1990 "Illinois"
"L" "01-01-1991" 0 "Clemson (SC)" 30 "Hall of Fame Bowl" 1 1 1 1991 "Illinois"
"L" "12-31-1991" 3 "UCLA" 6 "Sun Bowl" 1 12 31 1991 "Illinois"
"L" "12-30-1992" 17 "Hawaii" 27 "Holiday Bowl (1)" 1 12 30 1992 "Illinois"
"W" "12-31-1994" 30 "East Carolina (NC)" 0 "Liberty Bowl" 1 12 31 1994 "Illinois"
"W" "12-30-1999" 63 "Virginia" 21 "Micron PC Bowl" 1 12 30 1999 "Illinois"
"L" "01-01-2002" 34 "Louisiana St." 47 "Sugar Bowl" 1 1 1 2002 "Illinois"
"L" "01-01-2008" 17 "Southern California" 49 "Rose Bowl" 1 1 1 2008 "Illinois"
"W" "12-29-2010" 38 "Baylor (TX)" 14 "Texas Bowl" 1 12 29 2010 "Illinois"
"W" "12-31-2011" 20 "UCLA" 14 "Kraft Fight Hunger Bowl" 1 12 31 2011 "Illinois"
