"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "12-18-1971" 15 "Louisiana St." 33 "Sun Bowl" 1 12 18 1971 "Iowa St."
"L" "12-18-1972" 30 "Georgia Tech" 31 "Liberty Bowl" 1 12 18 1972 "Iowa St."
"L" "12-31-1977" 14 "North Carolina St." 24 "Peach Bowl" 1 12 31 1977 "Iowa St."
"L" "12-20-1978" 12 "Texas A&M" 28 "Hall of Fame Classic" 1 12 20 1978 "Iowa St."
"W" "12-28-2000" 37 "Pittsburgh (PA)" 29 "Insight.com Bowl" 1 12 28 2000 "Iowa St."
"L" "12-27-2001" 13 "Alabama" 14 "Independence Bowl" 1 12 27 2001 "Iowa St."
"L" "12-31-2002" 16 "Boise St. (ID)" 34 "Humanitarian Bowl" 1 12 31 2002 "Iowa St."
"W" "12-28-2004" 17 "Miami (OH)" 13 "Independence Bowl" 1 12 28 2004 "Iowa St."
"L" "12-31-2005" 24 "Texas Christian" 27 "Houston Bowl" 1 12 31 2005 "Iowa St."
"W" "12-31-2009" 14 "Minnesota" 13 "Insight Bowl" 1 12 31 2009 "Iowa St."
"L" "12-30-2011" 13 "Rutgers (NJ)" 27 "Pinstripe Bowl" 1 12 30 2011 "Iowa St."
