"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1957" 35 "Oregon St." 19 "Rose Bowl" 1 1 1 1957 "Iowa"
"W" "01-01-1959" 38 "California" 12 "Rose Bowl" 1 1 1 1959 "Iowa"
"L" "01-01-1982" 0 "Washington" 28 "Rose Bowl" 1 1 1 1982 "Iowa"
"W" "12-31-1982" 28 "Tennessee" 22 "Peach Bowl" 1 12 31 1982 "Iowa"
"L" "12-30-1983" 6 "Florida" 14 "Gator Bowl" 1 12 30 1983 "Iowa"
"W" "12-26-1984" 55 "Texas" 17 "Freedom Bowl" 1 12 26 1984 "Iowa"
"L" "01-01-1986" 28 "UCLA" 45 "Rose Bowl" 1 1 1 1986 "Iowa"
"W" "12-30-1986" 39 "San Diego St. (CA)" 38 "Jack Murphy Stadium - Holiday Bowl (1)" 1 12 30 1986 "Iowa"
"W" "12-30-1987" 20 "Wyoming" 19 "Holiday Bowl (1)" 1 12 30 1987 "Iowa"
"L" "12-31-1988" 23 "North Carolina St." 28 "Peach Bowl" 1 12 31 1988 "Iowa"
"L" "01-01-1991" 34 "Washington" 46 "Rose Bowl" 1 1 1 1991 "Iowa"
"T" "12-30-1991" 13 "Brigham Young (UT)" 13 "Holiday Bowl (1)" 1 12 30 1991 "Iowa"
"L" "12-31-1993" 3 "California" 37 "Alamo Bowl" 1 12 31 1993 "Iowa"
"W" "12-29-1995" 38 "Washington" 18 "Sun Bowl" 1 12 29 1995 "Iowa"
"W" "12-29-1996" 27 "Texas Tech" 0 "Alamo Bowl" 1 12 29 1996 "Iowa"
"L" "12-31-1997" 7 "Arizona St." 17 "Sun Bowl" 1 12 31 1997 "Iowa"
"W" "12-29-2001" 19 "Texas Tech" 16 "Alamo Bowl" 1 12 29 2001 "Iowa"
"L" "01-02-2003" 17 "Southern California" 38 "Orange Bowl" 1 1 2 2003 "Iowa"
"W" "01-01-2004" 37 "Florida" 17 "Outback Bowl" 1 1 1 2004 "Iowa"
"W" "01-01-2005" 30 "Louisiana St." 25 "Capital One Bowl" 1 1 1 2005 "Iowa"
"L" "01-02-2006" 24 "Florida" 31 "Outback Bowl" 1 1 2 2006 "Iowa"
"L" "12-30-2006" 24 "Texas" 26 "Alamo Bowl" 1 12 30 2006 "Iowa"
"W" "01-01-2009" 31 "South Carolina" 10 "Outback Bowl" 1 1 1 2009 "Iowa"
"W" "01-05-2010" 24 "Georgia Tech" 14 "Orange Bowl" 1 1 5 2010 "Iowa"
"W" "12-28-2010" 27 "Missouri" 24 "Insight Bowl" 1 12 28 2010 "Iowa"
"L" "12-30-2011" 14 "Oklahoma" 31 "Insight Bowl" 1 12 30 2011 "Iowa"
