"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "12-11-1982" 3 "Wisconsin" 14 "Independence Bowl" 0 12 11 1982 "Kansas St."
"W" "12-29-1993" 52 "Wyoming" 17 "Copper Bowl" 0 12 29 1993 "Kansas St."
"L" "12-25-1994" 7 "Boston College (MA)" 12 "Aloha Bowl" 0 12 25 1994 "Kansas St."
"W" "12-29-1995" 54 "Colorado St." 21 "Holiday Bowl (1)" 0 12 29 1995 "Kansas St."
"L" "01-01-1997" 15 "Brigham Young (UT)" 19 "Cotton Bowl" 0 1 1 1997 "Kansas St."
"W" "12-31-1997" 35 "Syracuse (NY)" 18 "Fiesta Bowl" 0 12 31 1997 "Kansas St."
"L" "12-29-1998" 34 "Purdue (IN)" 37 "Alamo Bowl" 0 12 29 1998 "Kansas St."
"W" "12-29-1999" 24 "Washington" 20 "Holiday Bowl (1)" 0 12 29 1999 "Kansas St."
"W" "01-01-2001" 35 "Tennessee" 21 "Cotton Bowl" 0 1 1 2001 "Kansas St."
"L" "12-29-2001" 3 "Syracuse (NY)" 26 "Insight.com Bowl" 0 12 29 2001 "Kansas St."
"W" "12-27-2002" 34 "Arizona St." 27 "Holiday Bowl (1)" 0 12 27 2002 "Kansas St."
"L" "01-02-2004" 28 "Ohio St." 35 "Fiesta Bowl" 0 1 2 2004 "Kansas St."
"L" "12-28-2006" 10 "Rutgers (NJ)" 37 "Texas Bowl" 0 12 28 2006 "Kansas St."
"L" "12-30-2010" 34 "Syracuse (NY)" 36 "Pinstripe Bowl" 0 12 30 2010 "Kansas St."
"L" "01-06-2012" 16 "Arkansas" 29 "Cotton Bowl" 0 1 6 2012 "Kansas St."
"L" "12-06-1992" 24 "Nebraska" 38 "Coco-Cola Classic" 1 12 6 1992 "Kansas St."
