"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "12-17-1977" 24 "Louisville (KY)" 14 "Independence Bowl" 0 12 17 1977 "Louisiana Tech"
"L" "12-16-1978" 13 "East Carolina (NC)" 35 "Independence Bowl" 0 12 16 1978 "Louisiana Tech"
"T" "12-15-1990" 34 "Maryland" 34 "Independence Bowl" 0 12 15 1990 "Louisiana Tech"
"L" "12-31-2001" 24 "Clemson (SC)" 49 "Humanitarian Bowl" 0 12 31 2001 "Louisiana Tech"
"W" "12-28-2008" 17 "Northern Illinois" 10 "Independence Bowl" 0 12 28 2008 "Louisiana Tech"
"L" "12-21-2011" 24 "Texas Christian" 31 "Poinsettia Bowl" 0 12 21 2011 "Louisiana Tech"
"W" "12-13-1968" 33 "Akron (OH)" 13 "Grantland Rice Bowl" 1 12 13 1968 "Louisiana Tech"
"L" "12-13-1969" 14 "East Tennessee St." 34 "Grantland Rice Bowl" 1 12 13 1969 "Louisiana Tech"
"W" "12-11-1971" 14 "Eastern Michigan" 3 "Pioneer Bowl (1)" 1 12 11 1971 "Louisiana Tech"
"W" "12-10-1972" 35 "Tennessee Tech" 0 "Grantland Rice Bowl" 1 12 10 1972 "Louisiana Tech"
"W" "12-08-1973" 38 "Boise St. (ID)" 34 "Pioneer Bowl (1) - Division II Semifinal Playoff Game" 1 12 8 1973 "Louisiana Tech"
"W" "12-15-1973" 34 "Western Kentucky" 0 "Camellia Bowl (2) - Division II Championship Game" 1 12 15 1973 "Louisiana Tech"
"L" "12-07-1974" 14 "Central Michigan" 35 "Pioneer Bowl (1) - Division II Semifinal Playoff Game" 1 12 7 1974 "Louisiana Tech"
