"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1958" 34 "Drake (IA)" 20 "Sun Bowl" 0 1 1 1958 "Louisville (KY)"
"T" "12-19-1970" 24 "Cal St.-Long Beach" 24 "Pasadena Bowl" 0 12 19 1970 "Louisville (KY)"
"L" "12-17-1977" 14 "Louisiana Tech" 24 "Independence Bowl" 0 12 17 1977 "Louisville (KY)"
"W" "01-01-1991" 34 "Alabama" 7 "Fiesta Bowl" 0 1 1 1991 "Louisville (KY)"
"W" "12-28-1993" 18 "Michigan St." 7 "Liberty Bowl" 0 12 28 1993 "Louisville (KY)"
"L" "12-23-1998" 29 "Marshall (WV)" 48 "Motor City Bowl" 0 12 23 1998 "Louisville (KY)"
"L" "12-30-1999" 31 "Boise St. (ID)" 34 "Humanitarian Bowl" 0 12 30 1999 "Louisville (KY)"
"L" "12-29-2000" 17 "Colorado St." 22 "Liberty Bowl" 0 12 29 2000 "Louisville (KY)"
"W" "12-31-2001" 28 "Brigham Young (UT)" 10 "Liberty Bowl" 0 12 31 2001 "Louisville (KY)"
"L" "12-18-2002" 15 "Marshall (WV)" 38 "GMAC Bowl" 0 12 18 2002 "Louisville (KY)"
"L" "12-18-2003" 28 "Miami (OH)" 49 "GMAC Bowl" 0 12 18 2003 "Louisville (KY)"
"W" "12-31-2004" 44 "Boise St. (ID)" 40 "Liberty Bowl" 0 12 31 2004 "Louisville (KY)"
"L" "01-02-2006" 24 "Virginia Tech" 35 "Gator Bowl" 0 1 2 2006 "Louisville (KY)"
"W" "01-02-2007" 24 "Wake Forest (NC)" 13 "Orange Bowl" 0 1 2 2007 "Louisville (KY)"
"W" "12-21-2010" 31 "Southern Mississippi" 28 "Saint Petersburg Bowl" 0 12 21 2010 "Louisville (KY)"
"L" "12-27-2011" 24 "North Carolina St." 31 "Belk Bowl" 0 12 27 2011 "Louisville (KY)"
"L" "12-04-1989" 13 "Syracuse (NY)" 24 "Coco-Cola Classic" 1 12 4 1989 "Louisville (KY)"
