"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"T" "01-01-1948" 20 "Georgia" 20 "Gator Bowl" 1 1 1 1948 "Maryland"
"W" "01-02-1950" 20 "Missouri" 7 "Gator Bowl" 1 1 2 1950 "Maryland"
"W" "01-01-1952" 28 "Tennessee" 13 "Sugar Bowl" 1 1 1 1952 "Maryland"
"L" "01-01-1954" 0 "Oklahoma" 7 "Orange Bowl" 1 1 1 1954 "Maryland"
"L" "01-02-1956" 6 "Oklahoma" 20 "Orange Bowl" 1 1 2 1956 "Maryland"
"L" "12-28-1973" 16 "Georgia" 17 "Peach Bowl" 1 12 28 1973 "Maryland"
"L" "12-16-1974" 3 "Tennessee" 7 "Liberty Bowl" 1 12 16 1974 "Maryland"
"W" "12-29-1975" 13 "Florida" 0 "Gator Bowl" 1 12 29 1975 "Maryland"
"L" "01-01-1977" 21 "Houston (TX)" 30 "Cotton Bowl" 1 1 1 1977 "Maryland"
"W" "12-22-1977" 17 "Minnesota" 7 "Hall of Fame Classic" 1 12 22 1977 "Maryland"
"L" "12-23-1978" 0 "Texas" 42 "Sun Bowl" 1 12 23 1978 "Maryland"
"L" "12-20-1980" 20 "Florida" 35 "Tangerine Bowl" 1 12 20 1980 "Maryland"
"L" "12-25-1982" 20 "Washington" 21 "Aloha Bowl" 1 12 25 1982 "Maryland"
"L" "12-17-1983" 23 "Tennessee" 30 "Florida Citrus Bowl" 1 12 17 1983 "Maryland"
"W" "12-22-1984" 28 "Tennessee" 27 "Sun Bowl" 1 12 22 1984 "Maryland"
"W" "12-21-1985" 35 "Syracuse (NY)" 18 "Cherry Bowl (1)" 1 12 21 1985 "Maryland"
"T" "12-15-1990" 34 "Louisiana Tech" 34 "Independence Bowl" 1 12 15 1990 "Maryland"
"L" "01-02-2002" 23 "Florida" 56 "Orange Bowl" 1 1 2 2002 "Maryland"
"W" "12-31-2002" 30 "Tennessee" 3 "Peach Bowl" 1 12 31 2002 "Maryland"
"W" "01-01-2004" 41 "West Virginia" 7 "Gator Bowl" 1 1 1 2004 "Maryland"
"W" "12-29-2006" 24 "Purdue (IN)" 7 "Champs Sports Bowl" 1 12 29 2006 "Maryland"
"L" "12-28-2007" 14 "Oregon St." 21 "Emerald Bowl" 1 12 28 2007 "Maryland"
"W" "12-30-2008" 42 "Nevada" 35 "Humanitarian Bowl" 1 12 30 2008 "Maryland"
"W" "12-29-2010" 51 "East Carolina (NC)" 20 "Military Bowl" 1 12 29 2010 "Maryland"
