"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "01-01-1935" 0 "Bucknell (PA)" 26 "Orange Bowl" 0 1 1 1935 "Miami (FL)"
"W" "01-01-1946" 13 "Holy Cross (MA)" 6 "Orange Bowl" 0 1 1 1946 "Miami (FL)"
"L" "01-01-1951" 14 "Clemson (SC)" 15 "Orange Bowl" 0 1 1 1951 "Miami (FL)"
"W" "01-01-1952" 14 "Clemson (SC)" 0 "Gator Bowl" 0 1 1 1952 "Miami (FL)"
"L" "12-16-1961" 14 "Syracuse (NY)" 15 "Liberty Bowl" 0 12 16 1961 "Miami (FL)"
"L" "12-15-1962" 34 "Nebraska" 36 "Gotham Bowl" 0 12 15 1962 "Miami (FL)"
"W" "12-10-1966" 14 "Virginia Tech" 7 "Liberty Bowl" 0 12 10 1966 "Miami (FL)"
"L" "12-23-1967" 21 "Colorado" 31 "Bluebonnet Bowl" 0 12 23 1967 "Miami (FL)"
"W" "01-02-1981" 20 "Virginia Tech" 10 "Peach Bowl" 0 1 2 1981 "Miami (FL)"
"W" "01-02-1984" 31 "Nebraska" 30 "Orange Bowl" 0 1 2 1984 "Miami (FL)"
"L" "01-01-1985" 37 "UCLA" 39 "Fiesta Bowl" 0 1 1 1985 "Miami (FL)"
"L" "01-01-1986" 7 "Tennessee" 35 "Sugar Bowl" 0 1 1 1986 "Miami (FL)"
"L" "01-02-1987" 10 "Penn St." 14 "Fiesta Bowl" 0 1 2 1987 "Miami (FL)"
"W" "01-01-1988" 20 "Oklahoma" 14 "Orange Bowl" 0 1 1 1988 "Miami (FL)"
"W" "01-02-1989" 23 "Nebraska" 3 "Orange Bowl" 0 1 2 1989 "Miami (FL)"
"W" "01-01-1990" 33 "Alabama" 25 "Sugar Bowl" 0 1 1 1990 "Miami (FL)"
"W" "01-01-1991" 46 "Texas" 3 "Cotton Bowl" 0 1 1 1991 "Miami (FL)"
"W" "01-01-1992" 22 "Nebraska" 0 "Orange Bowl" 0 1 1 1992 "Miami (FL)"
"L" "01-01-1993" 13 "Alabama" 34 "Sugar Bowl" 0 1 1 1993 "Miami (FL)"
"L" "01-01-1994" 0 "Arizona" 29 "Fiesta Bowl" 0 1 1 1994 "Miami (FL)"
"L" "01-01-1995" 17 "Nebraska" 24 "Orange Bowl" 0 1 1 1995 "Miami (FL)"
"W" "12-27-1996" 31 "Virginia" 21 "Carquest Bowl" 0 12 27 1996 "Miami (FL)"
"W" "12-29-1998" 46 "North Carolina St." 23 "Micron PC Bowl" 0 12 29 1998 "Miami (FL)"
"W" "01-01-2000" 28 "Georgia Tech" 13 "Gator Bowl" 0 1 1 2000 "Miami (FL)"
"W" "01-02-2001" 37 "Florida" 20 "Sugar Bowl" 0 1 2 2001 "Miami (FL)"
"W" "01-03-2002" 37 "Nebraska" 14 "Rose Bowl" 0 1 3 2002 "Miami (FL)"
"L" "01-03-2003" 24 "Ohio St." 31 "Fiesta Bowl" 0 1 3 2003 "Miami (FL)"
"W" "01-01-2004" 16 "Florida St." 14 "Orange Bowl" 0 1 1 2004 "Miami (FL)"
"W" "12-31-2004" 27 "Florida" 10 "Peach Bowl" 0 12 31 2004 "Miami (FL)"
"L" "12-30-2005" 3 "Louisiana St." 40 "Peach Bowl" 0 12 30 2005 "Miami (FL)"
"W" "12-31-2006" 21 "Nevada" 20 "MPC Computers Bowl" 0 12 31 2006 "Miami (FL)"
"L" "12-27-2008" 17 "California" 24 "Emerald Bowl" 0 12 27 2008 "Miami (FL)"
"L" "12-29-2009" 14 "Wisconsin" 20 "Champs Sports Bowl" 0 12 29 2009 "Miami (FL)"
"L" "12-31-2010" 17 "Notre Dame (IN)" 33 "Sun Bowl" 0 12 31 2010 "Miami (FL)"
"W" "01-01-1933" 7 "Manhattan (NY)" 0 "Palm Festival" 1 1 1 1933 "Miami (FL)"
"L" "01-01-1934" 7 "Duquesne (PA)" 33 "Palm Festival" 1 1 1 1934 "Miami (FL)"
"L" "11-24-1979" 15 "Notre Dame (IN)" 40 "Mirage Bowl" 1 11 24 1979 "Miami (FL)"
