"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "01-01-1937" 12 "Duquesne (PA)" 13 "Orange Bowl" 1 1 1 1937 "Mississippi St."
"W" "01-01-1941" 14 "Georgetown (DC)" 7 "Orange Bowl" 1 1 1 1941 "Mississippi St."
"W" "12-21-1963" 16 "North Carolina St." 12 "Liberty Bowl" 1 12 21 1963 "Mississippi St."
"W" "12-28-1974" 26 "North Carolina" 24 "Sun Bowl" 1 12 28 1974 "Mississippi St."
"L" "12-27-1980" 17 "Nebraska" 31 "Sun Bowl" 1 12 27 1980 "Mississippi St."
"W" "12-31-1981" 10 "Kansas" 0 "Hall of Fame Classic" 1 12 31 1981 "Mississippi St."
"L" "12-29-1991" 15 "Air Force (CO)" 38 "Liberty Bowl" 1 12 29 1991 "Mississippi St."
"L" "01-02-1993" 17 "North Carolina" 21 "Peach Bowl" 1 1 2 1993 "Mississippi St."
"L" "01-01-1995" 24 "North Carolina St." 28 "Peach Bowl" 1 1 1 1995 "Mississippi St."
"L" "01-01-1999" 11 "Texas" 38 "Cotton Bowl" 1 1 1 1999 "Mississippi St."
"W" "12-30-1999" 17 "Clemson (SC)" 7 "Peach Bowl" 1 12 30 1999 "Mississippi St."
"W" "12-31-2000" 43 "Texas A&M" 41 "Independence Bowl" 1 12 31 2000 "Mississippi St."
"W" "12-29-2007" 10 "Central Florida" 3 "Liberty Bowl" 1 12 29 2007 "Mississippi St."
"W" "01-01-2011" 52 "Michigan" 14 "Gator Bowl" 1 1 1 2011 "Mississippi St."
"W" "12-30-2011" 23 "Wake Forest (NC)" 17 "Music City Bowl" 1 12 30 2011 "Mississippi St."
