"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"T" "01-01-1924" 14 "Washington" 14 "Rose Bowl" 0 1 1 1924 "Navy (MD)"
"W" "01-01-1955" 21 "Mississippi" 0 "Sugar Bowl" 0 1 1 1955 "Navy (MD)"
"W" "01-01-1958" 20 "Rice (TX)" 7 "Cotton Bowl" 0 1 1 1958 "Navy (MD)"
"L" "01-02-1961" 14 "Missouri" 21 "Orange Bowl" 0 1 2 1961 "Navy (MD)"
"L" "01-01-1964" 6 "Texas" 28 "Cotton Bowl" 0 1 1 1964 "Navy (MD)"
"W" "12-22-1978" 23 "Brigham Young (UT)" 16 "Holiday Bowl (1)" 0 12 22 1978 "Navy (MD)"
"L" "12-14-1980" 0 "Houston (TX)" 35 "Garden State Bowl" 0 12 14 1980 "Navy (MD)"
"L" "12-30-1981" 28 "Ohio St." 31 "Liberty Bowl" 0 12 30 1981 "Navy (MD)"
"W" "12-25-1996" 42 "California" 38 "Aloha Bowl" 0 12 25 1996 "Navy (MD)"
"L" "12-30-2003" 14 "Texas Tech" 38 "Houston Bowl" 0 12 30 2003 "Navy (MD)"
"W" "12-30-2004" 34 "New Mexico" 19 "Emerald Bowl" 0 12 30 2004 "Navy (MD)"
"W" "12-22-2005" 51 "Colorado St." 30 "Poinsettia Bowl" 0 12 22 2005 "Navy (MD)"
"L" "12-30-2006" 24 "Boston College (MA)" 25 "Meineke Car Care Bowl" 0 12 30 2006 "Navy (MD)"
"L" "12-20-2007" 32 "Utah" 35 "Poinsettia Bowl" 0 12 20 2007 "Navy (MD)"
"L" "12-20-2008" 19 "Wake Forest (NC)" 29 "EagleBank Bowl" 0 12 20 2008 "Navy (MD)"
"W" "12-31-2009" 35 "Missouri" 13 "Texas Bowl" 0 12 31 2009 "Navy (MD)"
"L" "12-23-2010" 14 "San Diego St. (CA)" 35 "Poinsettia Bowl" 0 12 23 2010 "Navy (MD)"
"L" "11-02-1996" 27 "Notre Dame (IN)" 54 "Emerald Isle Classic" 1 11 2 1996 "Navy (MD)"
