"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "01-01-1947" 10 "Georgia" 20 "Sugar Bowl" 1 1 1 1947 "North Carolina"
"L" "01-01-1949" 6 "Oklahoma" 14 "Sugar Bowl" 1 1 1 1949 "North Carolina"
"L" "01-02-1950" 13 "Rice (TX)" 27 "Cotton Bowl" 1 1 2 1950 "North Carolina"
"W" "12-28-1963" 35 "Air Force (CO)" 0 "Gator Bowl" 1 12 28 1963 "North Carolina"
"L" "12-30-1970" 26 "Arizona St." 48 "Peach Bowl" 1 12 30 1970 "North Carolina"
"L" "12-31-1971" 3 "Georgia" 7 "Gator Bowl" 1 12 31 1971 "North Carolina"
"W" "12-30-1972" 32 "Texas Tech" 28 "Sun Bowl" 1 12 30 1972 "North Carolina"
"L" "12-28-1974" 24 "Mississippi St." 26 "Sun Bowl" 1 12 28 1974 "North Carolina"
"L" "12-31-1976" 0 "Kentucky" 21 "Peach Bowl" 1 12 31 1976 "North Carolina"
"L" "12-19-1977" 17 "Nebraska" 21 "Liberty Bowl" 1 12 19 1977 "North Carolina"
"W" "12-28-1979" 17 "Michigan" 15 "Gator Bowl" 1 12 28 1979 "North Carolina"
"W" "12-31-1980" 16 "Texas" 7 "Bluebonnet Bowl" 1 12 31 1980 "North Carolina"
"W" "12-28-1981" 31 "Arkansas" 27 "Gator Bowl" 1 12 28 1981 "North Carolina"
"W" "12-25-1982" 26 "Texas" 10 "Sun Bowl" 1 12 25 1982 "North Carolina"
"L" "12-30-1983" 3 "Florida St." 28 "Peach Bowl" 1 12 30 1983 "North Carolina"
"L" "12-27-1986" 21 "Arizona" 30 "Aloha Bowl" 1 12 27 1986 "North Carolina"
"W" "01-02-1993" 21 "Mississippi St." 17 "Peach Bowl" 1 1 2 1993 "North Carolina"
"L" "12-31-1993" 10 "Alabama" 24 "Gator Bowl" 1 12 31 1993 "North Carolina"
"L" "12-30-1994" 31 "Texas" 35 "Sun Bowl" 1 12 30 1994 "North Carolina"
"W" "12-30-1995" 20 "Arkansas" 10 "Carquest Bowl" 1 12 30 1995 "North Carolina"
"W" "01-01-1997" 20 "West Virginia" 13 "Gator Bowl" 1 1 1 1997 "North Carolina"
"W" "01-01-1998" 42 "Virginia Tech" 3 "Gator Bowl" 1 1 1 1998 "North Carolina"
"W" "12-19-1998" 20 "San Diego St. (CA)" 13 "Sam Boyd Stadium - Las Vegas Bowl" 1 12 19 1998 "North Carolina"
"W" "12-31-2001" 16 "Auburn (AL)" 10 "Peach Bowl" 1 12 31 2001 "North Carolina"
"L" "12-30-2004" 24 "Boston College (MA)" 37 "Continental Tire Bowl" 1 12 30 2004 "North Carolina"
"L" "12-27-2008" 30 "West Virginia" 31 "Meineke Car Care Bowl" 1 12 27 2008 "North Carolina"
"L" "12-26-2009" 17 "Pittsburgh (PA)" 19 "Meineke Car Care Bowl" 1 12 26 2009 "North Carolina"
"W" "12-30-2010" 30 "Tennessee" 27 "Music City Bowl" 1 12 30 2010 "North Carolina"
"L" "12-26-2011" 24 "Missouri" 41 "Independence Bowl" 1 12 26 2011 "North Carolina"
