"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1949" 20 "California" 14 "Rose Bowl" 1 1 1 1949 "Northwestern (IL)"
"L" "01-01-1996" 32 "Southern California" 41 "Rose Bowl" 1 1 1 1996 "Northwestern (IL)"
"L" "01-01-1997" 28 "Tennessee" 48 "Florida Citrus Bowl" 1 1 1 1997 "Northwestern (IL)"
"L" "12-30-2000" 17 "Nebraska" 66 "Alamo Bowl" 1 12 30 2000 "Northwestern (IL)"
"L" "12-26-2003" 24 "Bowling Green (OH)" 28 "Motor City Bowl" 1 12 26 2003 "Northwestern (IL)"
"L" "12-30-2005" 38 "UCLA" 50 "Sun Bowl" 1 12 30 2005 "Northwestern (IL)"
"L" "12-29-2008" 23 "Missouri" 30 "Alamo Bowl" 1 12 29 2008 "Northwestern (IL)"
"L" "01-01-2010" 35 "Auburn (AL)" 38 "Outback Bowl" 1 1 1 2010 "Northwestern (IL)"
"L" "01-01-2011" 38 "Texas Tech" 45 "TicketCity Bowl" 1 1 1 2011 "Northwestern (IL)"
"L" "12-31-2011" 22 "Texas A&M" 33 "Texas Bowl" 1 12 31 2011 "Northwestern (IL)"
