"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1945" 34 "Texas Christian" 0 "Cotton Bowl" 0 1 1 1945 "Oklahoma St."
"W" "01-01-1946" 33 "Saint Mary's (CA)" 13 "Sugar Bowl" 0 1 1 1946 "Oklahoma St."
"L" "01-01-1949" 0 "William & Mary (VA)" 20 "Delta Bowl" 0 1 1 1949 "Oklahoma St."
"W" "12-13-1958" 15 "Florida St." 6 "Bluegrass Bowl" 0 12 13 1958 "Oklahoma St."
"W" "12-28-1974" 16 "Brigham Young (UT)" 6 "Fiesta Bowl" 0 12 28 1974 "Oklahoma St."
"W" "12-18-1976" 49 "Brigham Young (UT)" 21 "Tangerine Bowl" 0 12 18 1976 "Oklahoma St."
"L" "12-12-1981" 16 "Texas A&M" 33 "Independence Bowl" 0 12 12 1981 "Oklahoma St."
"W" "12-31-1983" 24 "Baylor (TX)" 14 "Bluebonnet Bowl" 0 12 31 1983 "Oklahoma St."
"W" "12-28-1984" 21 "South Carolina" 14 "Gator Bowl" 0 12 28 1984 "Oklahoma St."
"L" "12-30-1985" 23 "Florida St." 34 "Gator Bowl" 0 12 30 1985 "Oklahoma St."
"W" "12-25-1987" 35 "West Virginia" 33 "Sun Bowl" 0 12 25 1987 "Oklahoma St."
"W" "12-30-1988" 62 "Wyoming" 14 "Holiday Bowl (1)" 0 12 30 1988 "Oklahoma St."
"L" "12-30-1997" 20 "Purdue (IN)" 33 "Alamo Bowl" 0 12 30 1997 "Oklahoma St."
"W" "12-27-2002" 33 "Southern Mississippi" 23 "Houston Bowl" 0 12 27 2002 "Oklahoma St."
"L" "01-02-2004" 28 "Mississippi" 31 "Cotton Bowl" 0 1 2 2004 "Oklahoma St."
"L" "12-29-2004" 7 "Ohio St." 33 "Alamo Bowl" 0 12 29 2004 "Oklahoma St."
"W" "12-28-2006" 34 "Alabama" 31 "Independence Bowl" 0 12 28 2006 "Oklahoma St."
"W" "12-31-2007" 49 "Indiana" 33 "Insight Bowl" 0 12 31 2007 "Oklahoma St."
"L" "12-30-2008" 31 "Oregon" 42 "Holiday Bowl (1)" 0 12 30 2008 "Oklahoma St."
"L" "01-02-2010" 7 "Mississippi" 21 "Cotton Bowl" 0 1 2 2010 "Oklahoma St."
"W" "12-29-2010" 36 "Arizona" 10 "Alamo Bowl" 0 12 29 2010 "Oklahoma St."
"W" "01-02-2012" 41 "Stanford (CA)" 38 "Fiesta Bowl" 0 1 2 2012 "Oklahoma St."
"W" "12-03-1988" 45 "Texas Tech" 42 "Coco-Cola Classic" 1 12 3 1988 "Oklahoma St."
