"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1917" 14 "Pennsylvania" 0 "Tournament of Roses Game" 0 1 1 1917 "Oregon"
"L" "01-01-1920" 6 "Harvard (MA)" 7 "Tournament of Roses Game" 0 1 1 1920 "Oregon"
"L" "01-01-1949" 13 "Southern Methodist (TX)" 21 "Cotton Bowl" 0 1 1 1949 "Oregon"
"L" "01-01-1958" 7 "Ohio St." 10 "Rose Bowl" 0 1 1 1958 "Oregon"
"L" "12-17-1960" 12 "Penn St." 41 "Liberty Bowl" 0 12 17 1960 "Oregon"
"W" "12-31-1963" 21 "Southern Methodist (TX)" 14 "Sun Bowl" 0 12 31 1963 "Oregon"
"W" "12-16-1989" 27 "Tulsa (OK)" 24 "Independence Bowl" 0 12 16 1989 "Oregon"
"L" "12-29-1990" 31 "Colorado St." 32 "Freedom Bowl" 0 12 29 1990 "Oregon"
"L" "12-31-1992" 35 "Wake Forest (NC)" 39 "Independence Bowl" 0 12 31 1992 "Oregon"
"L" "01-02-1995" 20 "Penn St." 38 "Rose Bowl" 0 1 2 1995 "Oregon"
"L" "01-01-1996" 6 "Colorado" 38 "Cotton Bowl" 0 1 1 1996 "Oregon"
"W" "12-20-1997" 41 "Air Force (CO)" 13 "Las Vegas Bowl" 0 12 20 1997 "Oregon"
"L" "12-25-1998" 43 "Colorado" 51 "Aloha Classic" 0 12 25 1998 "Oregon"
"W" "12-31-1999" 24 "Minnesota" 20 "Sun Bowl" 0 12 31 1999 "Oregon"
"W" "12-29-2000" 35 "Texas" 30 "Holiday Bowl (1)" 0 12 29 2000 "Oregon"
"W" "01-01-2002" 38 "Colorado" 16 "Fiesta Bowl" 0 1 1 2002 "Oregon"
"L" "12-30-2002" 17 "Wake Forest (NC)" 38 "Seattle Bowl" 0 12 30 2002 "Oregon"
"L" "12-31-2003" 30 "Minnesota" 31 "Sun Bowl" 0 12 31 2003 "Oregon"
"L" "12-29-2005" 14 "Oklahoma" 17 "Holiday Bowl (1)" 0 12 29 2005 "Oregon"
"L" "12-21-2006" 8 "Brigham Young (UT)" 38 "Las Vegas Bowl" 0 12 21 2006 "Oregon"
"W" "12-31-2007" 56 "South Florida" 21 "Sun Bowl" 0 12 31 2007 "Oregon"
"W" "12-30-2008" 42 "Oklahoma St." 31 "Holiday Bowl (1)" 0 12 30 2008 "Oregon"
"L" "01-01-2010" 17 "Ohio St." 26 "Rose Bowl" 0 1 1 2010 "Oregon"
"L" "01-10-2011" 19 "Auburn (AL)" 22 "BCS Championship Game" 0 1 10 2011 "Oregon"
"W" "01-02-2012" 45 "Wisconsin" 38 "Rose Bowl" 0 1 2 2012 "Oregon"
"L" "11-30-1985" 6 "Southern California" 20 "Mirage Bowl" 1 11 30 1985 "Oregon"
