"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "01-01-1923" 3 "Southern California" 14 "Tournament of Roses Game" 1 1 1 1923 "Penn St."
"T" "01-01-1948" 13 "Southern Methodist (TX)" 13 "Cotton Bowl" 1 1 1 1948 "Penn St."
"W" "12-19-1959" 7 "Alabama" 0 "Liberty Bowl" 1 12 19 1959 "Penn St."
"W" "12-17-1960" 41 "Oregon" 12 "Liberty Bowl" 1 12 17 1960 "Penn St."
"W" "12-30-1961" 30 "Georgia Tech" 15 "Gator Bowl" 1 12 30 1961 "Penn St."
"L" "12-29-1962" 7 "Florida" 17 "Gator Bowl" 1 12 29 1962 "Penn St."
"T" "12-30-1967" 17 "Florida St." 17 "Gator Bowl" 1 12 30 1967 "Penn St."
"W" "01-01-1969" 15 "Kansas" 14 "Orange Bowl" 1 1 1 1969 "Penn St."
"W" "01-01-1970" 10 "Missouri" 3 "Orange Bowl" 1 1 1 1970 "Penn St."
"W" "01-01-1972" 30 "Texas" 6 "Cotton Bowl" 1 1 1 1972 "Penn St."
"L" "12-31-1972" 0 "Oklahoma" 14 "Sugar Bowl" 1 12 31 1972 "Penn St."
"W" "01-01-1974" 16 "Louisiana St." 9 "Orange Bowl" 1 1 1 1974 "Penn St."
"W" "01-01-1975" 41 "Baylor (TX)" 20 "Cotton Bowl" 1 1 1 1975 "Penn St."
"L" "12-31-1975" 6 "Alabama" 13 "Sugar Bowl" 1 12 31 1975 "Penn St."
"L" "12-27-1976" 9 "Notre Dame (IN)" 20 "Gator Bowl" 1 12 27 1976 "Penn St."
"W" "12-25-1977" 42 "Arizona St." 30 "Fiesta Bowl" 1 12 25 1977 "Penn St."
"L" "01-01-1979" 7 "Alabama" 14 "Sugar Bowl" 1 1 1 1979 "Penn St."
"W" "12-22-1979" 9 "Tulane (LA)" 6 "Liberty Bowl" 1 12 22 1979 "Penn St."
"W" "12-26-1980" 31 "Ohio St." 19 "Fiesta Bowl" 1 12 26 1980 "Penn St."
"W" "01-01-1982" 26 "Southern California" 10 "Fiesta Bowl" 1 1 1 1982 "Penn St."
"W" "01-01-1983" 27 "Georgia" 23 "Sugar Bowl" 1 1 1 1983 "Penn St."
"W" "12-26-1983" 13 "Washington" 10 "Aloha Bowl" 1 12 26 1983 "Penn St."
"L" "01-01-1986" 10 "Oklahoma" 25 "Orange Bowl" 1 1 1 1986 "Penn St."
"W" "01-02-1987" 14 "Miami (FL)" 10 "Fiesta Bowl" 1 1 2 1987 "Penn St."
"L" "01-01-1988" 10 "Clemson (SC)" 35 "Florida Citrus Bowl" 1 1 1 1988 "Penn St."
"W" "12-29-1989" 50 "Brigham Young (UT)" 39 "Holiday Bowl (1)" 1 12 29 1989 "Penn St."
"L" "12-28-1990" 17 "Florida St." 24 "Blockbuster Bowl" 1 12 28 1990 "Penn St."
"W" "01-01-1992" 42 "Tennessee" 17 "Fiesta Bowl" 1 1 1 1992 "Penn St."
"L" "01-01-1993" 3 "Stanford (CA)" 24 "Blockbuster Bowl" 1 1 1 1993 "Penn St."
"W" "01-01-1994" 31 "Tennessee" 13 "Florida Citrus Bowl" 1 1 1 1994 "Penn St."
"W" "01-02-1995" 38 "Oregon" 20 "Rose Bowl" 1 1 2 1995 "Penn St."
"W" "01-01-1996" 43 "Auburn (AL)" 14 "Outback Bowl" 1 1 1 1996 "Penn St."
"W" "01-01-1997" 38 "Texas" 15 "Fiesta Bowl" 1 1 1 1997 "Penn St."
"L" "01-01-1998" 6 "Florida" 21 "Florida Citrus Bowl" 1 1 1 1998 "Penn St."
"N/A" "01-01-1999" 26 "Kentucky" 14 "Outback Bowl - Penn St. Vacated Game" 1 1 1 1999 "Penn St."
"N/A" "12-28-1999" 24 "Texas A&M" 0 "Alamo Bowl - Penn St. Vacated Game" 1 12 28 1999 "Penn St."
"L" "01-01-2003" 9 "Auburn (AL)" 13 "Capital One Bowl" 1 1 1 2003 "Penn St."
"N/A" "01-03-2006" 26 "Florida St." 23 "Orange Bowl - Penn St. Vacated Game" 1 1 3 2006 "Penn St."
"N/A" "01-01-2007" 20 "Tennessee" 10 "Outback Bowl - Penn St. Vacated Game" 1 1 1 2007 "Penn St."
"N/A" "12-29-2007" 24 "Texas A&M" 17 "Alamo Bowl - Penn St. Vacated Game" 1 12 29 2007 "Penn St."
"L" "01-01-2009" 24 "Southern California" 38 "Rose Bowl" 1 1 1 2009 "Penn St."
"N/A" "01-01-2010" 19 "Louisiana St." 17 "Capital One Bowl - Penn St. Vacated Game" 1 1 1 2010 "Penn St."
"L" "01-01-2011" 24 "Florida" 37 "Outback Bowl" 1 1 1 2011 "Penn St."
"L" "01-02-2012" 14 "Houston (TX)" 30 "TicketCity Bowl" 1 1 2 2012 "Penn St."
