"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "01-02-1928" 6 "Stanford (CA)" 7 "Rose Bowl" 0 1 2 1928 "Pittsburgh (PA)"
"L" "01-01-1930" 14 "Southern California" 47 "Rose Bowl" 0 1 1 1930 "Pittsburgh (PA)"
"L" "01-02-1933" 0 "Southern California" 35 "Rose Bowl" 0 1 2 1933 "Pittsburgh (PA)"
"W" "01-01-1937" 21 "Washington" 0 "Rose Bowl" 0 1 1 1937 "Pittsburgh (PA)"
"L" "01-02-1956" 0 "Georgia Tech" 7 "Sugar Bowl" 0 1 2 1956 "Pittsburgh (PA)"
"L" "12-29-1956" 14 "Georgia Tech" 21 "Gator Bowl" 0 12 29 1956 "Pittsburgh (PA)"
"L" "12-21-1973" 7 "Arizona St." 28 "Fiesta Bowl" 0 12 21 1973 "Pittsburgh (PA)"
"W" "12-26-1975" 33 "Kansas" 19 "Sun Bowl" 0 12 26 1975 "Pittsburgh (PA)"
"W" "01-01-1977" 27 "Georgia" 3 "Sugar Bowl" 0 1 1 1977 "Pittsburgh (PA)"
"W" "12-30-1977" 34 "Clemson (SC)" 3 "Gator Bowl" 0 12 30 1977 "Pittsburgh (PA)"
"L" "12-23-1978" 17 "North Carolina St." 30 "Tangerine Bowl" 0 12 23 1978 "Pittsburgh (PA)"
"W" "12-25-1979" 16 "Arizona" 10 "Fiesta Bowl" 0 12 25 1979 "Pittsburgh (PA)"
"W" "12-29-1980" 37 "South Carolina" 9 "Gator Bowl" 0 12 29 1980 "Pittsburgh (PA)"
"W" "01-01-1982" 24 "Georgia" 20 "Sugar Bowl" 0 1 1 1982 "Pittsburgh (PA)"
"L" "01-01-1983" 3 "Southern Methodist (TX)" 7 "Cotton Bowl" 0 1 1 1983 "Pittsburgh (PA)"
"L" "01-02-1984" 23 "Ohio St." 28 "Fiesta Bowl" 0 1 2 1984 "Pittsburgh (PA)"
"L" "12-31-1987" 27 "Texas" 32 "Bluebonnet Bowl" 0 12 31 1987 "Pittsburgh (PA)"
"W" "12-30-1989" 31 "Texas A&M" 28 "Sun Bowl" 0 12 30 1989 "Pittsburgh (PA)"
"L" "12-31-1997" 7 "Southern Mississippi" 41 "Liberty Bowl" 0 12 31 1997 "Pittsburgh (PA)"
"L" "12-28-2000" 29 "Iowa St." 37 "Insight.com Bowl" 0 12 28 2000 "Pittsburgh (PA)"
"W" "12-20-2001" 34 "North Carolina St." 19 "Tangerine Bowl" 0 12 20 2001 "Pittsburgh (PA)"
"W" "12-26-2002" 38 "Oregon St." 13 "Insight Bowl" 0 12 26 2002 "Pittsburgh (PA)"
"L" "12-27-2003" 16 "Virginia" 23 "Continental Tire Bowl" 0 12 27 2003 "Pittsburgh (PA)"
"L" "01-01-2005" 7 "Utah" 35 "Fiesta Bowl" 0 1 1 2005 "Pittsburgh (PA)"
"L" "12-31-2008" 0 "Oregon St." 3 "Sun Bowl" 0 12 31 2008 "Pittsburgh (PA)"
"W" "12-26-2009" 19 "North Carolina" 17 "Meineke Car Care Bowl" 0 12 26 2009 "Pittsburgh (PA)"
"W" "01-08-2011" 27 "Kentucky" 10 "BBVA Compass Bowl" 0 1 8 2011 "Pittsburgh (PA)"
"L" "01-07-2012" 6 "Southern Methodist (TX)" 28 "BBVA Compass Bowl" 0 1 7 2012 "Pittsburgh (PA)"
"W" "12-02-1989" 46 "Rutgers (NJ)" 29 "Emerald Isle Classic" 1 12 2 1989 "Pittsburgh (PA)"
