"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "01-01-1953" 7 "Pacific (CA)" 26 "Sun Bowl" 0 1 1 1953 "Southern Mississippi"
"L" "01-01-1954" 14 "Texas-El Paso" 37 "Sun Bowl" 0 1 1 1954 "Southern Mississippi"
"W" "12-13-1980" 16 "McNeese St. (LA)" 14 "Independence Bowl" 0 12 13 1980 "Southern Mississippi"
"L" "12-19-1981" 17 "Missouri" 19 "Tangerine Bowl" 0 12 19 1981 "Southern Mississippi"
"W" "12-23-1988" 38 "Texas-El Paso" 18 "Independence Bowl" 0 12 23 1988 "Southern Mississippi"
"L" "12-28-1990" 27 "North Carolina St." 31 "All-American Bowl (2)" 0 12 28 1990 "Southern Mississippi"
"W" "12-31-1997" 41 "Pittsburgh (PA)" 7 "Liberty Bowl" 0 12 31 1997 "Southern Mississippi"
"L" "12-30-1998" 35 "Idaho" 42 "Humanitarian Bowl" 0 12 30 1998 "Southern Mississippi"
"W" "12-31-1999" 23 "Colorado St." 17 "Liberty Bowl" 0 12 31 1999 "Southern Mississippi"
"W" "12-20-2000" 28 "Texas Christian" 21 "Mobile Alabama Bowl" 0 12 20 2000 "Southern Mississippi"
"L" "12-27-2002" 23 "Oklahoma St." 33 "Houston Bowl" 0 12 27 2002 "Southern Mississippi"
"L" "12-31-2003" 0 "Utah" 17 "Liberty Bowl" 0 12 31 2003 "Southern Mississippi"
"W" "12-14-2004" 31 "North Texas" 10 "New Orleans Bowl" 0 12 14 2004 "Southern Mississippi"
"W" "12-20-2005" 31 "Arkansas St." 19 "New Orleans Bowl" 0 12 20 2005 "Southern Mississippi"
"W" "01-07-2007" 28 "Ohio" 7 "GMAC Bowl" 0 1 7 2007 "Southern Mississippi"
"L" "12-22-2007" 21 "Cincinnati (OH)" 31 "Papajohns.com Bowl" 0 12 22 2007 "Southern Mississippi"
"W" "12-21-2008" 30 "Troy (AL)" 27 "New Orleans Bowl" 0 12 21 2008 "Southern Mississippi"
"L" "12-20-2009" 32 "Middle Tennessee St." 42 "New Orleans Bowl" 0 12 20 2009 "Southern Mississippi"
"L" "12-21-2010" 28 "Louisville (KY)" 31 "Saint Petersburg Bowl" 0 12 21 2010 "Southern Mississippi"
"W" "12-24-2011" 24 "Nevada" 17 "Hawaii Bowl" 0 12 24 2011 "Southern Mississippi"
"W" "12-03-1937" 7 "Appalachian St. (NC)" 0 "Doll and Toy Charity Game (1)" 1 12 3 1937 "Southern Mississippi"
"W" "12-07-1946" 55 "Havana University (Cuba)" 0 "Cigar Bowl (2)" 1 12 7 1946 "Southern Mississippi"
"L" "01-01-1957" 13 "West Texas A&M" 20 "Tangerine Bowl" 1 1 1 1957 "Southern Mississippi"
"L" "01-01-1958" 9 "Texas A&M-Commerce" 10 "Tangerine Bowl" 1 1 1 1958 "Southern Mississippi"
