"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-02-1922" 22 "Centre (KY)" 14 "Dixie Classic" 1 1 2 1922 "Texas A&M"
"W" "01-01-1940" 14 "Tulane (LA)" 13 "Sugar Bowl" 1 1 1 1940 "Texas A&M"
"W" "01-01-1941" 13 "Fordham (NY)" 12 "Cotton Bowl" 1 1 1 1941 "Texas A&M"
"L" "01-01-1942" 21 "Alabama" 29 "Cotton Bowl" 1 1 1 1942 "Texas A&M"
"L" "01-01-1944" 14 "Louisiana St." 19 "Orange Bowl" 1 1 1 1944 "Texas A&M"
"W" "12-09-1950" 40 "Georgia" 20 "Presidential Cup Bowl" 1 12 9 1950 "Texas A&M"
"L" "12-28-1957" 0 "Tennessee" 3 "Gator Bowl" 1 12 28 1957 "Texas A&M"
"W" "01-01-1968" 20 "Alabama" 16 "Cotton Bowl" 1 1 1 1968 "Texas A&M"
"L" "12-22-1975" 0 "Southern California" 20 "Liberty Bowl" 1 12 22 1975 "Texas A&M"
"W" "01-02-1977" 37 "Florida" 14 "Sun Bowl" 1 1 2 1977 "Texas A&M"
"L" "12-31-1977" 28 "Southern California" 47 "Bluebonnet Bowl" 1 12 31 1977 "Texas A&M"
"W" "12-20-1978" 28 "Iowa St." 12 "Hall of Fame Classic" 1 12 20 1978 "Texas A&M"
"W" "12-12-1981" 33 "Oklahoma St." 16 "Independence Bowl" 1 12 12 1981 "Texas A&M"
"W" "01-01-1986" 36 "Auburn (AL)" 16 "Cotton Bowl" 1 1 1 1986 "Texas A&M"
"L" "01-01-1987" 12 "Ohio St." 28 "Cotton Bowl" 1 1 1 1987 "Texas A&M"
"W" "01-01-1988" 35 "Notre Dame (IN)" 10 "Cotton Bowl" 1 1 1 1988 "Texas A&M"
"L" "12-30-1989" 28 "Pittsburgh (PA)" 31 "Sun Bowl" 1 12 30 1989 "Texas A&M"
"W" "12-29-1990" 65 "Brigham Young (UT)" 14 "Holiday Bowl (1)" 1 12 29 1990 "Texas A&M"
"L" "01-01-1992" 2 "Florida St." 10 "Cotton Bowl" 1 1 1 1992 "Texas A&M"
"L" "01-01-1993" 3 "Notre Dame (IN)" 28 "Cotton Bowl" 1 1 1 1993 "Texas A&M"
"L" "01-01-1994" 21 "Notre Dame (IN)" 24 "Cotton Bowl" 1 1 1 1994 "Texas A&M"
"W" "12-28-1995" 22 "Michigan" 20 "Alamo Bowl" 1 12 28 1995 "Texas A&M"
"L" "01-01-1998" 23 "UCLA" 29 "Cotton Bowl" 1 1 1 1998 "Texas A&M"
"L" "01-01-1999" 14 "Ohio St." 24 "Sugar Bowl" 1 1 1 1999 "Texas A&M"
"L" "12-28-1999" 0 "Penn St." 24 "Alamo Bowl - Penn St. Vacated Game" 1 12 28 1999 "Texas A&M"
"L" "12-31-2000" 41 "Mississippi St." 43 "Independence Bowl" 1 12 31 2000 "Texas A&M"
"W" "12-28-2001" 28 "Texas Christian" 9 "Galleryfurniture.com Bowl" 1 12 28 2001 "Texas A&M"
"L" "01-01-2005" 7 "Tennessee" 38 "Cotton Bowl" 1 1 1 2005 "Texas A&M"
"L" "12-28-2006" 10 "California" 45 "Holiday Bowl (1)" 1 12 28 2006 "Texas A&M"
"L" "12-29-2007" 17 "Penn St." 24 "Alamo Bowl - Penn St. Vacated Game" 1 12 29 2007 "Texas A&M"
"L" "12-28-2009" 20 "Georgia" 44 "Independence Bowl" 1 12 28 2009 "Texas A&M"
"L" "01-07-2011" 24 "Louisiana St." 41 "Cotton Bowl" 1 1 7 2011 "Texas A&M"
"W" "12-31-2011" 33 "Northwestern (IL)" 22 "Texas Bowl" 1 12 31 2011 "Texas A&M"
