"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "01-01-1921" 7 "Centre (KY)" 63 "Fort Worth Classic" 1 1 1 1921 "Texas Christian"
"W" "01-01-1936" 3 "Louisiana St." 2 "Sugar Bowl" 1 1 1 1936 "Texas Christian"
"W" "01-01-1937" 16 "Marquette (WI)" 6 "Cotton Bowl" 1 1 1 1937 "Texas Christian"
"W" "01-02-1939" 15 "Carnegie Mellon (PA)" 7 "Sugar Bowl" 1 1 2 1939 "Texas Christian"
"L" "01-01-1942" 26 "Georgia" 40 "Orange Bowl" 1 1 1 1942 "Texas Christian"
"L" "01-01-1945" 0 "Oklahoma St." 34 "Cotton Bowl" 1 1 1 1945 "Texas Christian"
"L" "01-01-1948" 9 "Mississippi" 13 "Delta Bowl" 1 1 1 1948 "Texas Christian"
"L" "01-01-1952" 7 "Kentucky" 20 "Cotton Bowl" 1 1 1 1952 "Texas Christian"
"L" "01-02-1956" 13 "Mississippi" 14 "Cotton Bowl" 1 1 2 1956 "Texas Christian"
"W" "01-01-1957" 28 "Syracuse (NY)" 27 "Cotton Bowl" 1 1 1 1957 "Texas Christian"
"T" "01-01-1959" 0 "Air Force (CO)" 0 "Cotton Bowl" 1 1 1 1959 "Texas Christian"
"L" "12-19-1959" 7 "Clemson (SC)" 23 "Bluebonnet Bowl" 1 12 19 1959 "Texas Christian"
"L" "12-31-1965" 12 "Texas-El Paso" 13 "Sun Bowl" 1 12 31 1965 "Texas Christian"
"L" "12-31-1984" 14 "West Virginia" 31 "Bluebonnet Bowl" 1 12 31 1984 "Texas Christian"
"L" "12-28-1994" 10 "Virginia" 20 "Independence Bowl" 1 12 28 1994 "Texas Christian"
"W" "12-31-1998" 28 "Southern California" 19 "Sun Bowl" 1 12 31 1998 "Texas Christian"
"W" "12-22-1999" 28 "East Carolina (NC)" 14 "Mobile Alabama Bowl" 1 12 22 1999 "Texas Christian"
"L" "12-20-2000" 21 "Southern Mississippi" 28 "Mobile Alabama Bowl" 1 12 20 2000 "Texas Christian"
"L" "12-28-2001" 9 "Texas A&M" 28 "Galleryfurniture.com Bowl" 1 12 28 2001 "Texas Christian"
"W" "12-31-2002" 17 "Colorado St." 3 "Liberty Bowl" 1 12 31 2002 "Texas Christian"
"L" "12-23-2003" 31 "Boise St. (ID)" 34 "Fort Worth Bowl" 1 12 23 2003 "Texas Christian"
"W" "12-31-2005" 27 "Iowa St." 24 "Houston Bowl" 1 12 31 2005 "Texas Christian"
"W" "12-19-2006" 37 "Northern Illinois" 7 "Poinsettia Bowl" 1 12 19 2006 "Texas Christian"
"W" "12-28-2007" 20 "Houston (TX)" 13 "Texas Bowl" 1 12 28 2007 "Texas Christian"
"W" "12-23-2008" 17 "Boise St. (ID)" 16 "Poinsettia Bowl" 1 12 23 2008 "Texas Christian"
"L" "01-04-2010" 10 "Boise St. (ID)" 17 "Fiesta Bowl" 1 1 4 2010 "Texas Christian"
"W" "01-01-2011" 21 "Wisconsin" 19 "Rose Bowl" 1 1 1 2011 "Texas Christian"
"W" "12-21-2011" 31 "Louisiana Tech" 24 "Poinsettia Bowl" 1 12 21 2011 "Texas Christian"
