"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "01-01-1937" 6 "Hardin-Simmons (TX)" 34 "Sun Bowl" 1 1 1 1937 "Texas-El Paso"
"L" "01-01-1949" 12 "West Virginia" 21 "Sun Bowl" 1 1 1 1949 "Texas-El Paso"
"W" "01-02-1950" 33 "Georgetown (DC)" 20 "Sun Bowl" 1 1 2 1950 "Texas-El Paso"
"W" "01-01-1954" 37 "Southern Mississippi" 14 "Sun Bowl" 1 1 1 1954 "Texas-El Paso"
"W" "01-01-1955" 47 "Florida St." 20 "Sun Bowl" 1 1 1 1955 "Texas-El Paso"
"L" "01-01-1957" 0 "George Washington (DC)" 13 "Sun Bowl" 1 1 1 1957 "Texas-El Paso"
"W" "12-31-1965" 13 "Texas Christian" 12 "Sun Bowl" 1 12 31 1965 "Texas-El Paso"
"W" "12-30-1967" 14 "Mississippi" 7 "Sun Bowl" 1 12 30 1967 "Texas-El Paso"
"L" "12-23-1988" 18 "Southern Mississippi" 38 "Independence Bowl" 1 12 23 1988 "Texas-El Paso"
"L" "12-28-2000" 23 "Boise St. (ID)" 38 "Humanitarian Bowl" 1 12 28 2000 "Texas-El Paso"
"L" "12-29-2004" 28 "Colorado" 33 "Houston Bowl" 1 12 29 2004 "Texas-El Paso"
"L" "12-21-2005" 13 "Toledo (OH)" 45 "GMAC Bowl" 1 12 21 2005 "Texas-El Paso"
"L" "12-18-2010" 24 "Brigham Young (UT)" 52 "New Mexico Bowl" 1 12 18 2010 "Texas-El Paso"
