"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1943" 14 "Georgia Tech" 7 "Cotton Bowl" 1 1 1 1943 "Texas"
"T" "01-01-1944" 7 "Randolph Field (TX)" 7 "Cotton Bowl" 1 1 1 1944 "Texas"
"W" "01-01-1946" 40 "Missouri" 27 "Cotton Bowl" 1 1 1 1946 "Texas"
"W" "01-01-1948" 27 "Alabama" 7 "Sugar Bowl" 1 1 1 1948 "Texas"
"W" "01-01-1949" 41 "Georgia" 28 "Orange Bowl" 1 1 1 1949 "Texas"
"L" "01-01-1951" 14 "Tennessee" 20 "Cotton Bowl" 1 1 1 1951 "Texas"
"W" "01-01-1953" 16 "Tennessee" 0 "Cotton Bowl" 1 1 1 1953 "Texas"
"L" "01-01-1958" 7 "Mississippi" 39 "Sugar Bowl" 1 1 1 1958 "Texas"
"L" "01-01-1960" 14 "Syracuse (NY)" 23 "Cotton Bowl" 1 1 1 1960 "Texas"
"T" "12-17-1960" 3 "Alabama" 3 "Bluebonnet Bowl" 1 12 17 1960 "Texas"
"W" "01-01-1962" 12 "Mississippi" 7 "Cotton Bowl" 1 1 1 1962 "Texas"
"L" "01-01-1963" 0 "Louisiana St." 13 "Cotton Bowl" 1 1 1 1963 "Texas"
"W" "01-01-1964" 28 "Navy (MD)" 6 "Cotton Bowl" 1 1 1 1964 "Texas"
"W" "01-01-1965" 21 "Alabama" 17 "Orange Bowl" 1 1 1 1965 "Texas"
"W" "12-17-1966" 19 "Mississippi" 0 "Bluebonnet Bowl" 1 12 17 1966 "Texas"
"W" "01-01-1969" 36 "Tennessee" 13 "Cotton Bowl" 1 1 1 1969 "Texas"
"W" "01-01-1970" 21 "Notre Dame (IN)" 17 "Cotton Bowl" 1 1 1 1970 "Texas"
"L" "01-01-1971" 11 "Notre Dame (IN)" 24 "Cotton Bowl" 1 1 1 1971 "Texas"
"L" "01-01-1972" 6 "Penn St." 30 "Cotton Bowl" 1 1 1 1972 "Texas"
"W" "01-01-1973" 17 "Alabama" 13 "Cotton Bowl" 1 1 1 1973 "Texas"
"L" "01-01-1974" 3 "Nebraska" 19 "Cotton Bowl" 1 1 1 1974 "Texas"
"L" "12-30-1974" 3 "Auburn (AL)" 27 "Gator Bowl" 1 12 30 1974 "Texas"
"W" "12-27-1975" 38 "Colorado" 21 "Bluebonnet Bowl" 1 12 27 1975 "Texas"
"L" "01-02-1978" 10 "Notre Dame (IN)" 38 "Cotton Bowl" 1 1 2 1978 "Texas"
"W" "12-23-1978" 42 "Maryland" 0 "Sun Bowl" 1 12 23 1978 "Texas"
"L" "12-22-1979" 7 "Washington" 14 "Sun Bowl" 1 12 22 1979 "Texas"
"L" "12-31-1980" 7 "North Carolina" 16 "Bluebonnet Bowl" 1 12 31 1980 "Texas"
"W" "01-01-1982" 14 "Alabama" 12 "Cotton Bowl" 1 1 1 1982 "Texas"
"L" "12-25-1982" 10 "North Carolina" 26 "Sun Bowl" 1 12 25 1982 "Texas"
"L" "01-02-1984" 9 "Georgia" 10 "Cotton Bowl" 1 1 2 1984 "Texas"
"L" "12-26-1984" 17 "Iowa" 55 "Freedom Bowl" 1 12 26 1984 "Texas"
"L" "12-31-1985" 16 "Air Force (CO)" 24 "Bluebonnet Bowl" 1 12 31 1985 "Texas"
"W" "12-31-1987" 32 "Pittsburgh (PA)" 27 "Bluebonnet Bowl" 1 12 31 1987 "Texas"
"L" "01-01-1991" 3 "Miami (FL)" 46 "Cotton Bowl" 1 1 1 1991 "Texas"
"W" "12-30-1994" 35 "North Carolina" 31 "Sun Bowl" 1 12 30 1994 "Texas"
"L" "12-31-1995" 10 "Virginia Tech" 28 "Sugar Bowl" 1 12 31 1995 "Texas"
"L" "01-01-1997" 15 "Penn St." 38 "Fiesta Bowl" 1 1 1 1997 "Texas"
"W" "01-01-1999" 38 "Mississippi St." 11 "Cotton Bowl" 1 1 1 1999 "Texas"
"L" "01-01-2000" 6 "Arkansas" 27 "Cotton Bowl" 1 1 1 2000 "Texas"
"L" "12-29-2000" 30 "Oregon" 35 "Holiday Bowl (1)" 1 12 29 2000 "Texas"
"W" "12-28-2001" 47 "Washington" 43 "Holiday Bowl (1)" 1 12 28 2001 "Texas"
"W" "01-01-2003" 35 "Louisiana St." 20 "Cotton Bowl" 1 1 1 2003 "Texas"
"L" "12-30-2003" 20 "Washington St." 28 "Holiday Bowl (1)" 1 12 30 2003 "Texas"
"W" "01-01-2005" 38 "Michigan" 37 "Rose Bowl" 1 1 1 2005 "Texas"
"W" "01-04-2006" 41 "Southern California" 38 "Rose Bowl" 1 1 4 2006 "Texas"
"W" "12-30-2006" 26 "Iowa" 24 "Alamo Bowl" 1 12 30 2006 "Texas"
"W" "12-27-2007" 52 "Arizona St." 34 "Holiday Bowl (1)" 1 12 27 2007 "Texas"
"W" "01-05-2009" 24 "Ohio St." 21 "Fiesta Bowl" 1 1 5 2009 "Texas"
"L" "01-07-2010" 21 "Alabama" 37 "BCS Championship Game" 1 1 7 2010 "Texas"
"W" "12-28-2011" 21 "California" 10 "Holiday Bowl" 1 12 28 2011 "Texas"
