"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "12-26-1969" 56 "Davidson (NC)" 33 "Tangerine Bowl" 0 12 26 1969 "Toledo (OH)"
"W" "12-28-1970" 40 "William & Mary (VA)" 12 "Tangerine Bowl" 0 12 28 1970 "Toledo (OH)"
"W" "12-28-1971" 28 "Richmond (VA)" 3 "Tangerine Bowl" 0 12 28 1971 "Toledo (OH)"
"W" "12-19-1981" 27 "San Jose St. (CA)" 25 "California Bowl" 0 12 19 1981 "Toledo (OH)"
"L" "12-15-1984" 13 "Nevada-Las Vegas" 30 "California Bowl - Nevada-Las Vegas Forfeits? (No Record Change)" 0 12 15 1984 "Toledo (OH)"
"W" "12-14-1995" 40 "Nevada" 37 "Las Vegas Bowl" 0 12 14 1995 "Toledo (OH)"
"W" "12-29-2001" 23 "Cincinnati (OH)" 16 "Motor City Bowl" 0 12 29 2001 "Toledo (OH)"
"L" "12-26-2002" 25 "Boston College (MA)" 51 "Motor City Bowl" 0 12 26 2002 "Toledo (OH)"
"L" "12-27-2004" 10 "Connecticut" 39 "Motor City Bowl" 0 12 27 2004 "Toledo (OH)"
"W" "12-21-2005" 45 "Texas-El Paso" 13 "GMAC Bowl" 0 12 21 2005 "Toledo (OH)"
"L" "12-26-2010" 32 "Florida International" 34 "Little Caesars Pizza Bowl" 0 12 26 2010 "Toledo (OH)"
"W" "12-28-2011" 42 "Air Force (CO)" 41 "Military Bowl" 0 12 28 2011 "Toledo (OH)"
"W" "12-07-1946" 21 "Bates (ME)" 12 "Glass Bowl" 1 12 7 1946 "Toledo (OH)"
"W" "12-06-1947" 20 "New Hampshire" 14 "Glass Bowl" 1 12 6 1947 "Toledo (OH)"
"W" "12-04-1948" 27 "Oklahoma City (OK)" 14 "Glass Bowl" 1 12 4 1948 "Toledo (OH)"
"L" "12-03-1949" 13 "Cincinnati (OH)" 33 "Glass Bowl" 1 12 3 1949 "Toledo (OH)"
