"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1942" 6 "Texas Tech" 0 "Sun Bowl" 1 1 1 1942 "Tulsa (OK)"
"L" "01-01-1943" 7 "Tennessee" 14 "Sugar Bowl" 1 1 1 1943 "Tulsa (OK)"
"L" "01-01-1944" 18 "Georgia Tech" 20 "Sugar Bowl" 1 1 1 1944 "Tulsa (OK)"
"W" "01-01-1945" 26 "Georgia Tech" 12 "Orange Bowl" 1 1 1 1945 "Tulsa (OK)"
"L" "01-01-1946" 6 "Georgia" 20 "Oil Bowl" 1 1 1 1946 "Tulsa (OK)"
"L" "01-01-1953" 13 "Florida" 14 "Gator Bowl" 1 1 1 1953 "Tulsa (OK)"
"W" "12-19-1964" 14 "Mississippi" 7 "Bluebonnet Bowl" 1 12 19 1964 "Tulsa (OK)"
"L" "12-18-1965" 6 "Tennessee" 27 "Bluebonnet Bowl" 1 12 18 1965 "Tulsa (OK)"
"L" "12-13-1976" 16 "McNeese St. (LA)" 20 "Independence Bowl" 1 12 13 1976 "Tulsa (OK)"
"L" "12-16-1989" 24 "Oregon" 27 "Independence Bowl" 1 12 16 1989 "Tulsa (OK)"
"W" "12-30-1991" 28 "San Diego St. (CA)" 17 "Anaheim Stadium - Freedom Bowl" 1 12 30 1991 "Tulsa (OK)"
"L" "01-03-2004" 10 "Georgia Tech" 52 "Humanitarian Bowl" 1 1 3 2004 "Tulsa (OK)"
"W" "12-31-2005" 31 "Fresno St. (CA)" 24 "Liberty Bowl" 1 12 31 2005 "Tulsa (OK)"
"L" "12-23-2006" 13 "Utah" 25 "Armed Forces Bowl" 1 12 23 2006 "Tulsa (OK)"
"W" "01-06-2008" 63 "Bowling Green (OH)" 7 "GMAC Bowl" 1 1 6 2008 "Tulsa (OK)"
"W" "01-06-2009" 45 "Ball St. (IN)" 13 "GMAC Bowl" 1 1 6 2009 "Tulsa (OK)"
"W" "12-24-2010" 62 "Hawaii" 35 "Hawaii Bowl" 1 12 24 2010 "Tulsa (OK)"
"L" "12-30-2011" 21 "Brigham Young (UT)" 24 "Armed Forces Bowl" 1 12 30 2011 "Tulsa (OK)"
