"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "01-01-1943" 0 "Georgia" 9 "Rose Bowl" 0 1 1 1943 "UCLA"
"L" "01-01-1947" 14 "Illinois" 45 "Rose Bowl" 0 1 1 1947 "UCLA"
"L" "01-01-1954" 20 "Michigan St." 28 "Rose Bowl" 0 1 1 1954 "UCLA"
"L" "01-02-1956" 14 "Michigan St." 17 "Rose Bowl" 0 1 2 1956 "UCLA"
"L" "01-01-1962" 3 "Minnesota" 21 "Rose Bowl" 0 1 1 1962 "UCLA"
"W" "01-01-1966" 14 "Michigan St." 12 "Rose Bowl" 0 1 1 1966 "UCLA"
"W" "01-01-1976" 23 "Ohio St." 10 "Rose Bowl" 0 1 1 1976 "UCLA"
"L" "12-20-1976" 6 "Alabama" 36 "Liberty Bowl" 0 12 20 1976 "UCLA"
"T" "12-25-1978" 10 "Arkansas" 10 "Fiesta Bowl" 0 12 25 1978 "UCLA"
"L" "12-31-1981" 14 "Michigan" 33 "Bluebonnet Bowl" 0 12 31 1981 "UCLA"
"W" "01-01-1983" 24 "Michigan" 14 "Rose Bowl" 0 1 1 1983 "UCLA"
"W" "01-02-1984" 45 "Illinois" 9 "Rose Bowl" 0 1 2 1984 "UCLA"
"W" "01-01-1985" 39 "Miami (FL)" 37 "Fiesta Bowl" 0 1 1 1985 "UCLA"
"W" "01-01-1986" 45 "Iowa" 28 "Rose Bowl" 0 1 1 1986 "UCLA"
"W" "12-30-1986" 31 "Brigham Young (UT)" 10 "Freedom Bowl" 0 12 30 1986 "UCLA"
"W" "12-25-1987" 20 "Florida" 16 "Aloha Bowl" 0 12 25 1987 "UCLA"
"W" "01-02-1989" 17 "Arkansas" 3 "Cotton Bowl" 0 1 2 1989 "UCLA"
"W" "12-31-1991" 6 "Illinois" 3 "Sun Bowl" 0 12 31 1991 "UCLA"
"L" "01-01-1994" 16 "Wisconsin" 21 "Rose Bowl" 0 1 1 1994 "UCLA"
"L" "12-25-1995" 30 "Kansas" 51 "Aloha Bowl" 0 12 25 1995 "UCLA"
"W" "01-01-1998" 29 "Texas A&M" 23 "Cotton Bowl" 0 1 1 1998 "UCLA"
"L" "01-01-1999" 31 "Wisconsin" 38 "Rose Bowl" 0 1 1 1999 "UCLA"
"L" "12-29-2000" 20 "Wisconsin" 21 "Sun Bowl" 0 12 29 2000 "UCLA"
"W" "12-25-2002" 27 "New Mexico" 13 "Las Vegas Bowl" 0 12 25 2002 "UCLA"
"L" "12-30-2003" 9 "Fresno St. (CA)" 17 "Silicon Valley Classic" 0 12 30 2003 "UCLA"
"L" "12-23-2004" 21 "Wyoming" 24 "Las Vegas Bowl" 0 12 23 2004 "UCLA"
"W" "12-30-2005" 50 "Northwestern (IL)" 38 "Sun Bowl" 0 12 30 2005 "UCLA"
"L" "12-27-2006" 27 "Florida St." 44 "Emerald Bowl - Florida St. Vacated Game" 0 12 27 2006 "UCLA"
"L" "12-22-2007" 16 "Brigham Young (UT)" 17 "Las Vegas Bowl" 0 12 22 2007 "UCLA"
"W" "12-29-2009" 30 "Temple (PA)" 21 "EagleBank Bowl" 0 12 29 2009 "UCLA"
"L" "12-31-2011" 14 "Illinois" 20 "Kraft Fight Hunger Bowl" 0 12 31 2011 "UCLA"
"W" "01-02-1939" 32 "Hawaii" 7 "Poi Bowl" 1 1 2 1939 "UCLA"
"W" "11-30-1980" 34 "Oregon St." 3 "Mirage Bowl" 1 11 30 1980 "UCLA"
