"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1946" 26 "South Carolina" 14 "Gator Bowl" 0 1 1 1946 "Wake Forest (NC)"
"L" "01-01-1949" 7 "Baylor (TX)" 20 "Dixie Bowl" 0 1 1 1949 "Wake Forest (NC)"
"L" "12-22-1979" 10 "Louisiana St." 34 "Tangerine Bowl" 0 12 22 1979 "Wake Forest (NC)"
"W" "12-31-1992" 39 "Oregon" 35 "Independence Bowl" 0 12 31 1992 "Wake Forest (NC)"
"W" "12-25-1999" 23 "Arizona St." 3 "Aloha Classic" 0 12 25 1999 "Wake Forest (NC)"
"W" "12-30-2002" 38 "Oregon" 17 "Seattle Bowl" 0 12 30 2002 "Wake Forest (NC)"
"L" "01-02-2007" 13 "Louisville (KY)" 24 "Orange Bowl" 0 1 2 2007 "Wake Forest (NC)"
"W" "12-29-2007" 24 "Connecticut" 10 "Meineke Car Care Bowl" 0 12 29 2007 "Wake Forest (NC)"
"W" "12-20-2008" 29 "Navy (MD)" 19 "EagleBank Bowl" 0 12 20 2008 "Wake Forest (NC)"
"L" "12-30-2011" 17 "Mississippi St." 23 "Music City Bowl" 0 12 30 2011 "Wake Forest (NC)"
"L" "11-27-1982" 17 "Clemson (SC)" 21 "Mirage Bowl" 1 11 27 1982 "Wake Forest (NC)"
