"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"T" "01-01-1924" 14 "Navy (MD)" 14 "Rose Bowl" 0 1 1 1924 "Washington"
"L" "01-01-1926" 19 "Alabama" 20 "Rose Bowl" 0 1 1 1926 "Washington"
"L" "01-01-1937" 0 "Pittsburgh (PA)" 21 "Rose Bowl" 0 1 1 1937 "Washington"
"L" "01-01-1944" 0 "Southern California" 29 "Rose Bowl" 0 1 1 1944 "Washington"
"W" "01-01-1960" 44 "Wisconsin" 8 "Rose Bowl" 0 1 1 1960 "Washington"
"W" "01-02-1961" 17 "Minnesota" 7 "Rose Bowl" 0 1 2 1961 "Washington"
"L" "01-01-1964" 7 "Illinois" 17 "Rose Bowl" 0 1 1 1964 "Washington"
"W" "01-02-1978" 27 "Michigan" 20 "Rose Bowl" 0 1 2 1978 "Washington"
"W" "12-22-1979" 14 "Texas" 7 "Sun Bowl" 0 12 22 1979 "Washington"
"L" "01-01-1981" 6 "Michigan" 23 "Rose Bowl" 0 1 1 1981 "Washington"
"W" "01-01-1982" 28 "Iowa" 0 "Rose Bowl" 0 1 1 1982 "Washington"
"W" "12-25-1982" 21 "Maryland" 20 "Aloha Bowl" 0 12 25 1982 "Washington"
"L" "12-26-1983" 10 "Penn St." 13 "Aloha Bowl" 0 12 26 1983 "Washington"
"W" "01-01-1985" 28 "Oklahoma" 17 "Orange Bowl" 0 1 1 1985 "Washington"
"W" "12-30-1985" 20 "Colorado" 17 "Freedom Bowl" 0 12 30 1985 "Washington"
"L" "12-25-1986" 6 "Alabama" 28 "Sun Bowl" 0 12 25 1986 "Washington"
"W" "12-19-1987" 24 "Tulane (LA)" 12 "Independence Bowl" 0 12 19 1987 "Washington"
"W" "12-30-1989" 34 "Florida" 7 "Freedom Bowl" 0 12 30 1989 "Washington"
"W" "01-01-1991" 46 "Iowa" 34 "Rose Bowl" 0 1 1 1991 "Washington"
"W" "01-01-1992" 34 "Michigan" 14 "Rose Bowl" 0 1 1 1992 "Washington"
"L" "01-01-1993" 31 "Michigan" 38 "Rose Bowl" 0 1 1 1993 "Washington"
"L" "12-29-1995" 18 "Iowa" 38 "Sun Bowl" 0 12 29 1995 "Washington"
"L" "12-30-1996" 21 "Colorado" 33 "Holiday Bowl (1)" 0 12 30 1996 "Washington"
"W" "12-25-1997" 51 "Michigan St." 23 "Aloha Bowl" 0 12 25 1997 "Washington"
"L" "12-25-1998" 25 "Air Force (CO)" 45 "Oahu Classic" 0 12 25 1998 "Washington"
"L" "12-29-1999" 20 "Kansas St." 24 "Holiday Bowl (1)" 0 12 29 1999 "Washington"
"W" "01-01-2001" 34 "Purdue (IN)" 24 "Rose Bowl" 0 1 1 2001 "Washington"
"L" "12-28-2001" 43 "Texas" 47 "Holiday Bowl (1)" 0 12 28 2001 "Washington"
"L" "12-31-2002" 24 "Purdue (IN)" 34 "Sun Bowl" 0 12 31 2002 "Washington"
"W" "12-30-2010" 19 "Nebraska" 7 "Holiday Bowl" 0 12 30 2010 "Washington"
"L" "12-29-2011" 56 "Baylor (TX)" 67 "Alamo Bowl" 0 12 29 2011 "Washington"
"W" "01-01-1938" 53 "Hawaii" 13 "Poi Bowl" 1 1 1 1938 "Washington"
