"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "12-25-1922" 21 "Gonzaga (WA)" 13 "San Diego E-W Christmas Classic" 1 12 25 1922 "West Virginia"
"W" "01-01-1938" 7 "Texas Tech" 6 "Sun Bowl" 1 1 1 1938 "West Virginia"
"W" "01-01-1949" 21 "Texas-El Paso" 12 "Sun Bowl" 1 1 1 1949 "West Virginia"
"L" "01-01-1954" 19 "Georgia Tech" 42 "Sugar Bowl" 1 1 1 1954 "West Virginia"
"L" "12-19-1964" 6 "Utah" 32 "Liberty Bowl" 1 12 19 1964 "West Virginia"
"W" "12-30-1969" 14 "South Carolina" 3 "Peach Bowl" 1 12 30 1969 "West Virginia"
"L" "12-29-1972" 13 "North Carolina St." 49 "Peach Bowl" 1 12 29 1972 "West Virginia"
"W" "12-31-1975" 13 "North Carolina St." 10 "Peach Bowl" 1 12 31 1975 "West Virginia"
"W" "12-31-1981" 26 "Florida" 6 "Peach Bowl" 1 12 31 1981 "West Virginia"
"L" "12-30-1982" 12 "Florida St." 31 "Gator Bowl" 1 12 30 1982 "West Virginia"
"W" "12-22-1983" 20 "Kentucky" 16 "Hall of Fame Classic" 1 12 22 1983 "West Virginia"
"W" "12-31-1984" 31 "Texas Christian" 14 "Bluebonnet Bowl" 1 12 31 1984 "West Virginia"
"L" "12-25-1987" 33 "Oklahoma St." 35 "Sun Bowl" 1 12 25 1987 "West Virginia"
"L" "01-02-1989" 21 "Notre Dame (IN)" 34 "Fiesta Bowl" 1 1 2 1989 "West Virginia"
"L" "12-30-1989" 7 "Clemson (SC)" 27 "Gator Bowl" 1 12 30 1989 "West Virginia"
"L" "01-01-1994" 7 "Florida" 41 "Sugar Bowl" 1 1 1 1994 "West Virginia"
"L" "01-02-1995" 21 "South Carolina" 24 "Carquest Bowl" 1 1 2 1995 "West Virginia"
"L" "01-01-1997" 13 "North Carolina" 20 "Gator Bowl" 1 1 1 1997 "West Virginia"
"L" "12-29-1997" 30 "Georgia Tech" 35 "Carquest Bowl" 1 12 29 1997 "West Virginia"
"L" "12-26-1998" 31 "Missouri" 34 "Insight.com Bowl" 1 12 26 1998 "West Virginia"
"W" "12-28-2000" 49 "Mississippi" 38 "Music City Bowl" 1 12 28 2000 "West Virginia"
"L" "12-28-2002" 22 "Virginia" 48 "Continental Tire Bowl" 1 12 28 2002 "West Virginia"
"L" "01-01-2004" 7 "Maryland" 41 "Gator Bowl" 1 1 1 2004 "West Virginia"
"L" "01-01-2005" 18 "Florida St." 30 "Gator Bowl" 1 1 1 2005 "West Virginia"
"W" "01-02-2006" 38 "Georgia" 35 "Sugar Bowl" 1 1 2 2006 "West Virginia"
"W" "01-01-2007" 38 "Georgia Tech" 35 "Gator Bowl" 1 1 1 2007 "West Virginia"
"W" "01-02-2008" 48 "Oklahoma" 28 "Fiesta Bowl" 1 1 2 2008 "West Virginia"
"W" "12-27-2008" 31 "North Carolina" 30 "Meineke Car Care Bowl" 1 12 27 2008 "West Virginia"
"L" "01-01-2010" 21 "Florida St." 33 "Gator Bowl" 1 1 1 2010 "West Virginia"
"L" "12-28-2010" 7 "North Carolina St." 23 "Champs Sports Bowl" 1 12 28 2010 "West Virginia"
"W" "01-04-2012" 70 "Clemson (SC)" 33 "Orange Bowl" 1 1 4 2012 "West Virginia"
