"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1951" 20 "Washington & Lee (VA)" 7 "Gator Bowl" 1 1 1 1951 "Wyoming"
"W" "01-02-1956" 21 "Texas Tech" 14 "Sun Bowl" 1 1 2 1956 "Wyoming"
"W" "12-31-1958" 14 "Hardin-Simmons (TX)" 6 "Sun Bowl" 1 12 31 1958 "Wyoming"
"W" "12-24-1966" 28 "Florida St." 20 "Sun Bowl" 1 12 24 1966 "Wyoming"
"L" "01-01-1968" 13 "Louisiana St." 20 "Sugar Bowl" 1 1 1 1968 "Wyoming"
"L" "12-25-1976" 7 "Oklahoma" 41 "Fiesta Bowl" 1 12 25 1976 "Wyoming"
"L" "12-30-1987" 19 "Iowa" 20 "Holiday Bowl (1)" 1 12 30 1987 "Wyoming"
"L" "12-30-1988" 14 "Oklahoma St." 62 "Holiday Bowl (1)" 1 12 30 1988 "Wyoming"
"L" "12-31-1990" 15 "California" 17 "Copper Bowl" 1 12 31 1990 "Wyoming"
"L" "12-29-1993" 17 "Kansas St." 52 "Copper Bowl" 1 12 29 1993 "Wyoming"
"W" "12-23-2004" 24 "UCLA" 21 "Las Vegas Bowl" 1 12 23 2004 "Wyoming"
"W" "12-19-2009" 35 "Fresno St. (CA)" 28 "New Mexico Bowl" 1 12 19 2009 "Wyoming"
"L" "12-17-2011" 15 "Temple (PA)" 37 "New Mexico Bowl" 1 12 17 2011 "Wyoming"
