"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "12-02-1933" 9 "Howard (DC)" 6 "Orange Blossom Classic" 1 12 2 1933 "Florida A&M"
"W" "12-13-1934" 13 "Virginia St." 12 "Orange Blossom Classic" 1 12 13 1934 "Florida A&M"
"L" "12-12-1935" 9 "Kentucky St." 19 "Orange Blossom Classic" 1 12 12 1935 "Florida A&M"
"L" "12-05-1936" 0 "Prairie View A&M (TX)" 6 "Orange Blossom Classic" 1 12 5 1936 "Florida A&M"
"W" "12-09-1937" 25 "Hampton (VA)" 20 "Orange Blossom Classic" 1 12 9 1937 "Florida A&M"
"L" "01-01-1938" 14 "Prairie View A&M (TX)" 27 "Prairie View Bowl" 1 1 1 1938 "Florida A&M"
"W" "12-08-1938" 9 "Kentucky St." 7 "Orange Blossom Classic" 1 12 8 1938 "Florida A&M"
"W" "12-02-1939" 42 "Wiley (TX)" 0 "Orange Blossom Classic" 1 12 2 1939 "Florida A&M"
"T" "12-07-1940" 0 "Wilberforce (OH)" 0 "Orange Blossom Classic" 1 12 7 1940 "Florida A&M"
"W" "12-06-1941" 15 "Tuskegee (AL)" 7 "Orange Blossom Classic" 1 12 6 1941 "Florida A&M"
"W" "12-12-1942" 12 "Texas College" 6 "Orange Blossom Classic" 1 12 12 1942 "Florida A&M"
"L" "12-04-1943" 0 "Hampton (VA)" 39 "Orange Blossom Classic" 1 12 4 1943 "Florida A&M"
"L" "12-09-1944" 7 "Virginia St." 15 "Orange Blossom Classic" 1 12 9 1944 "Florida A&M"
"L" "12-08-1945" 6 "Wiley (TX)" 32 "Orange Blossom Classic" 1 12 8 1945 "Florida A&M"
"L" "12-07-1946" 14 "Lincoln (PA)" 20 "Orange Blossom Classic" 1 12 7 1946 "Florida A&M"
"T" "12-28-1946" 6 "Wiley (TX)" 6 "Angel Bowl" 1 12 28 1946 "Florida A&M"
"W" "12-06-1947" 7 "Hampton (VA)" 0 "Orange Blossom Classic" 1 12 6 1947 "Florida A&M"
"L" "12-04-1948" 18 "Virginia Union" 38 "Orange Blossom Classic" 1 12 4 1948 "Florida A&M"
"L" "12-10-1949" 14 "North Carolina A&T" 20 "Orange Blossom Classic" 1 12 10 1949 "Florida A&M"
"L" "12-02-1950" 7 "Central St. (OH)" 13 "Orange Blossom Classic" 1 12 2 1950 "Florida A&M"
"W" "12-01-1951" 67 "North Carolina Central" 0 "Orange Blossom Classic" 1 12 1 1951 "Florida A&M"
"W" "12-06-1952" 29 "Virginia St." 7 "Orange Blossom Classic" 1 12 6 1952 "Florida A&M"
"L" "12-05-1953" 27 "Prairie View A&M (TX)" 33 "Orange Blossom Classic" 1 12 5 1953 "Florida A&M"
"W" "12-04-1954" 67 "Maryland-Eastern Shore" 19 "Orange Blossom Classic" 1 12 4 1954 "Florida A&M"
"L" "12-03-1955" 21 "Grambling St. (LA)" 28 "Orange Blossom Classic" 1 12 3 1955 "Florida A&M"
"L" "12-01-1956" 39 "Tennessee St." 41 "Orange Blossom Classic" 1 12 1 1956 "Florida A&M"
"W" "12-14-1957" 27 "Maryland-Eastern Shore" 21 "Orange Blossom Classic" 1 12 14 1957 "Florida A&M"
"L" "12-13-1958" 8 "Prairie View A&M (TX)" 26 "Orange Blossom Classic" 1 12 13 1958 "Florida A&M"
"W" "12-05-1959" 28 "Prairie View A&M (TX)" 7 "Orange Blossom Classic" 1 12 5 1959 "Florida A&M"
"W" "12-10-1960" 40 "Langston (OK)" 26 "Orange Blossom Classic" 1 12 10 1960 "Florida A&M"
"W" "12-09-1961" 14 "Jackson St. (MS)" 8 "Orange Blossom Classic" 1 12 9 1961 "Florida A&M"
"L" "12-08-1962" 6 "Jackson St. (MS)" 22 "Orange Blossom Classic" 1 12 8 1962 "Florida A&M"
"W" "12-14-1963" 30 "Morgan St. (MD)" 7 "Orange Blossom Classic" 1 12 14 1963 "Florida A&M"
"W" "12-05-1964" 42 "Grambling St. (LA)" 15 "Orange Blossom Classic" 1 12 5 1964 "Florida A&M"
"L" "12-04-1965" 7 "Morgan St. (MD)" 38 "Orange Blossom Classic" 1 12 4 1965 "Florida A&M"
"W" "12-03-1966" 43 "Alabama A&M" 26 "Orange Blossom Classic" 1 12 3 1966 "Florida A&M"
"L" "12-02-1967" 25 "Grambling St. (LA)" 28 "Orange Blossom Classic" 1 12 2 1967 "Florida A&M"
"L" "12-07-1968" 9 "Alcorn St. (MS)" 36 "Orange Blossom Classic" 1 12 7 1968 "Florida A&M"
"W" "12-06-1969" 23 "Grambling St. (LA)" 19 "Orange Blossom Classic" 1 12 6 1969 "Florida A&M"
"L" "12-12-1970" 7 "Jacksonville St. (AL)" 21 "Orange Blossom Classic" 1 12 12 1970 "Florida A&M"
"W" "12-11-1971" 27 "Kentucky St." 9 "Orange Blossom Classic" 1 12 11 1971 "Florida A&M"
"W" "12-02-1972" 41 "Maryland-Eastern Shore" 21 "Orange Blossom Classic" 1 12 2 1972 "Florida A&M"
"W" "12-08-1973" 23 "South Carolina St." 12 "Orange Blossom Classic" 1 12 8 1973 "Florida A&M"
"W" "12-07-1974" 17 "Howard (DC)" 13 "Orange Blossom Classic" 1 12 7 1974 "Florida A&M"
"W" "12-06-1975" 40 "Kentucky St." 13 "Orange Blossom Classic" 1 12 6 1975 "Florida A&M"
"W" "12-04-1976" 26 "Central St. (OH)" 21 "Orange Blossom Classic" 1 12 4 1976 "Florida A&M"
"W" "12-03-1977" 37 "Delaware St." 15 "Orange Blossom Classic" 1 12 3 1977 "Florida A&M"
"W" "12-02-1978" 31 "Grambling St. (LA)" 7 "Orange Blossom Classic" 1 12 2 1978 "Florida A&M"
"W" "12-16-1978" 35 "Massachusetts" 28 "Pioneer Bowl (1) - Division I-AA Championship Game" 1 12 16 1978 "Florida A&M"
"L" "01-02-1993" 15 "Grambling St. (LA)" 45 "Heritage Bowl" 1 1 2 1993 "Florida A&M"
"L" "12-29-1995" 25 "Southern (LA)" 30 "Heritage Bowl" 1 12 29 1995 "Florida A&M"
