"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "12-07-1968" 34 "Cal St.-Sacramento" 7 "Pasadena Bowl" 0 12 7 1968 "Grambling St. (LA)"
"W" "01-01-1946" 19 "Lane (TN)" 6 "Flower Bowl" 1 1 1 1946 "Grambling St. (LA)"
"W" "12-07-1946" 70 "Mississippi Industrial Training School" 12 "Lions Bowl (LA)" 1 12 7 1946 "Grambling St. (LA)"
"W" "12-05-1947" 47 "Bethune-Cookman (FL)" 6 "Lions Bowl (LA)" 1 12 5 1947 "Grambling St. (LA)"
"L" "01-01-1948" 21 "Central St. (OH)" 27 "Vulcan Bowl" 1 1 1 1948 "Grambling St. (LA)"
"W" "12-04-1948" 26 "Texas College" 20 "Lions Bowl (LA)" 1 12 4 1948 "Grambling St. (LA)"
"W" "09-24-1949" 7 "Texas College" 0 "Lions Bowl (LA)" 1 9 24 1949 "Grambling St. (LA)"
"L" "12-02-1950" 0 "Bishop (TX)" 38 "Lions Bowl (LA)" 1 12 2 1950 "Grambling St. (LA)"
"W" "12-01-1951" 52 "Bishop (TX)" 0 "Lions Bowl (LA)" 1 12 1 1951 "Grambling St. (LA)"
"W" "12-02-1952" 27 "Alcorn St. (MS)" 13 "Lions Bowl (LA)" 1 12 2 1952 "Grambling St. (LA)"
"W" "12-03-1955" 28 "Florida A&M" 21 "Orange Blossom Classic" 1 12 3 1955 "Grambling St. (LA)"
"W" "11-21-1964" 42 "Bishop (TX)" 6 "Sugar Cup Classic" 1 11 21 1964 "Grambling St. (LA)"
"L" "12-05-1964" 15 "Florida A&M" 42 "Orange Blossom Classic" 1 12 5 1964 "Grambling St. (LA)"
"W" "11-27-1965" 54 "Lincoln (MO)" 18 "Sugar Cup Classic" 1 11 27 1965 "Grambling St. (LA)"
"L" "12-11-1965" 7 "North Dakota St." 20 "Pecan Bowl (2)" 1 12 11 1965 "Grambling St. (LA)"
"W" "12-02-1967" 28 "Florida A&M" 25 "Orange Blossom Classic" 1 12 2 1967 "Grambling St. (LA)"
"L" "12-06-1969" 19 "Florida A&M" 23 "Orange Blossom Classic" 1 12 6 1969 "Grambling St. (LA)"
"W" "12-02-1972" 56 "North Carolina Central" 6 "Pelican Bowl" 1 12 2 1972 "Grambling St. (LA)"
"W" "12-01-1973" 17 "Delaware" 8 "Boardwalk Bowl - Division II Quarterfinal Playoff Game" 1 12 1 1973 "Grambling St. (LA)"
"L" "12-08-1973" 20 "Western Kentucky" 28 "Grantland Rice Bowl - Division II Semifinal Playoff Game" 1 12 8 1973 "Grambling St. (LA)"
"W" "12-07-1974" 28 "South Carolina St." 7 "Pelican Bowl" 1 12 7 1974 "Grambling St. (LA)"
"W" "09-04-1976" 42 "Morgan St. (MD)" 16 "Mirage Bowl" 1 9 4 1976 "Grambling St. (LA)"
"W" "12-11-1977" 35 "Temple (PA)" 32 "Mirage Bowl" 1 12 11 1977 "Grambling St. (LA)"
"L" "12-02-1978" 7 "Florida A&M" 31 "Orange Blossom Classic" 1 12 2 1978 "Grambling St. (LA)"
"W" "01-02-1993" 45 "Florida A&M" 15 "Heritage Bowl" 1 1 2 1993 "Grambling St. (LA)"
"L" "12-30-1994" 27 "South Carolina St." 31 "Heritage Bowl" 1 12 30 1994 "Grambling St. (LA)"
