"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "11-28-1964" 14 "Western St. (CO)" 13 "Mineral Water Bowl" 1 11 28 1964 "North Dakota St."
"W" "12-11-1965" 20 "Grambling St. (LA)" 7 "Pecan Bowl (2)" 1 12 11 1965 "North Dakota St."
"L" "12-09-1967" 0 "Texas-Arlington" 13 "Pecan Bowl (2)" 1 12 9 1967 "North Dakota St."
"W" "12-14-1968" 23 "Arkansas St." 14 "Pecan Bowl (2)" 1 12 14 1968 "North Dakota St."
"W" "12-13-1969" 30 "Montana" 3 "Camellia Bowl (2)" 1 12 13 1969 "North Dakota St."
"W" "12-12-1970" 31 "Montana" 16 "Camellia Bowl (2)" 1 12 12 1970 "North Dakota St."
"L" "12-04-1976" 3 "Montana St." 10 "Grantland Rice Bowl - Division II Semifinal Playoff Game" 1 12 4 1976 "North Dakota St."
"L" "12-03-1977" 7 "Jacksonville St. (AL)" 31 "Grantland Rice Bowl - Division II Semifinal Playoff Game" 1 12 3 1977 "North Dakota St."
"L" "12-12-1981" 13 "Texas St." 42 "Palm Bowl - Division II Championship Game" 1 12 12 1981 "North Dakota St."
"W" "12-10-1983" 41 "Central St. (OH)" 21 "Palm Bowl - Division II Championship Game" 1 12 10 1983 "North Dakota St."
"L" "12-08-1984" 17 "Troy (AL)" 18 "Palm Bowl - Division II Championship Game" 1 12 8 1984 "North Dakota St."
"W" "12-14-1985" 35 "North Alabama" 7 "Palm Bowl - Division II Championship Game" 1 12 14 1985 "North Dakota St."
