"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "12-07-1946" 13 "Johnson C. Smith (NC)" 6 "Pecan Bowl (1)" 1 12 7 1946 "South Carolina St."
"W" "12-13-1947" 7 "Allen (SC)" 0 "Pecan Bowl (1)" 1 12 13 1947 "South Carolina St."
"L" "12-02-1950" 13 "Allen (SC)" 47 "Peninsula Bowl" 1 12 2 1950 "South Carolina St."
"L" "12-08-1973" 12 "Florida A&M" 23 "Orange Blossom Classic" 1 12 8 1973 "South Carolina St."
"L" "11-30-1974" 0 "Wofford (SC)" 20 "Textile Bowl" 1 11 30 1974 "South Carolina St."
"L" "12-07-1974" 7 "Grambling St. (LA)" 28 "Pelican Bowl" 1 12 7 1974 "South Carolina St."
"L" "12-27-1975" 12 "Southern (LA)" 15 "Pelican Bowl" 1 12 27 1975 "South Carolina St."
"W" "12-11-1976" 26 "Norfolk St. (VA)" 10 "Bicentennial Bowl" 1 12 11 1976 "South Carolina St."
"W" "12-03-1977" 10 "Winston-Salem St. (NC)" 7 "Gold Bowl" 1 12 3 1977 "South Carolina St."
"W" "12-01-1979" 39 "Norfolk St. (VA)" 7 "Gold Bowl" 1 12 1 1979 "South Carolina St."
"L" "01-01-1994" 0 "Southern (LA)" 11 "Heritage Bowl" 1 1 1 1994 "South Carolina St."
"W" "12-30-1994" 31 "Grambling St. (LA)" 27 "Heritage Bowl" 1 12 30 1994 "South Carolina St."
"L" "12-27-1997" 28 "Southern (LA)" 34 "Heritage Bowl" 1 12 27 1997 "South Carolina St."
