"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "01-01-1943" 12 "North Carolina A&T" 14 "Flower Bowl" 1 1 1 1943 "Southern (LA)"
"W" "12-25-1946" 64 "Tuskegee (AL)" 7 "Yam Bowl" 1 12 25 1946 "Southern (LA)"
"W" "12-25-1947" 46 "Fort Valley St. (GA)" 0 "Yam Bowl" 1 12 25 1947 "Southern (LA)"
"W" "1948" 30 "San Francisco St. (CA)" 0 "Fruit Bowl" 1 1948 12 27 "Southern (LA)"
"W" "12-27-1975" 15 "South Carolina St." 12 "Pelican Bowl" 1 1975 1 1 "Southern (LA)"
"W" "01-01-1994" 11 "South Carolina St." 0 "Heritage Bowl" 1 1994 12 29 "Southern (LA)"
"W" "12-29-1995" 30 "Florida A&M" 25 "Heritage Bowl" 1 1995 12 31 "Southern (LA)"
"L" "12-31-1996" 24 "Howard (DC)" 27 "Heritage Bowl" 1 1996 12 27 "Southern (LA)"
"W" "12-27-1997" 34 "South Carolina St." 28 "Heritage Bowl" 1 1997 12 26 "Southern (LA)"
"W" "12-26-1998" 28 "Bethune-Cookman (FL)" 2 "Heritage Bowl" 1 1998 12 18 "Southern (LA)"
"L" "12-18-1999" 3 "Hampton (VA)" 24 "Heritage Bowl" 1 1999 NA NA "Southern (LA)"
