"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1945" 13 "Tuskegee (AL)" 0 "Vulcan Bowl" 1 1 1 1945 "Tennessee St."
"W" "01-01-1946" 33 "Texas College" 6 "Vulcan Bowl" 1 1 1 1946 "Tennessee St."
"W" "01-01-1947" 32 "Louisville Municipal (KY)" 0 "Vulcan Bowl" 1 1 1 1947 "Tennessee St."
"L" "12-04-1954" 6 "North Carolina Central" 19 "National Classic" 1 12 4 1954 "Tennessee St."
"W" "12-01-1956" 41 "Florida A&M" 39 "Orange Blossom Classic" 1 12 1 1956 "Tennessee St."
"T" "12-11-1965" 14 "Ball St. (IN)" 14 "Grantland Rice Bowl" 1 12 11 1965 "Tennessee St."
"W" "12-10-1966" 34 "Muskingum (OH)" 7 "Grantland Rice Bowl" 1 12 10 1966 "Tennessee St."
"W" "12-12-1970" 26 "Louisiana-Lafayette" 25 "Grantland Rice Bowl" 1 12 12 1970 "Tennessee St."
"W" "12-11-1971" 26 "McNeese St. (LA)" 23 "Grantland Rice Bowl" 1 12 11 1971 "Tennessee St."
"W" "12-10-1972" 29 "Drake (IA)" 7 "Pioneer Bowl (1)" 1 12 10 1972 "Tennessee St."
