"Year","coach","school","award"
2012,"Brian Kelly","Notre Dame","AFCA Coach of the Year"
2011,"Les Miles","LSU","AFCA Coach of the Year"
2010,"Chip Kelly","Oregon","AFCA Coach of the Year"
2009,"Gary Patterson","TCU","AFCA Coach of the Year"
2008,"Kyle Whittingham","Utah","AFCA Coach of the Year"
2007,"Mark Mangino","Kansas","AFCA Coach of the Year"
2006,"Jim Grobe","Wake Forest","AFCA Coach of the Year"
2005,"Joe Paterno","Penn State","AFCA Coach of the Year"
2004,"Tommy Tuberville","Auburn","AFCA Coach of the Year"
2003,"Pete Carroll","Southern California","AFCA Coach of the Year"
2002,"Jim Tressel","Ohio State","AFCA Coach of the Year"
2001,"Larry Coker","Miami","AFCA Coach of the Year"
2001,"Ralph Friedgen","Maryland","AFCA Coach of the Year"
2000,"Bob Stoops","Oklahoma","AFCA Coach of the Year"
1999,"Frank Beamer","Virginia Tech","AFCA Coach of the Year"
1998,"Phillip Fulmer","Tennessee","AFCA Coach of the Year"
1997,"Lloyd Carr","Michigan","AFCA Coach of the Year"
1996,"Bruce Snyder","Arizona State","AFCA Coach of the Year"
1995,"Gary Barnett","Northwestern","AFCA Coach of the Year"
1994,"Tom Osborne","Nebraska","AFCA Coach of the Year"
1993,"Barry Alvarez","Wisconsin","AFCA Coach of the Year"
1992,"Gene Stallings","Alabama","AFCA Coach of the Year"
1991,"Bill Lewis","East Carolina","AFCA Coach of the Year"
1990,"Bobby Ross","Georgia Tech","AFCA Coach of the Year"
1989,"Bill McCartney","Colorado","AFCA Coach of the Year"
1988,"Don Nehlen","West Virginia","AFCA Coach of the Year"
1987,"Dick MacPherson","Syracuse","AFCA Coach of the Year"
1986,"Joe Paterno","Penn State","AFCA Coach of the Year"
1985,"Fisher DeBerry","Air Force","AFCA Coach of the Year"
1984,"LaVell Edwards","Brigham Young","AFCA Coach of the Year"
1983,"Ken Hatfield","Air Force","AFCA Coach of the Year"
1982,"Joe Paterno","Penn State","AFCA Coach of the Year"
1981,"Danny Ford","Clemson","AFCA Coach of the Year"
1980,"Vince Dooley","Georgia","AFCA Coach of the Year"
1979,"Earle Bruce","Ohio State","AFCA Coach of the Year"
1978,"Joe Paterno","Penn State","AFCA Coach of the Year"
1977,"Don James","Washington","AFCA Coach of the Year"
1976,"Johnny Majors","Pittsburgh","AFCA Coach of the Year"
1975,"Frank Kush","Arizona State","AFCA Coach of the Year"
1974,"Grant Teaff","Baylor","AFCA Coach of the Year"
1973,"Bear Bryant","Alabama","AFCA Coach of the Year"
1972,"John McKay","Southern California","AFCA Coach of the Year"
1971,"Bear Bryant","Alabama","AFCA Coach of the Year"
1970,"Charlie McClendon","LSU","AFCA Coach of the Year"
1970,"Darrell Royal","Texas","AFCA Coach of the Year"
1969,"Bo Schembechler","Michigan","AFCA Coach of the Year"
1968,"Joe Paterno","Penn State","AFCA Coach of the Year"
1967,"John Pont","Indiana","AFCA Coach of the Year"
1966,"Tom Cahill","Army","AFCA Coach of the Year"
1965,"Tommy Prothro","UCLA","AFCA Coach of the Year"
1964,"Frank Broyles","Arkansas","AFCA Coach of the Year"
1964,"Ara Parseghian","Notre Dame","AFCA Coach of the Year"
1963,"Darrell Royal","Texas","AFCA Coach of the Year"
1962,"John McKay","Southern California","AFCA Coach of the Year"
1961,"Bear Bryant","Alabama","AFCA Coach of the Year"
1960,"Murray Warmath","Minnesota","AFCA Coach of the Year"
1959,"Ben Schwartzwalder","Syracuse","AFCA Coach of the Year"
1958,"Paul Dietzel","LSU","AFCA Coach of the Year"
1957,"Woody Hayes","Ohio State","AFCA Coach of the Year"
1956,"Bowden Wyatt","Tennessee","AFCA Coach of the Year"
1955,"Duffy Daugherty","Michigan State","AFCA Coach of the Year"
1954,"Red Sanders","UCLA","AFCA Coach of the Year"
1953,"Jim Tatum","Maryland","AFCA Coach of the Year"
1952,"Biggie Munn","Michigan State","AFCA Coach of the Year"
1951,"Chuck Taylor","Stanford","AFCA Coach of the Year"
1950,"Charlie Caldwell","Princeton","AFCA Coach of the Year"
1949,"Bud Wilkinson","Oklahoma","AFCA Coach of the Year"
1948,"Bennie Oosterbaan","Michigan","AFCA Coach of the Year"
1947,"Fritz Crisler","Michigan","AFCA Coach of the Year"
1946,"Red Blaik","Army","AFCA Coach of the Year"
1945,"Bo McMillin","Indiana","AFCA Coach of the Year"
1944,"Carroll Widdoes","Ohio State","AFCA Coach of the Year"
1943,"Amos Alonzo Stagg","Pacific","AFCA Coach of the Year"
1942,"Bill Alexander","Georgia Tech","AFCA Coach of the Year"
1941,"Frank Leahy","Notre Dame","AFCA Coach of the Year"
1940,"Clark Shaughnessy","Stanford","AFCA Coach of the Year"
1939,"Eddie Anderson","Iowa","AFCA Coach of the Year"
1938,"Bill Kern","Carnegie Mellon","AFCA Coach of the Year"
1937,"Edward Mylin","Lafayette","AFCA Coach of the Year"
1936,"Dick Harlow","Harvard","AFCA Coach of the Year"
1935,"Lynn Waldorf","Northwestern","AFCA Coach of the Year"
2012,"Brian Kelly","Notre Dame","AP Coach of the Year"
2011,"Les Miles","LSU","AP Coach of the Year"
2010,"Chip Kelly","Oregon","AP Coach of the Year"
2009,"Gary Patterson","TCU","AP Coach of the Year"
2008,"Nick Saban","Alabama","AP Coach of the Year"
2007,"Mark Mangino","Kansas","AP Coach of the Year"
2006,"Jim Grobe","Wake Forest","AP Coach of the Year"
2005,"Joe Paterno","Penn State","AP Coach of the Year"
2004,"Tommy Tuberville","Auburn","AP Coach of the Year"
2003,"Nick Saban","LSU","AP Coach of the Year"
2002,"Kirk Ferentz","Iowa","AP Coach of the Year"
2001,"Ralph Friedgen","Maryland","AP Coach of the Year"
2000,"Bob Stoops","Oklahoma","AP Coach of the Year"
1999,"Frank Beamer","Virginia Tech","AP Coach of the Year"
1998,"Bill Snyder","Kansas State","AP Coach of the Year"
2012,"Bob Diaco","Notre Dame","Broyles Award"
2011,"John Chavis","LSU","Broyles Award"
2010,"Gus Malzahn","Auburn","Broyles Award"
2009,"Kirby Smart","Alabama","Broyles Award"
2008,"Kevin Wilson","Oklahoma","Broyles Award"
2007,"Jim Heacock","Ohio State","Broyles Award"
2006,"Bud Foster","Virginia Tech","Broyles Award"
2005,"Greg Davis","Texas","Broyles Award"
2004,"Gene Chizik","Auburn","Broyles Award"
2003,"Brian VanGorder","Georgia","Broyles Award"
2002,"Norm Chow","Southern California","Broyles Award"
2001,"Randy Shannon","Miami","Broyles Award"
2000,"Mark Mangino","Oklahoma","Broyles Award"
1999,"Ralph Friedgen","Georgia Tech","Broyles Award"
1998,"David Cutcliffe","Tennessee","Broyles Award"
1997,"Jim Herrmann","Michigan","Broyles Award"
