Year,player,school,trophy,class,pos
2012,Colby Cameron,Louisiana Tech,Sammy Baugh Trophy,,
2011,Case Keenum,Houston,Sammy Baugh Trophy,,
2010,Landry Jones,Oklahoma,Sammy Baugh Trophy,,
2009,Case Keenum,Houston,Sammy Baugh Trophy,,
2008,Sam Bradford,Oklahoma,Sammy Baugh Trophy,,
2007,Graham Harrell,Texas Tech,Sammy Baugh Trophy,,
2006,Colt Brennan,Hawaii,Sammy Baugh Trophy,,
2005,Brady Quinn,Notre Dame,Sammy Baugh Trophy,,
2004,Stefan LeFors,Louisville,Sammy Baugh Trophy,,
2003,BJ Symons,Texas Tech,Sammy Baugh Trophy,,
2002,Kliff Kingsbury,Texas Tech,Sammy Baugh Trophy,,
2001,David Carr,Fresno State,Sammy Baugh Trophy,,
2000,Chris Weinke,Florida State,Sammy Baugh Trophy,,
1999,Chad Pennington,Marshall,Sammy Baugh Trophy,,
1998,Duante Culpepper,Central Florida,Sammy Baugh Trophy,,
1997,Ryan Leaf,Washington State,Sammy Baugh Trophy,,
1996,Steve Sarkisian,Brigham Young,Sammy Baugh Trophy,,
1995,Danny Wuerffel,Florida,Sammy Baugh Trophy,,
1994,Kerry Collins,Penn State,Sammy Baugh Trophy,,
1993,Trent Dilfer,Fresno State,Sammy Baugh Trophy,,
1992,Elvis Grbac,Michigan,Sammy Baugh Trophy,,
1991,Ty Detmer,Brigham Young,Sammy Baugh Trophy,,
1990,David Klingler,Houston,Sammy Baugh Trophy,,
1989,Jeff George,Illinois,Sammy Baugh Trophy,,
1988,Steve Walsh,Miami,Sammy Baugh Trophy,,
1987,Don McPherson,Syracuse,Sammy Baugh Trophy,,
1986,Vinny Testaverde,Miami,Sammy Baugh Trophy,,
1985,Brian McClure,Bowling Green,Sammy Baugh Trophy,,
1984,Robbie Bosco,Brigham Young,Sammy Baugh Trophy,,
1983,Steve Young,Brigham Young,Sammy Baugh Trophy,,
1982,John Elway,Stanford,Sammy Baugh Trophy,,
1981,Jim McMahon,Brigham Young,Sammy Baugh Trophy,,
1980,Marc Herrmann,Purdue,Sammy Baugh Trophy,,
1979,Marc Wilson,Brigham Young,Sammy Baugh Trophy,,
1978,Steve Dils,Stanford,Sammy Baugh Trophy,,
1977,Guy Benjamin,Stanford,Sammy Baugh Trophy,,
1976,Tommy Kramer,Rice,Sammy Baugh Trophy,,
1975,Gene Swick,Toledo,Sammy Baugh Trophy,,
1974,Gary Scheide,Brigham Young,Sammy Baugh Trophy,,
1973,Jessee Freitas,San Diego State,Sammy Baugh Trophy,,
1972,Don Strock,Virginia Tech,Sammy Baugh Trophy,,
1971,John Reaves,Florida,Sammy Baugh Trophy,,
1970,Pat Sullivan,Auburn,Sammy Baugh Trophy,,
1969,Mike Phipps,Purdue,Sammy Baugh Trophy,,
1968,Chuck Hickson,Southern Methodist,Sammy Baugh Trophy,,
1967,Terry Hanratty,Notre Dame,Sammy Baugh Trophy,,
1966,Bob Greise,Purdue,Sammy Baugh Trophy,,
1965,Steve Sloan,Alabama,Sammy Baugh Trophy,,
1964,Jerry Rhome,Tulsa,Sammy Baugh Trophy,,
1963,Don Trull,Baylor,Sammy Baugh Trophy,,
1962,Don Trull,Baylor,Sammy Baugh Trophy,,
1961,Ron Miller,Wisconsin,Sammy Baugh Trophy,,
1960,Hayseed Stephens,Hardin Simmons,Sammy Baugh Trophy,,
1959,Dick Norman,Stanford,Sammy Baugh Trophy,,
2012,Manti Te'o,Notre Dame,Chuck Bednarik Award,,
2011,Tyrann Mathieu,LSU,Chuck Bednarik Award,,
2010,Patrick Peterson,LSU,Chuck Bednarik Award,,
2009,Ndamukong Suh,Nebraska,Chuck Bednarik Award,,
2008,Ray Maualuga,Southern California,Chuck Bednarik Award,,
2007,Dan Connor,Penn State,Chuck Bednarik Award,,
2006,Paul Posluszny,Penn State,Chuck Bednarik Award,,
2005,Paul Posluszny,Penn State,Chuck Bednarik Award,,
2004,David Pollack,Georgia,Chuck Bednarik Award,,
2003,Teddy Lehman,Oklahoma,Chuck Bednarik Award,,
2002,E.J. Henderson,Maryland,Chuck Bednarik Award,,
2001,Julius Peppers,North Carolina,Chuck Bednarik Award,,
2000,Dan Morgan,Miami,Chuck Bednarik Award,,
1999,LaVar Arrington,Penn State,Chuck Bednarik Award,,
1998,Dat Nguyen,Texas A&M,Chuck Bednarik Award,,
1997,Charles Woodson,Michigan,Chuck Bednarik Award,,
1996,Pat Fitzgerald,Northwestern,Chuck Bednarik Award,,
1995,Pat Fitzgerald,Northwestern,Chuck Bednarik Award,,
1994,Warren Sapp,Miami,Chuck Bednarik Award,,
1993,Rob Waldrop,Arizona,Chuck Bednarik Award,,
2012,Marqise Lee,Southern California,Fred Biletnikoff Award,,
2011,Justin Blacmon,Oklahoma State,Fred Biletnikoff Award,,
2010,Justin Blacmon,Oklahoma State,Fred Biletnikoff Award,,
2009,Golden Tate,Notre Dame,Fred Biletnikoff Award,,
2008,Michael Crabtree,Texas Tech,Fred Biletnikoff Award,,
2007,Michael Crabtree,Texas Tech,Fred Biletnikoff Award,,
2006,Calvin Johnson,Georgia Tech,Fred Biletnikoff Award,,
2005,Mike Hass,Oregon State,Fred Biletnikoff Award,,
2004,Braylon Edwards,Michigan,Fred Biletnikoff Award,,
