"No","Year","Record","APRank","CoachRank","Team","offName"
"1","1958","9-0-2","6","8","Air Force (CO)","United States Air Force Academy"
"2","1970","9-3-0","16","11","Air Force (CO)","United States Air Force Academy"
"3","1983","10-2-0","13","15","Air Force (CO)","United States Air Force Academy"
"4","1985","12-1-0","8","5","Air Force (CO)","United States Air Force Academy"
"5","1991","10-3-0","25","24","Air Force (CO)","United States Air Force Academy"
"6","1997","10-3-0","","25","Air Force (CO)","United States Air Force Academy"
"7","1998","12-1-0","13","10","Air Force (CO)","United States Air Force Academy"
"1","1936","8-0-1","4","","Alabama","The University of Alabama"
"2","1937","9-1-0","4","","Alabama","The University of Alabama"
"3","1938","7-1-1","13","","Alabama","The University of Alabama"
"4","1941","9-2-0","20","","Alabama","The University of Alabama"
"5","1942","8-3-0","10","","Alabama","The University of Alabama"
"6","1945","10-0-0","2","","Alabama","The University of Alabama"
"7","1947","8-3-0","6","","Alabama","The University of Alabama"
"8","1950","9-2-0","16","17","Alabama","The University of Alabama"
"9","1952","10-2-0","9","9","Alabama","The University of Alabama"
"10","1953","6-3-3","13","11","Alabama","The University of Alabama"
"11","1959","7-2-2","10","13","Alabama","The University of Alabama"
"12","1960","8-1-2","9","10","Alabama","The University of Alabama"
"13","1961","11-0-0","1","1","Alabama","The University of Alabama"
"14","1962","10-1-0","5","5","Alabama","The University of Alabama"
"15","1963","9-2-0","8","9","Alabama","The University of Alabama"
"16","1964","10-1-0","1","1","Alabama","The University of Alabama"
"17","1965","9-1-1","1","4","Alabama","The University of Alabama"
"18","1966","11-0-0","3","3","Alabama","The University of Alabama"
"19","1967","8-2-1","8","7","Alabama","The University of Alabama"
"20","1968","8-3-0","17","12","Alabama","The University of Alabama"
"21","1971","11-1-0","4","2","Alabama","The University of Alabama"
"22","1972","10-2-0","7","4","Alabama","The University of Alabama"
"23","1973","11-1-0","4","1","Alabama","The University of Alabama"
"24","1974","11-1-0","5","2","Alabama","The University of Alabama"
"25","1975","11-1-0","3","3","Alabama","The University of Alabama"
"26","1976","9-3-0","11","9","Alabama","The University of Alabama"
"27","1977","11-1-0","2","2","Alabama","The University of Alabama"
"28","1978","11-1-0","1","2","Alabama","The University of Alabama"
"29","1979","12-0-0","1","1","Alabama","The University of Alabama"
"30","1980","10-2-0","6","6","Alabama","The University of Alabama"
"31","1981","9-2-1","7","6","Alabama","The University of Alabama"
"32","1982","8-4-0","","17","Alabama","The University of Alabama"
"33","1983","8-4-0","15","12","Alabama","The University of Alabama"
"34","1985","9-2-1","13","14","Alabama","The University of Alabama"
"35","1986","10-3-0","9","9","Alabama","The University of Alabama"
"36","1988","9-3-0","17","17","Alabama","The University of Alabama"
"37","1989","10-2-0","9","7","Alabama","The University of Alabama"
"38","1991","11-1-0","5","5","Alabama","The University of Alabama"
"39","1992","13-0-0","1","1","Alabama","The University of Alabama"
"40","1993","1-12-0","14","13","Alabama","The University of Alabama"
"41","1994","12-1-0","5","4","Alabama","The University of Alabama"
"42","1995","8-3-0","21","","Alabama","The University of Alabama"
"43","1996","10-3-0","11","11","Alabama","The University of Alabama"
