"Period","Rank","TotalPoints","WinPctPoints","SchedulePoints","NatChampPoints","Big4BowlPoints","Team","offName"
"All-Time","80","995.90","538.29","437.61","0.00","20.00","Air Force (CO)","United States Air Force Academy"
"1951-1975","62","766.07","380.49","365.58","0.00","20.00","Air Force (CO)","United States Air Force Academy"
"1976-2000","76","719.17","428.75","290.42","0.00","0.00","Air Force (CO)","United States Air Force Academy"
"1961-1970","51","644.22","252.43","381.79","0.00","10.00","Air Force (CO)","United States Air Force Academy"
"1971-1980","72","533.77","168.98","364.79","0.00","0.00","Air Force (CO)","United States Air Force Academy"
"1981-1990","63","589.35","317.62","271.73","0.00","0.00","Air Force (CO)","United States Air Force Academy"
"1991-2000","70","551.33","327.87","223.46","0.00","0.00","Air Force (CO)","United States Air Force Academy"
"2001-2010","93","482.80","276.42","206.38","0.00","0.00","Air Force (CO)","United States Air Force Academy"
"1869-1990","109","798.91","391.00","387.91","0.00","20.00","Air Force (CO)","United States Air Force Academy"
"1869-2000","80","968.80","545.54","403.25","0.00","20.00","Air Force (CO)","United States Air Force Academy"
"1869-2010","81","990.45","546.97","423.47","0.00","20.00","Air Force (CO)","United States Air Force Academy"
"last5","160","422.70","250.00","172.70","0.00","0.00","Air Force (CO)","United States Air Force Academy"
"last10","135","443.59","250.00","193.59","0.00","0.00","Air Force (CO)","United States Air Force Academy"
"last15","137","508.58","319.57","189.02","0.00","0.00","Air Force (CO)","United States Air Force Academy"
"last20","106","610.23","404.07","206.16","0.00","0.00","Air Force (CO)","United States Air Force Academy"
"last25","92","673.57","434.66","238.91","0.00","0.00","Air Force (CO)","United States Air Force Academy"
"last35","78","725.18","429.32","295.86","0.00","0.00","Air Force (CO)","United States Air Force Academy"
"last50","67","905.36","483.08","412.28","0.00","10.00","Air Force (CO)","United States Air Force Academy"
"last75","71","1008.92","538.29","450.63","0.00","20.00","Air Force (CO)","United States Air Force Academy"
"last100","71","1030.08","538.29","471.79","0.00","20.00","Air Force (CO)","United States Air Force Academy"
"All-Time","287","669.92","489.94","179.98","0.00","0.00","Akron (OH)","University of Akron"
"1869-1900","186","274.97","165.00","109.97","0.00","0.00","Akron (OH)","University of Akron"
"1901-1925","314","449.70","367.65","82.05","0.00","0.00","Akron (OH)","University of Akron"
"1926-1950","283","450.35","371.25","79.10","0.00","0.00","Akron (OH)","University of Akron"
"1951-1975","173","534.89","438.04","96.85","0.00","0.00","Akron (OH)","University of Akron"
"1976-2000","272","483.69","358.75","124.93","0.00","0.00","Akron (OH)","University of Akron"
"1891-1900","183","284.70","165.00","119.70","0.00","0.00","Akron (OH)","University of Akron"
"1901-1910","336","239.81","165.00","74.81","0.00","0.00","Akron (OH)","University of Akron"
"1911-1920","276","329.23","240.51","88.72","0.00","0.00","Akron (OH)","University of Akron"
"1921-1930","191","397.90","312.50","85.40","0.00","0.00","Akron (OH)","University of Akron"
"1931-1940","304","344.95","267.05","77.90","0.00","0.00","Akron (OH)","University of Akron"
"1941-1950","568","219.59","163.93","55.66","0.00","0.00","Akron (OH)","University of Akron"
"1951-1960","370","313.10","232.95","80.14","0.00","0.00","Akron (OH)","University of Akron"
"1961-1970","100","447.68","346.77","100.91","0.00","0.00","Akron (OH)","University of Akron"
"1971-1980","216","369.78","287.04","82.74","0.00","0.00","Akron (OH)","University of Akron"
"1981-1990","251","359.67","259.09","100.58","0.00","0.00","Akron (OH)","University of Akron"
"1991-2000","281","350.54","197.73","152.82","0.00","0.00","Akron (OH)","University of Akron"
"2001-2010","401","312.78","193.28","119.50","0.00","0.00","Akron (OH)","University of Akron"
"1869-1900","186","274.97","165.00","109.97","0.00","0.00","Akron (OH)","University of Akron"
"1869-1910","220","323.22","165.00","158.22","0.00","0.00","Akron (OH)","University of Akron"
"1869-1920","165","413.40","213.00","200.40","0.00","0.00","Akron (OH)","University of Akron"
"1869-1930","190","489.82","370.50","119.32","0.00","0.00","Akron (OH)","University of Akron"
"1869-1940","224","514.90","400.86","114.03","0.00","0.00","Akron (OH)","University of Akron"
"1869-1950","322","477.97","375.99","101.98","0.00","0.00","Akron (OH)","University of Akron"
"1869-1960","269","513.35","395.73","117.63","0.00","0.00","Akron (OH)","University of Akron"
"1869-1970","291","575.62","474.87","100.76","0.00","0.00","Akron (OH)","University of Akron"
"1869-1980","287","590.94","481.61","109.32","0.00","0.00","Akron (OH)","University of Akron"
"1869-1990","282","650.64","532.73","117.90","0.00","0.00","Akron (OH)","University of Akron"
"1869-2000","284","661.63","515.75","145.88","0.00","0.00","Akron (OH)","University of Akron"
"1869-2010","278","676.45","500.50","175.96","0.00","0.00","Akron (OH)","University of Akron"
"last5","540","208.21","91.67","116.55","0.00","0.00","Akron (OH)","University of Akron"
"last10","471","280.19","158.33","121.86","0.00","0.00","Akron (OH)","University of Akron"
"last15","427","350.74","223.73","127.01","0.00","0.00","Akron (OH)","University of Akron"
"last20","442","379.53","238.36","141.16","0.00","0.00","Akron (OH)","University of Akron"
"last25","390","429.49","278.31","151.18","0.00","0.00","Akron (OH)","University of Akron"
"last35","365","462.04","307.93","154.10","0.00","0.00","Akron (OH)","University of Akron"
"last50","279","587.56","427.09","160.47","0.00","0.00","Akron (OH)","University of Akron"
"last75","282","649.16","469.72","179.44","0.00","0.00","Akron (OH)","University of Akron"
"last100","278","668.59","489.51","179.08","0.00","0.00","Akron (OH)","University of Akron"
"All-Time","1","2523.50","713.87","904.63","560.00","345.00","Alabama","The University of Alabama"
"1869-1900","279","191.67","130.00","61.67","0.00","0.00","Alabama","The University of Alabama"
"1901-1925","25","879.31","525.72","323.60","15.00","15.00","Alabama","The University of Alabama"
"1926-1950","5","1219.36","587.03","472.34","45.00","115.00","Alabama","The University of Alabama"
"1951-1975","1","1501.34","533.60","592.74","200.00","175.00","Alabama","The University of Alabama"
"1976-2000","6","1335.54","533.94","546.60","150.00","105.00","Alabama","The University of Alabama"
"1891-1900","272","194.72","130.00","64.72","0.00","0.00","Alabama","The University of Alabama"
"1901-1910","108","436.11","323.72","112.39","0.00","0.00","Alabama","The University of Alabama"
"1911-1920","77","513.40","358.02","155.37","0.00","0.00","Alabama","The University of Alabama"
"1921-1930","25","704.20","382.65","236.55","45.00","40.00","Alabama","The University of Alabama"
"1931-1940","12","839.53","417.55","381.98","15.00","25.00","Alabama","The University of Alabama"
"1941-1950","6","901.62","368.42","468.20","0.00","65.00","Alabama","The University of Alabama"
"1951-1960","25","799.49","254.63","519.86","0.00","25.00","Alabama","The University of Alabama"
"1961-1970","2","1155.46","403.15","507.31","150.00","95.00","Alabama","The University of Alabama"
"1971-1980","1","1209.35","445.83","498.51","150.00","115.00","Alabama","The University of Alabama"
"1981-1990","16","842.52","345.83","476.69","0.00","20.00","Alabama","The University of Alabama"
"1991-2000","12","851.59","323.77","452.82","50.00","25.00","Alabama","The University of Alabama"
"2001-2010","11","865.14","300.93","489.21","50.00","25.00","Alabama","The University of Alabama"
"1869-1900","279","191.67","130.00","61.67","0.00","0.00","Alabama","The University of Alabama"
"1869-1910","152","416.35","317.50","98.85","0.00","0.00","Alabama","The University of Alabama"
"1869-1920","125","498.83","364.50","134.33","0.00","0.00","Alabama","The University of Alabama"
"1869-1930","32","878.64","515.30","278.34","45.00","40.00","Alabama","The University of Alabama"
"1869-1940","12","1080.93","542.76","413.16","60.00","65.00","Alabama","The University of Alabama"
"1869-1950","9","1218.48","544.74","503.75","60.00","110.00","Alabama","The University of Alabama"
"1869-1960","7","1319.52","548.89","575.64","60.00","135.00","Alabama","The University of Alabama"
"1869-1970","2","1668.05","634.80","633.26","210.00","190.00","Alabama","The University of Alabama"
"1869-1980","1","1941.53","659.52","687.01","360.00","235.00","Alabama","The University of Alabama"
"1869-1990","2","2122.86","727.52","770.34","360.00","265.00","Alabama","The University of Alabama"
"1869-2000","2","2251.62","718.28","833.34","410.00","290.00","Alabama","The University of Alabama"
"1869-2010","1","2380.13","707.47","887.65","460.00","325.00","Alabama","The University of Alabama"
"last5","1","1092.94","447.76","440.18","150.00","55.00","Alabama","The University of Alabama"
"last10","1","1055.87","363.64","477.23","150.00","65.00","Alabama","The University of Alabama"
"last15","4","1125.84","397.67","503.16","150.00","75.00","Alabama","The University of Alabama"
"last20","5","1214.04","467.67","521.36","150.00","75.00","Alabama","The University of Alabama"
"last25","4","1335.78","502.55","533.23","200.00","100.00","Alabama","The University of Alabama"
"last35","4","1491.50","516.30","585.19","250.00","140.00","Alabama","The University of Alabama"
"last50","1","2072.45","657.40","690.05","450.00","275.00","Alabama","The University of Alabama"
"last75","1","2345.87","709.03","806.84","500.00","330.00","Alabama","The University of Alabama"
"last100","1","2507.10","727.57","874.53","560.00","345.00","Alabama","The University of Alabama"
"1976-2000","528","325.72","177.00","148.72","0.00","0.00","Alabama-Birmingham","The University of Alabama at Birmingham"
"1991-2000","138","436.16","275.70","160.46","0.00","0.00","Alabama-Birmingham","The University of Alabama at Birmingham"
"2001-2010","214","399.73","194.92","204.81","0.00","0.00","Alabama-Birmingham","The University of Alabama at Birmingham"
"last5","390","311.97","141.67","170.31","0.00","0.00","Alabama-Birmingham","The University of Alabama at Birmingham"
"last10","294","354.21","159.66","194.55","0.00","0.00","Alabama-Birmingham","The University of Alabama at Birmingham"
"last15","226","448.23","225.00","223.23","0.00","0.00","Alabama-Birmingham","The University of Alabama at Birmingham"
"last20","214","504.39","278.79","225.60","0.00","0.00","Alabama-Birmingham","The University of Alabama at Birmingham"
"last25","207","537.35","324.71","212.64","0.00","0.00","Alabama-Birmingham","The University of Alabama at Birmingham"
"All-Time","73","1088.28","571.90","501.38","0.00","15.00","Arizona","University of Arizona"
"1869-1900","403","105.40","55.00","50.40","0.00","0.00","Arizona","University of Arizona"
"1901-1925","90","636.75","538.17","98.59","0.00","0.00","Arizona","University of Arizona"
"1926-1950","93","627.83","463.77","164.06","0.00","0.00","Arizona","University of Arizona"
"1951-1975","91","631.59","388.13","243.46","0.00","0.00","Arizona","University of Arizona"
"1976-2000","28","955.99","437.50","503.49","0.00","15.00","Arizona","University of Arizona"
"1891-1900","407","105.40","55.00","50.40","0.00","0.00","Arizona","University of Arizona"
"1901-1910","192","361.85","310.00","51.85","0.00","0.00","Arizona","University of Arizona"
"1911-1920","133","424.44","356.48","67.96","0.00","0.00","Arizona","University of Arizona"
"1921-1930","86","485.27","346.15","139.12","0.00","0.00","Arizona","University of Arizona"
"1931-1940","96","478.65","309.14","169.51","0.00","0.00","Arizona","University of Arizona"
"1941-1950","121","431.00","269.74","161.26","0.00","0.00","Arizona","University of Arizona"
"1951-1960","157","409.88","240.10","169.78","0.00","0.00","Arizona","University of Arizona"
"1961-1970","77","496.01","245.05","250.96","0.00","0.00","Arizona","University of Arizona"
"1971-1980","57","624.57","274.55","350.01","0.00","0.00","Arizona","University of Arizona"
"1981-1990","26","770.06","315.79","454.27","0.00","0.00","Arizona","University of Arizona"
"1991-2000","17","812.96","297.01","500.95","0.00","15.00","Arizona","University of Arizona"
"2001-2010","30","720.18","212.50","507.68","0.00","0.00","Arizona","University of Arizona"
"1869-1900","403","105.40","55.00","50.40","0.00","0.00","Arizona","University of Arizona"
"1869-1910","320","234.75","182.50","52.25","0.00","0.00","Arizona","University of Arizona"
"1869-1920","282","279.95","225.00","54.95","0.00","0.00","Arizona","University of Arizona"
"1869-1930","210","461.60","387.00","74.60","0.00","0.00","Arizona","University of Arizona"
"1869-1940","114","618.14","518.06","100.08","0.00","0.00","Arizona","University of Arizona"
"1869-1950","116","623.87","493.14","130.73","0.00","0.00","Arizona","University of Arizona"
"1869-1960","125","634.62","493.96","140.66","0.00","0.00","Arizona","University of Arizona"
"1869-1970","110","712.09","534.58","177.51","0.00","0.00","Arizona","University of Arizona"
"1869-1980","98","761.27","527.73","233.54","0.00","0.00","Arizona","University of Arizona"
"1869-1990","81","912.46","593.02","319.43","0.00","0.00","Arizona","University of Arizona"
"1869-2000","74","1012.92","593.15","404.77","0.00","15.00","Arizona","University of Arizona"
"1869-2010","72","1063.10","573.19","474.90","0.00","15.00","Arizona","University of Arizona"
"last5","22","733.43","273.44","460.00","0.00","0.00","Arizona","University of Arizona"
"last10","24","750.69","243.90","506.78","0.00","0.00","Arizona","University of Arizona"
"last15","36","781.25","271.82","509.43","0.00","0.00","Arizona","University of Arizona"
"last20","34","870.70","350.00","520.70","0.00","0.00","Arizona","University of Arizona"
"last25","29","955.53","390.05","550.48","0.00","15.00","Arizona","University of Arizona"
"last35","31","1012.18","407.77","589.41","0.00","15.00","Arizona","University of Arizona"
"last50","39","1100.75","479.90","605.85","0.00","15.00","Arizona","University of Arizona"
"last75","62","1107.79","533.83","558.95","0.00","15.00","Arizona","University of Arizona"
"last100","65","1133.80","559.98","558.82","0.00","15.00","Arizona","University of Arizona"
"All-Time","72","1090.26","605.56","459.70","0.00","25.00","Arizona St.","Arizona State University"
"1869-1900","417","100.40","50.00","50.40","0.00","0.00","Arizona St.","Arizona State University"
"1901-1925","472","304.57","240.00","64.57","0.00","0.00","Arizona St.","Arizona State University"
"1926-1950","281","450.51","352.50","98.01","0.00","0.00","Arizona St.","Arizona State University"
"1951-1975","66","745.18","577.59","167.60","0.00","0.00","Arizona St.","Arizona State University"
"1976-2000","27","968.74","440.56","503.18","0.00","25.00","Arizona St.","Arizona State University"
"1891-1900","421","100.40","50.00","50.40","0.00","0.00","Arizona St.","Arizona State University"
"1901-1910","473","130.75","80.00","50.75","0.00","0.00","Arizona St.","Arizona State University"
"1911-1920","548","129.11","70.00","59.11","0.00","0.00","Arizona St.","Arizona State University"
"1921-1930","355","328.23","262.71","65.51","0.00","0.00","Arizona St.","Arizona State University"
"1931-1940","322","338.75","250.00","88.75","0.00","0.00","Arizona St.","Arizona State University"
"1941-1950","332","335.49","243.15","92.34","0.00","0.00","Arizona St.","Arizona State University"
"1951-1960","94","464.27","363.86","100.41","0.00","0.00","Arizona St.","Arizona State University"
"1961-1970","64","563.40","382.50","180.90","0.00","0.00","Arizona St.","Arizona State University"
"1971-1980","46","676.55","343.22","333.33","0.00","0.00","Arizona St.","Arizona State University"
"1981-1990","25","775.15","320.18","439.97","0.00","15.00","Arizona St.","Arizona State University"
"1991-2000","16","816.96","285.09","521.87","0.00","10.00","Arizona St.","Arizona State University"
"2001-2010","21","767.28","264.23","503.05","0.00","0.00","Arizona St.","Arizona State University"
"1869-1900","417","100.40","50.00","50.40","0.00","0.00","Arizona St.","Arizona State University"
"1869-1910","561","116.15","65.00","51.15","0.00","0.00","Arizona St.","Arizona State University"
"1869-1930","537","207.95","153.00","54.95","0.00","0.00","Arizona St.","Arizona State University"
"1869-1940","437","355.82","286.50","69.32","0.00","0.00","Arizona St.","Arizona State University"
