"","RivalsRank","School","Total","5-Star","4-Star","3-Star","AvgStar","Points","Year"
"1","1","Alabama",22,3,14,5,3.91,2632,2011
"2","1","Alabama",25,4,13,8,3.84,3166,2013
"3","1","Alabama",26,3,14,9,3.77,2621,2012
"4","1","Alabama",27,4,14,9,3.81,2786,2009
"5","1","Alabama",32,3,19,8,3.72,2836,2008
"6","1","Florida",27,4,16,7,3.89,2959,2007
"7","1","LSU",28,1,17,10,3.68,2626,2003
"8","1","Texas",28,6,15,5,3.89,2792,2002
"9","1","USC",20,4,11,5,3.95,2631,2005
"10","1","USC",20,5,14,1,4.2,3003,2010
"11","1","USC",20,8,7,3,4.05,2908,2004
"12","1","USC",26,5,14,6,3.81,3010,2006
"13","10","Alabama",25,0,10,12,3.28,1789,2007
"14","10","Auburn",21,0,13,8,3.62,1951,2012
"15","10","Auburn",25,1,14,7,3.52,2148,2006
"16","10","Colorado",31,1,7,19,3.16,2055,2002
"17","10","Florida",23,1,11,10,3.52,2065,2004
"18","10","Florida State",21,2,9,9,3.57,2352,2013
"19","10","Florida State",24,2,8,14,3.5,1953,2010
"20","10","Georgia",19,0,11,8,3.58,1814,2005
"21","10","Michigan",24,0,17,6,3.67,2220,2008
"22","10","Notre Dame",23,2,8,12,3.48,1976,2011
"23","10","Tennessee",21,2,9,10,3.62,2037,2009
"24","10","Texas A&M",24,1,5,17,3.25,1778,2003
"25","100","Arkansas State",27,0,0,6,2.22,90,2010
"26","100","Ball State",21,0,0,1,2.05,735,2013
"27","100","Boise State",20,0,0,2,2.1,660,2003
"28","100","Cincinnati",23,0,0,2,0.7,360,2002
"29","100","East Carolina",20,0,0,2,2.1,660,2003
"30","100","Houston",20,0,0,3,2.05,72,2008
"31","100","Rice",23,0,0,3,2.13,75,2007
"32","100","San Jose State",26,0,0,6,2.23,90,2010
"33","100","UNLV",24,0,0,6,2.25,90,2010
"34","100","Western Michigan",24,0,0,6,2.25,90,2010
"35","100","Wyoming",23,0,0,6,2.26,90,2010
