OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30
   1,Alabama,A,104.17 ,12,1,76.53,15,2,1,4,1
   2,LSU,A,100.30 ,13,1,78.93,7,3,1,6,1
   3,Oklahoma State,A,97.01 ,12,1,80.06,3,2,0,7,0
   4,Oklahoma,A,92.48 ,10,3,79.08,6,0,1,5,2
   5,Oregon,A,91.82 ,12,2,73.53,35,2,1,2,2
   6,Arkansas,A,91.06 ,11,2,75.29,20,1,2,3,2
   7,Stanford,A,90.48 ,11,2,73.08,36,0,2,2,2
   8,Wisconsin,A,88.67 ,11,3,71.81,44,0,1,3,2
   9,Boise State,A,88.53 ,12,1,68.29,75,0,0,1,1
  10,South Carolina,A,88.23 ,11,2,73.98,32,0,1,3,1
  11,Michigan,A,86.54 ,11,2,72.2,40,0,0,3,1
  12,Southern California,A,86.48 ,10,2,73.94,33,1,1,2,1
  13,Baylor,A,86.01 ,10,3,78,10,1,1,4,3
  14,Texas A&M,A,85.87 ,7,6,79.31,4,0,3,1,6
  15,Houston,A,85.26 ,13,1,65.46,97,0,0,1,1
  16,Missouri,A,85.25 ,8,5,77.58,13,0,2,2,4
  17,Texas,A,85.21 ,8,5,79.26,5,0,2,1,5
  18,Michigan State,A,85.13 ,11,3,72.93,38,1,1,3,3
  19,Kansas State,A,84.56 ,10,3,78.81,8,0,3,4,3
  20,TCU,A,84.13 ,11,2,66.76,86,1,0,1,1
  21,Georgia,A,84.01 ,10,4,75.01,23,0,3,1,4
  22,West Virginia,A,81.78 ,10,3,70.12,57,0,1,1,1
  23,Florida State,A,81.16 ,9,4,68.96,68,0,1,2,1
  24,Southern Miss,A,81.07 ,12,2,65.69,94,0,0,1,0
  25,Nebraska,A,81.06 ,9,4,74.32,26,0,2,2,3
  26,Notre Dame,A,79.91 ,8,5,74.54,25,0,1,1,4
  27,Virginia Tech,A,79.14 ,11,3,70.05,59,0,0,0,1
  28,Penn State,A,78.82 ,9,4,73.99,31,0,2,0,4
  29,Florida,A,78.78 ,7,6,75.01,22,0,3,0,5
  30,Cincinnati,A,78.63 ,10,3,68.43,73,0,0,0,1
  31,Mississippi State,A,78.43 ,7,6,74.07,28,0,4,0,5
  32,Clemson,A,77.78 ,10,4,72.09,43,0,1,3,2
  33,Auburn,A,77.40 ,8,5,77.14,14,1,3,2,4
  34,BYU,A,77.18 ,10,3,65.96,90,0,0,0,2
  35,Tulsa,A,77.02 ,8,5,71.75,45,0,3,0,4
  36,Rutgers,A,76.98 ,9,4,68.67,69,0,0,1,1
  37,North Dakota State,AA,76.60 ,14,1,56.62,136,0,0,0,0
  38,California,A,76.20 ,7,6,74.06,29,0,2,0,4
  39,Utah,A,75.92 ,8,5,71.21,49,0,0,0,1
  40,Toledo,A,75.21 ,9,4,67.22,81,0,1,0,1
  41,Arizona State,A,74.94 ,6,7,73.86,34,0,2,2,2
  42,Vanderbilt,A,74.94 ,6,7,74.12,27,0,3,0,6
  43,Iowa State,A,74.64 ,6,7,80.4,2,1,1,1,6
  44,Washington,A,74.52 ,7,6,74.54,24,0,2,0,5
  45,Iowa,A,74.51 ,7,6,72.32,39,0,1,1,4
  46,Temple,A,74.50 ,9,4,61.52,119,0,0,0,1
  47,Northern Illinois,A,74.46 ,11,3,64.52,103,0,1,0,1
  48,Louisiana Tech,A,74.34 ,8,5,68.39,74,0,0,0,3
  49,Ohio State,A,74.19 ,6,7,74.06,30,1,0,1,5
  50,Tennessee,A,74.09 ,5,7,77.83,12,0,4,1,6
  51,SMU,A,73.88 ,8,5,68.59,70,0,0,1,3
  52,Miami-Florida,A,73.61 ,6,6,69.86,61,0,0,0,3
  53,Texas Tech,A,73.17 ,5,7,77.99,11,1,1,1,6
  54,North Carolina,A,72.86 ,7,6,70.96,51,0,0,0,2
  55,Illinois,A,72.80 ,7,6,70.52,53,0,1,0,3
  56,Georgia Tech,A,72.31 ,8,5,68.05,76,0,0,0,2
  57,NC State,A,71.70 ,8,5,66.99,83,0,0,0,2
  58,Northwestern,A,71.35 ,6,7,71.38,46,0,0,1,4
  59,South Florida,A,71.02 ,5,7,69.86,62,0,0,1,2
  60,Nevada,A,70.89 ,7,6,66.61,88,0,2,0,3
  61,Louisville,A,70.75 ,7,6,69.87,60,0,0,1,1
  62,Sam Houston State,AA,70.59 ,14,1,49.45,176,0,0,0,0
  63,Montana,AA,70.56 ,11,3,57.57,130,0,0,0,0
  64,Arizona,A,70.52 ,4,8,75.64,18,0,3,0,4
  65,Purdue,A,70.28 ,7,6,69.27,65,0,1,0,4
  66,UCLA,A,70.18 ,6,8,76.14,16,0,2,0,5
  67,Arkansas State,A,69.89 ,10,3,60.09,124,0,0,0,1
  68,Ohio,A,69.81 ,10,4,61.59,118,0,0,0,0
  69,Pittsburgh,A,69.65 ,6,7,71.29,48,0,0,0,3
  70,San Diego State,A,69.30 ,8,5,65.56,95,0,1,0,3
  71,Virginia,A,69.17 ,8,5,68.48,71,0,0,1,2
  72,Air Force,A,68.58 ,7,6,64.28,104,0,1,0,3
  73,Wake Forest,A,68.42 ,6,7,70.41,54,0,0,1,2
  74,Navy,A,68.37 ,5,7,69.04,67,0,1,0,3
  75,Northern Iowa,AA,68.20 ,10,3,60.03,126,0,0,0,0
  76,Connecticut,A,68.09 ,5,7,69.33,64,0,0,0,2
  77,Central Florida(UCF),A,67.61 ,5,7,64.61,102,0,0,0,1
  78,Western Michigan,A,67.51 ,7,6,64.91,99,0,0,0,1
  79,Marshall,A,67.49 ,7,6,70.29,56,0,0,1,3
  80,Utah State,A,67.43 ,7,6,64.9,100,0,0,0,0
  81,Georgia Southern,AA,67.24 ,11,3,56.44,139,0,1,0,1
  82,Louisiana-Lafayette,A,66.60 ,9,4,60.47,122,0,1,0,1
  83,Washington State,A,66.14 ,4,8,71.29,47,0,2,0,2
  84,Wyoming,A,66.09 ,8,5,65.77,92,0,1,0,3
  85,Kentucky,A,66.03 ,5,7,72.18,41,0,2,0,4
  86,Syracuse,A,65.97 ,5,7,70.39,55,0,0,1,2
  87,Oregon State,A,65.76 ,3,9,75.59,19,0,3,0,3
  88,Minnesota,A,64.89 ,3,9,75.86,17,0,1,0,5
  89,Rice,A,64.45 ,4,8,72.95,37,0,0,0,4
  90,Boston College,A,64.40 ,4,8,70.71,52,0,0,0,3
  91,Kansas,A,64.09 ,2,10,80.72,1,0,2,0,7
  92,UTEP,A,63.71 ,5,7,66.69,87,0,0,0,2
  93,East Carolina,A,63.52 ,5,7,68.48,72,0,1,0,4
  94,Fla. International,A,63.26 ,8,5,59.28,127,0,0,0,0
  95,Montana State,AA,63.07 ,10,3,56.92,134,0,0,0,0
  96,San Jose State,A,62.99 ,5,7,67.49,80,0,1,0,1
  97,Hawaii,A,62.79 ,6,7,62.3,114,0,0,0,0
  98,Miami-Ohio,A,62.62 ,4,8,66.77,85,0,0,0,2
  99,Bowling Green,A,62.57 ,5,7,65.7,93,0,0,0,1
 100,Ball State,A,62.43 ,6,6,67.63,78,0,1,0,1
 101,Western Kentucky,A,62.11 ,7,5,61.27,120,0,1,0,1
 102,Maine,AA,62.08 ,9,4,55.13,149,0,0,0,0
 103,Mississippi,A,61.77 ,2,10,78.17,9,0,3,0,4
 104,Maryland,A,61.76 ,2,10,72.18,42,0,0,0,3
 105,Fresno State,A,61.68 ,4,9,67.89,77,0,1,0,2
 106,Lehigh,AA,61.67 ,11,2,47.62,186,0,0,0,0
 107,Colorado,A,61.65 ,3,10,75.03,21,0,2,0,3
 108,Illinois State,AA,61.60 ,7,4,54.01,155,0,0,0,0
 109,Cal Poly-SLO,AA,61.08 ,6,5,60.38,123,0,0,0,0
 110,Wofford,AA,60.97 ,8,4,56.22,141,0,0,0,0
 111,Southern Utah,AA,60.55 ,6,5,55.97,144,0,0,0,0
 112,Army,A,60.51 ,3,9,67.6,79,0,0,0,0
 113,Duke,A,60.07 ,3,9,69.52,63,0,1,0,3
 114,Towson,AA,60.02 ,9,3,52.09,165,0,0,0,0
 115,Youngstown State,AA,60.01 ,6,5,55.29,148,0,0,0,1
 116,Kent State,A,59.79 ,5,7,65.46,96,0,1,0,2
 117,Indiana State,AA,59.66 ,6,5,59.19,128,0,0,0,1
 118,Harvard,AA,59.61 ,9,1,42.81,202,0,0,0,0
 119,Eastern Michigan,A,59.57 ,6,6,61.67,117,0,0,0,2
 120,New Hampshire,AA,59.50 ,8,4,55.97,145,0,0,0,0
 121,North Texas,A,59.18 ,5,7,64.15,105,0,1,0,2
 122,James Madison,AA,59.09 ,8,5,54.99,151,0,0,0,0
 123,Old Dominion,AA,59.03 ,10,3,49.72,174,0,0,0,0
 124,Louisiana-Monroe,A,58.88 ,4,8,62.39,113,0,0,0,2
 125,Eastern Washington,AA,58.86 ,6,5,57.48,132,0,0,0,0
 126,Central Arkansas,AA,58.06 ,9,4,53.26,161,0,0,0,0
 127,Chattanooga,AA,57.68 ,5,6,55.31,147,0,0,0,1
 128,North Dakota,AA,57.35 ,8,3,55.01,150,0,0,0,0
 129,Delaware,AA,57.06 ,7,4,52.07,166,0,0,0,0
 130,South Dakota,AA,57.00 ,6,5,63.32,111,0,1,0,1
 131,Appalachian State,AA,56.92 ,8,4,53,163,0,0,0,1
 132,Portland State,AA,56.74 ,7,4,56.6,137,0,0,0,1
 133,New Mexico State,A,56.68 ,4,9,66.32,89,0,0,0,1
 134,Furman,AA,56.44 ,6,5,53.7,159,0,0,0,1
 135,Buffalo,A,56.15 ,3,9,65.18,98,0,0,0,0
 136,Weber State,AA,56.15 ,5,6,57.56,131,0,0,0,0
 137,Central Michigan,A,56.00 ,3,9,65.94,91,0,0,0,1
 138,Stony Brook,AA,55.38 ,9,4,46.47,191,0,0,0,0
 139,Indiana,A,55.37 ,1,11,70.97,50,0,1,0,3
 140,South Dakota State,AA,55.32 ,5,6,60.96,121,0,0,0,0
 141,Idaho,A,54.74 ,2,10,67.04,82,0,0,0,1
 142,Colorado State,A,54.65 ,3,9,63.94,106,0,1,0,2
 143,Stephen F. Austin,AA,54.05 ,6,5,51.83,167,0,0,0,1
 144,Samford,AA,53.16 ,6,5,54.84,153,0,0,0,0
 145,Sacramento State,AA,52.85 ,4,7,56.52,138,0,0,0,0
 146,Southern Illinois,AA,52.80 ,4,7,56.31,140,0,0,0,0
 147,Troy,A,52.68 ,3,9,63.6,109,0,1,0,1
 148,Northern Arizona,AA,52.60 ,4,7,57.41,133,0,0,0,0
 149,Liberty,AA,52.59 ,7,4,44.84,196,0,0,0,0
 150,Massachusetts,AA,52.34 ,5,6,54.15,154,0,0,0,0
 151,UC Davis,AA,52.30 ,4,7,58.32,129,0,0,0,0
 152,UAB,A,52.04 ,3,9,66.82,84,0,0,1,2
 153,Eastern Kentucky,AA,51.68 ,7,5,48.25,184,0,0,0,1
 154,Brown,AA,51.51 ,7,3,44.7,197,0,0,0,0
