OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30,Year
1,Florida State,A,101.9,14,0,69.16,62,1,0,2,0,2013
2,Oregon,A,93.58,11,2,74.9,29,1,1,3,2,2013
3,Alabama,A,93.37,11,2,73.42,39,0,1,3,2,2013
4,Auburn,A,91.76,12,2,77.25,13,2,1,5,2,2013
5,Stanford,A,91.57,11,3,80.73,1,2,1,7,2,2013
6,Michigan State,A,90.76,13,1,70.89,51,1,0,2,1,2013
7,Missouri,A,90.33,12,2,75.65,24,0,2,4,2,2013
8,UCLA,A,89.39,10,3,78.61,7,0,2,3,3,2013
9,Baylor,A,89.28,11,2,71.61,48,0,0,3,2,2013
10,South Carolina,A,88.99,11,2,76.24,20,1,0,4,1,2013
11,Washington,A,88.39,9,4,76.5,17,0,3,2,4,2013
12,Oklahoma,A,88.08,11,2,74.73,32,1,1,5,1,2013
13,Oklahoma State,A,88.04,10,3,75.75,22,1,1,3,2,2013
14,Clemson,A,87.22,11,2,70.63,54,0,2,2,2,2013
15,LSU,A,87.22,10,3,75.45,25,1,1,2,3,2013
16,Ohio State,A,86.57,12,2,70.17,58,0,1,1,2,2013
17,North Dakota State,AA,86.38,15,0,58.5,130,0,0,1,0,2013
18,Wisconsin,A,85.79,9,4,71.38,49,0,1,0,3,2013
19,Arizona State,A,85.51,10,4,80.72,2,1,2,6,4,2013
20,Louisville,A,85.05,12,1,61.67,103,0,0,0,1,2013
21,Southern California,A,84.55,10,4,76.01,21,1,1,3,3,2013
22,Texas A&M,A,83.56,9,4,75.25,26,0,3,1,4,2013
23,Kansas State,A,83.39,8,5,74.07,34,0,1,1,4,2013
24,Arizona,A,83.32,8,5,74.74,31,1,1,1,4,2013
25,Central Florida,A,82.02,12,1,64.96,79,1,1,2,1,2013
26,Georgia,A,81.96,8,5,78.28,8,1,2,2,3,2013
27,Mississippi,A,80.49,8,5,77.87,9,0,3,1,4,2013
28,Notre Dame,A,79.8,9,4,74.83,30,1,1,3,2,2013
29,Oregon State,A,79.72,7,6,76.47,18,0,2,0,5,2013
30,Texas Tech,A,79.64,8,5,73.03,42,0,1,1,4,2013
31,Mississippi State,A,79.58,7,6,76.61,15,0,3,1,6,2013
32,Iowa,A,78.68,8,5,72.86,43,0,1,0,4,2013
33,Texas,A,78.63,8,5,77.64,11,0,2,3,4,2013
34,Utah,A,78.49,5,7,80.58,3,1,2,1,6,2013
35,BYU,A,77.87,8,5,73.54,38,0,0,0,3,2013
36,Vanderbilt,A,77.76,9,4,71.17,50,0,2,1,4,2013
37,Georgia Tech,A,77.14,7,6,72.37,46,0,0,0,3,2013
38,Nebraska,A,76.82,9,4,70.46,55,0,2,1,2,2013
39,Bowling Green,A,76.54,10,4,58.79,123,0,0,0,0,2013
40,Washington State,A,76.21,6,7,79.58,5,0,3,2,6,2013
41,Utah State,A,76.15,9,5,65.89,74,0,0,0,1,2013
42,Duke,A,75.97,10,4,69.5,60,0,1,0,2,2013
43,Virginia Tech,A,75.91,8,5,72.81,44,0,2,0,2,2013
44,Michigan,A,75.75,7,6,73.41,40,0,1,1,3,2013
45,North Carolina,A,75.68,7,6,69.44,61,0,1,0,1,2013
46,Eastern Illinois,AA,75.23,12,2,56.55,139,0,0,0,0,2013
47,Boise State,A,74.53,8,5,65.6,75,0,0,0,2,2013
48,TCU,A,74.11,4,8,76.6,16,0,1,0,6,2013
49,Miami-Florida,A,73.86,9,4,70.33,56,0,1,0,2,2013
50,Houston,A,73.84,8,5,66.22,73,0,0,0,2,2013
51,Navy,A,73.53,9,4,64.85,81,0,0,0,1,2013
